# SAPT0 interaction energy decomposition
# Individual components and total interaction energy, in kcal/mol
system	SAPT0_elst	SAPT0_exch	SAPT0_ind	SAPT0_disp	SAPT0_interaction_energy
1.07.10	-3.945	6.660	-0.670	-5.626	-3.581
1.07.11	-3.421	5.016	-0.849	-4.141	-3.395
1.07.12	-2.111	2.942	-0.482	-2.289	-1.940
1.07.13	-2.449	3.247	-0.429	-3.132	-2.764
1.07.14	-3.642	5.260	-0.936	-3.858	-3.177
1.07.15	-4.292	6.033	-1.006	-4.589	-3.854
1.07.16	-1.186	2.809	-0.450	-2.249	-1.076
1.07.17	-1.191	2.640	-0.404	-1.915	-0.871
1.07.18	-1.190	2.656	-0.391	-2.242	-1.167
1.07.19	-0.965	2.206	-0.395	-1.596	-0.750
1.07.20	-1.125	2.834	-0.400	-2.503	-1.194
1.07.21	-0.779	1.693	-0.271	-1.304	-0.662
1.07.22	-0.785	2.005	-0.219	-1.838	-0.837
1.07.23	-0.738	1.572	-0.210	-1.336	-0.712
1.07.24	-1.256	3.280	-0.518	-2.809	-1.304
1.07.25	-0.779	2.586	-0.330	-2.544	-1.066
1.07.26	-0.944	3.564	-0.805	-3.245	-1.430
1.07.27	-1.390	3.206	-0.386	-3.380	-1.950
1.07.28	-1.264	2.607	-0.475	-2.106	-1.238
1.07.29	-1.476	4.112	-0.484	-4.036	-1.885
1.07.30	-1.274	3.718	-0.407	-3.964	-1.928
1.07.31	-1.696	3.720	-0.543	-3.702	-2.221
1.07.32	-1.432	3.374	-0.578	-2.600	-1.235
1.07.33	-1.453	3.205	-0.295	-3.183	-1.726
1.07.34	-1.512	2.959	-0.493	-2.191	-1.238
1.07.35	-1.387	3.208	-0.742	-2.450	-1.372
1.07.36	-0.756	3.135	-0.570	-3.010	-1.201
1.07.37	-1.880	4.617	-0.531	-5.053	-2.847
1.07.38	-0.622	2.854	-0.683	-2.416	-0.867
1.07.39	-1.162	3.203	-0.586	-2.931	-1.475
1.07.40	-1.663	4.090	-0.487	-4.386	-2.446
1.07.41	-1.483	3.182	-0.414	-2.855	-1.570
1.07.42	-2.921	5.727	-0.999	-6.282	-4.475
1.07.43	-1.346	3.062	-0.370	-3.132	-1.787
1.07.44	-2.981	4.361	-0.598	-4.017	-3.236
1.07.45	-1.246	2.831	-0.363	-2.469	-1.247
1.07.46	-0.514	1.684	-0.140	-1.573	-0.543
1.07.47	-1.191	2.804	-0.251	-2.591	-1.230
1.07.48	-0.975	2.859	-0.303	-2.930	-1.349
1.07.49	-1.108	3.498	-0.446	-3.760	-1.816
1.07.50	-0.751	2.454	-0.282	-2.510	-1.089
1.07.51	-3.528	5.039	-0.723	-3.835	-3.047
1.07.52	-5.417	10.009	-2.126	-6.472	-4.006
1.07.53	-2.059	2.970	-0.340	-2.001	-1.430
1.07.54	-0.378	1.207	-0.136	-0.977	-0.283
1.07.55	-2.325	4.015	-0.537	-3.439	-2.286
1.07.56	-4.350	10.410	-1.432	-11.120	-6.492
1.07.57	-3.882	8.485	-1.023	-8.539	-4.960
1.07.58	-3.282	7.158	-0.807	-6.992	-3.922
1.07.59	-1.525	4.146	-0.371	-4.615	-2.365
1.07.60	-1.695	4.401	-0.399	-4.799	-2.492
1.07.61	-1.426	3.548	-0.281	-3.828	-1.987
1.07.62	-2.649	4.860	-0.467	-4.605	-2.861
1.07.63	-1.227	2.581	-0.360	-2.049	-1.056
1.07.64	-1.172	2.582	-0.431	-1.790	-0.811
1.07.65	-0.944	1.890	-0.259	-1.386	-0.700
1.07.66	-1.802	3.367	-0.605	-2.430	-1.470
1.07.67	-2.920	4.875	-0.729	-3.630	-2.405
1.07.68	-3.471	7.548	-1.361	-4.575	-1.860
1.07.69	-3.711	5.370	-0.756	-4.429	-3.526
1.07.70	-3.686	5.012	-0.692	-4.345	-3.712
1.07.71	-3.699	5.550	-0.735	-4.974	-3.860
1.07.72	-4.892	5.925	-1.420	-4.502	-4.889
1.07.73	-2.980	4.379	-0.980	-3.729	-3.310
1.07.74	-3.044	4.287	-0.600	-3.216	-2.573
1.07.75	-0.614	2.087	-0.203	-1.942	-0.671
1.07.76	-0.848	2.663	-0.308	-2.850	-1.342
1.07.77	-1.096	3.087	-0.372	-3.285	-1.667
1.07.78	-0.489	1.606	-0.140	-1.491	-0.514
1.07.79	-1.093	3.169	-0.363	-3.215	-1.502
1.07.80	-0.287	0.847	-0.054	-0.789	-0.283
1.07.81	-1.212	2.871	-0.264	-2.656	-1.261
1.07.82	-0.299	1.287	-0.102	-1.238	-0.352
1.07.83	-1.137	1.940	-0.263	-1.687	-1.146
1.07.84	-0.602	1.480	-0.167	-1.237	-0.526
1.07.85	-2.722	3.682	-0.507	-2.714	-2.260
1.08.01	-0.650	2.033	-0.269	-1.945	-0.831
1.08.02	-0.590	2.315	-0.278	-2.224	-0.776
1.08.03	-1.147	2.638	-0.499	-2.112	-1.121
1.08.04	-1.387	3.075	-0.456	-3.131	-1.899
1.08.05	-1.213	3.432	-0.606	-3.520	-1.906
1.08.06	-3.823	5.127	-1.150	-4.550	-4.397
1.08.07	-3.475	4.508	-0.995	-3.269	-3.231
1.08.08	-2.688	4.138	-0.575	-3.783	-2.908
1.08.09	-4.708	7.340	-1.309	-6.526	-5.203
1.08.10	-2.720	3.901	-0.518	-3.158	-2.495
1.08.11	-1.250	2.360	-0.214	-1.894	-0.998
1.08.12	-1.143	2.572	-0.490	-2.028	-1.088
1.08.13	-1.678	3.914	-0.626	-3.529	-1.919
1.08.14	-1.107	3.150	-0.638	-2.350	-0.945
1.08.15	-1.009	2.395	-0.249	-2.077	-0.939
1.08.16	-1.010	2.531	-0.366	-2.324	-1.169
1.08.17	-1.244	2.626	-0.334	-2.497	-1.449
1.08.18	-1.087	3.213	-0.412	-3.576	-1.862
1.08.19	-2.717	5.762	-0.737	-6.166	-3.858
1.08.20	-2.049	4.427	-0.612	-4.003	-2.237
1.08.21	-3.189	3.761	-0.656	-3.044	-3.128
1.08.22	-1.433	3.552	-0.513	-3.516	-1.910
1.08.23	-1.980	4.158	-0.576	-4.105	-2.503
1.08.24	-1.353	3.333	-0.451	-3.597	-2.067
1.08.25	-1.378	3.177	-0.370	-3.222	-1.792
1.08.26	-2.841	3.491	-0.544	-2.320	-2.215
1.08.27	-3.401	4.589	-0.687	-3.184	-2.683
1.08.28	-3.098	4.992	-0.714	-4.062	-2.883
1.08.29	-2.606	4.619	-0.617	-3.810	-2.414
1.08.30	-3.267	4.435	-0.698	-2.957	-2.487
1.08.31	-1.313	3.383	-0.360	-2.999	-1.289
1.08.32	-1.724	3.325	-0.893	-2.087	-1.378
1.08.33	-2.304	4.113	-0.692	-3.190	-2.072
1.08.34	-1.636	3.232	-0.847	-1.952	-1.203
1.08.35	-1.290	2.351	-0.411	-1.783	-1.133
1.08.36	-1.602	3.845	-0.703	-3.492	-1.952
1.08.37	-1.241	2.361	-0.216	-1.913	-1.008
1.08.38	-1.224	2.387	-0.498	-1.878	-1.214
1.08.39	-3.627	4.187	-0.556	-3.134	-3.129
1.08.40	-3.297	5.054	-1.154	-3.031	-2.428
1.09.01	-3.124	4.937	-0.986	-3.333	-2.506
1.09.02	-1.056	2.736	-0.272	-2.642	-1.234
1.09.03	-1.361	4.354	-0.340	-3.969	-1.316
1.09.04	-4.251	6.339	-1.180	-4.288	-3.380
1.09.05	-2.756	4.448	-0.819	-3.005	-2.132
1.09.06	-2.588	4.657	-0.864	-3.305	-2.100
1.09.07	-2.653	4.349	-0.530	-3.244	-2.078
1.09.08	-2.107	3.671	-0.523	-2.604	-1.564
1.09.09	-1.920	4.780	-0.559	-4.853	-2.551
1.09.10	-3.633	6.399	-1.391	-3.964	-2.589
1.09.11	-1.729	2.408	-0.480	-1.979	-1.780
1.09.12	-2.447	3.808	-0.592	-2.444	-1.675
1.09.13	-1.609	3.006	-0.516	-2.494	-1.612
1.09.14	-1.229	2.981	-0.353	-2.665	-1.265
1.09.15	-2.983	4.749	-0.718	-4.387	-3.339
1.09.16	-3.510	8.397	-0.889	-8.074	-4.076
1.09.17	-2.841	7.052	-0.723	-6.607	-3.119
1.09.18	-4.347	10.586	-1.089	-10.802	-5.652
1.09.19	-3.699	6.528	-1.221	-5.688	-4.081
1.09.20	-3.293	5.795	-1.081	-4.976	-3.555
1.09.21	-1.648	6.094	-0.697	-7.799	-4.049
1.09.22	-0.790	2.906	-0.359	-2.836	-1.079
1.09.23	-1.034	3.158	-0.324	-3.492	-1.692
1.09.24	-0.841	2.722	-0.341	-2.827	-1.287
1.09.25	-1.601	4.717	-0.424	-4.823	-2.132
1.09.26	-1.240	4.882	-0.685	-5.141	-2.183
1.09.27	-1.271	3.751	-0.396	-4.233	-2.149
1.09.28	-0.883	3.308	-0.427	-3.335	-1.338
1.09.29	-1.835	5.268	-0.440	-5.398	-2.405
1.09.30	-1.451	4.264	-0.340	-4.478	-2.005
1.09.31	-1.316	3.763	-0.340	-3.670	-1.563
1.09.32	-1.531	4.484	-0.368	-4.765	-2.180
1.09.33	-1.323	4.334	-0.565	-4.571	-2.125
1.09.34	-0.719	2.242	-0.237	-2.159	-0.874
1.09.35	-1.701	3.061	-0.653	-2.667	-1.960
1.10.01	-3.303	6.232	-0.608	-6.499	-4.178
1.10.02	-1.490	3.462	-0.304	-3.036	-1.368
1.10.03	-3.548	5.295	-0.716	-4.566	-3.535
1.10.04	-3.916	4.797	-0.672	-3.961	-3.752
1.10.05	-0.890	1.868	-0.185	-1.898	-1.105
1.10.06	-3.010	3.336	-0.619	-2.538	-2.830
1.10.07	-1.041	2.187	-0.281	-2.071	-1.205
1.10.08	-2.769	2.904	-0.573	-2.306	-2.744
1.10.09	-1.807	2.576	-0.506	-2.405	-2.142
1.10.10	-0.693	1.104	-0.129	-1.008	-0.725
1.10.11	-0.738	1.063	-0.130	-0.682	-0.487
1.11.01	-3.943	5.876	-0.836	-5.246	-4.150
1.11.02	-4.492	6.080	-0.824	-4.948	-4.184
1.11.03	-3.299	4.904	-0.641	-4.409	-3.445
1.11.04	-0.694	1.481	-0.152	-1.260	-0.625
1.11.05	-0.959	1.682	-0.216	-1.701	-1.194
1.11.06	-3.532	4.230	-0.686	-3.473	-3.460
1.11.07	-3.000	3.880	-0.519	-3.175	-2.813
1.11.08	-0.963	1.239	-0.181	-0.796	-0.701
1.11.09	-0.930	1.125	-0.142	-0.777	-0.725
1.11.10	-3.895	4.198	-0.998	-3.317	-4.012
1.11.11	-0.869	2.056	-0.228	-1.423	-0.465
1.11.12	-2.271	2.666	-0.408	-1.829	-1.841
1.12.01	-2.065	4.183	-0.374	-4.669	-2.926
1.12.02	-2.580	5.403	-0.747	-5.370	-3.295
1.12.03	-1.794	3.406	-0.340	-3.059	-1.787
1.12.04	-0.814	2.322	-0.281	-1.831	-0.604
1.12.05	-2.965	4.201	-0.886	-2.875	-2.524
1.12.06	-1.463	3.223	-0.594	-2.917	-1.751
1.12.07	-3.791	5.375	-0.815	-4.872	-4.104
1.12.08	-3.923	5.702	-0.906	-5.082	-4.208
1.12.09	-3.348	5.623	-0.647	-4.644	-3.016
1.12.10	-0.719	1.999	-0.154	-1.862	-0.737
1.12.11	-2.673	4.238	-0.718	-2.580	-1.734
1.12.12	-1.882	3.134	-0.361	-3.086	-2.194
1.12.13	-0.453	1.019	-0.087	-0.853	-0.374
1.12.14	-0.574	1.402	-0.117	-1.444	-0.733
1.12.15	-1.704	3.616	-0.708	-2.539	-1.335
1.13.01	-3.305	4.179	-0.678	-2.986	-2.790
1.13.02	-2.076	3.098	-0.475	-2.780	-2.232
1.13.03	-0.401	1.667	-0.146	-1.374	-0.254
1.14.01	-2.666	5.493	-0.816	-5.052	-3.041
1.14.02	-3.273	4.367	-0.771	-3.472	-3.149
1.14.03	-2.834	4.642	-0.729	-4.807	-3.728
1.14.04	-4.768	5.818	-1.022	-4.963	-4.935
1.14.05	-3.475	4.964	-0.956	-4.212	-3.679
1.14.06	-2.290	3.348	-0.369	-2.196	-1.508
1.14.07	-1.729	3.933	-0.753	-2.906	-1.455
1.15.01	-1.499	3.703	-0.492	-3.277	-1.565
1.15.02	-0.775	1.754	-0.232	-1.477	-0.731
1.15.03	-2.616	4.724	-0.728	-4.768	-3.389
1.15.04	-2.617	5.570	-0.850	-5.121	-3.017
1.15.05	-1.436	2.926	-0.399	-2.841	-1.750
1.15.06	-1.253	4.042	-0.392	-4.447	-2.050
1.15.07	-2.007	4.258	-0.586	-3.745	-2.080
1.15.08	-2.414	5.363	-0.756	-5.530	-3.337
2.01.01	-0.671	1.474	-0.211	-1.198	-0.606
2.01.02	-0.289	1.233	-0.211	-0.921	-0.188
2.01.03	-0.584	1.198	-0.198	-0.546	-0.130
2.01.04	-0.297	0.799	-0.136	-0.406	-0.039
2.02.01	-0.744	1.468	-0.230	-1.156	-0.662
2.02.02	-0.798	1.592	-0.277	-0.830	-0.314
2.02.03	-0.482	1.223	-0.166	-0.763	-0.188
2.02.04	-1.240	2.290	-0.300	-1.163	-0.413
2.02.05	-0.411	1.015	-0.120	-0.582	-0.098
2.02.06	-0.743	1.401	-0.233	-0.879	-0.454
2.02.07	-0.796	1.491	-0.242	-0.847	-0.393
2.03.01	-1.477	3.734	-0.481	-3.299	-1.523
2.03.02	-2.141	6.164	-0.728	-6.111	-2.817
2.03.03	-1.424	3.434	-0.427	-3.110	-1.527
2.03.04	-1.005	3.233	-0.368	-2.736	-0.877
2.03.05	-1.910	5.401	-0.619	-5.562	-2.690
2.03.06	-0.757	2.450	-0.299	-1.986	-0.592
2.03.07	-2.480	7.021	-0.846	-7.160	-3.465
2.03.08	-2.257	6.490	-0.766	-6.513	-3.046
2.03.09	-1.269	3.915	-0.503	-3.378	-1.235
2.03.10	-1.575	5.250	-0.688	-4.674	-1.686
2.03.11	-4.854	8.852	-1.184	-8.308	-5.493
2.03.12	-4.217	8.646	-1.222	-8.342	-5.135
2.03.13	-3.976	7.312	-1.210	-5.982	-3.856
2.03.14	-5.020	10.269	-1.500	-9.980	-6.231
2.03.15	-4.602	8.596	-1.423	-7.270	-4.700
2.03.16	-2.026	5.919	-0.699	-6.007	-2.813
2.03.17	-1.622	4.494	-0.487	-4.520	-2.134
2.03.18	-0.753	2.525	-0.305	-2.050	-0.582
2.03.19	-1.636	4.248	-0.505	-3.823	-1.716
2.03.20	-1.003	2.638	-0.290	-2.232	-0.887
2.03.21	-3.007	5.309	-0.821	-5.231	-3.749
2.03.22	-3.642	10.158	-1.217	-9.707	-4.408
2.03.23	-2.066	5.194	-0.521	-4.994	-2.387
2.03.24	-2.283	6.013	-0.608	-6.146	-3.023
2.03.25	-2.576	6.430	-0.669	-6.128	-2.942
2.03.26	-2.188	5.610	-0.570	-5.620	-2.768
2.03.27	-1.718	5.135	-0.484	-5.527	-2.594
2.03.28	-1.815	4.830	-0.510	-4.978	-2.474
2.03.29	-1.398	3.404	-0.422	-3.422	-1.838
2.03.30	-2.434	6.446	-0.705	-6.307	-2.999
2.03.31	-3.500	7.089	-1.312	-5.234	-2.956
2.03.32	-3.343	7.020	-0.942	-6.883	-4.148
2.03.33	-2.436	3.744	-0.595	-2.873	-2.160
2.03.34	-1.967	3.160	-0.757	-2.935	-2.500
2.03.35	-2.689	4.895	-0.638	-4.453	-2.884
2.03.36	-3.575	5.779	-0.833	-3.118	-1.747
2.03.37	-3.638	6.788	-0.873	-5.362	-3.084
2.03.38	-3.425	6.554	-0.993	-4.874	-2.738
2.03.39	-3.932	7.000	-1.348	-3.736	-2.015
2.03.40	-3.234	5.899	-0.789	-4.756	-2.881
2.03.41	-4.643	6.706	-1.018	-3.860	-2.815
2.03.42	-2.619	5.492	-0.742	-4.930	-2.799
2.03.43	-2.775	5.018	-0.773	-3.839	-2.370
2.03.44	-9.749	18.844	-3.763	-11.763	-6.431
2.03.45	-8.395	16.565	-3.457	-9.191	-4.478
2.03.46	-4.632	8.494	-1.609	-6.351	-4.098
2.03.47	-2.964	7.995	-1.186	-5.229	-1.384
2.03.48	-1.248	3.504	-0.434	-2.351	-0.529
2.03.49	-2.297	6.746	-0.945	-4.681	-1.176
2.03.50	-1.398	4.070	-0.482	-3.348	-1.159
2.03.51	-2.954	7.773	-1.104	-5.150	-1.435
2.03.52	-1.624	4.763	-0.565	-4.050	-1.477
2.03.53	-1.393	4.052	-0.493	-3.337	-1.171
2.03.54	-2.162	6.412	-0.849	-4.485	-1.084
2.03.55	-5.655	10.428	-2.306	-5.606	-3.139
2.03.56	-5.362	10.752	-1.873	-6.122	-2.605
2.03.57	-2.192	4.548	-0.675	-3.072	-1.391
2.03.58	-3.930	8.212	-1.356	-4.425	-1.498
2.04.01	-2.056	4.728	-0.554	-5.249	-3.132
2.04.02	-1.864	3.784	-0.486	-3.745	-2.310
2.04.03	-1.479	3.406	-0.448	-3.601	-2.121
2.04.04	-2.397	6.443	-0.750	-5.595	-2.299
2.04.05	-1.520	3.293	-0.431	-3.078	-1.737
2.04.06	-3.640	5.766	-0.892	-4.037	-2.804
2.04.07	-7.015	13.832	-2.938	-7.716	-3.838
2.04.08	-3.379	5.899	-0.960	-4.677	-3.117
2.04.09	-4.481	9.918	-1.781	-6.004	-2.348
2.04.10	-2.961	6.896	-1.162	-4.073	-1.300
2.04.11	-1.412	3.653	-0.487	-3.399	-1.644
2.04.12	-2.352	5.420	-0.632	-4.940	-2.504
2.04.13	-1.225	3.942	-0.528	-3.952	-1.763
2.04.14	-1.587	4.417	-0.556	-3.881	-1.607
2.04.15	-2.904	7.854	-0.823	-6.893	-2.767
2.04.16	-3.520	8.560	-1.128	-8.859	-4.948
2.04.17	-4.248	7.362	-1.178	-7.667	-5.731
2.04.18	-5.856	11.548	-1.650	-10.703	-6.662
2.04.19	-3.960	6.485	-1.047	-5.444	-3.966
2.04.20	-4.218	6.872	-1.129	-5.742	-4.216
2.04.21	-1.273	3.228	-0.360	-2.824	-1.230
2.04.22	-2.197	6.313	-0.587	-5.578	-2.049
2.04.23	-2.308	5.614	-0.645	-5.111	-2.451
2.04.24	-2.923	8.176	-0.945	-7.230	-2.922
2.04.25	-1.985	5.244	-0.608	-4.850	-2.199
2.04.26	-2.342	4.877	-0.903	-5.360	-3.728
2.04.27	-2.469	5.648	-0.642	-5.372	-2.834
2.04.28	-5.272	9.114	-1.431	-9.419	-7.009
2.04.29	-5.434	8.798	-1.572	-7.420	-5.626
2.04.30	-4.012	6.691	-0.995	-6.071	-4.387
2.04.31	-1.907	5.257	-0.496	-4.964	-2.111
2.04.32	-2.988	7.106	-0.942	-5.836	-2.660
2.04.33	-1.122	3.356	-0.303	-3.237	-1.306
2.04.34	-2.319	5.686	-0.719	-4.521	-1.874
2.04.35	-1.310	3.887	-0.363	-3.725	-1.510
2.04.36	-2.853	4.612	-0.636	-3.140	-2.018
2.04.37	-3.732	5.878	-0.823	-4.739	-3.416
2.04.38	-0.850	2.580	-0.250	-2.183	-0.702
2.04.39	-3.633	7.374	-0.791	-6.327	-3.377
2.04.40	-2.355	5.337	-0.720	-5.065	-2.804
2.04.41	-1.546	4.624	-0.410	-4.531	-1.864
2.04.42	-1.466	4.410	-0.397	-4.313	-1.766
2.04.43	-1.886	5.543	-0.712	-5.246	-2.300
2.04.44	-2.991	7.317	-0.946	-6.130	-2.750
2.04.45	-3.056	7.470	-0.951	-6.194	-2.730
2.04.46	-2.251	5.658	-0.754	-4.761	-2.109
2.04.47	-1.205	4.176	-0.500	-4.237	-1.767
2.04.48	-2.274	5.982	-0.866	-5.416	-2.574
2.04.49	-1.906	4.618	-0.607	-4.176	-2.071
2.04.50	-1.069	3.499	-0.305	-3.468	-1.343
2.04.51	-3.431	6.864	-0.875	-7.035	-4.477
2.04.52	-3.489	9.941	-1.045	-10.948	-5.541
2.04.53	-2.095	5.180	-0.545	-5.251	-2.712
2.04.54	-2.037	4.987	-0.535	-4.888	-2.473
2.04.55	-1.388	3.353	-0.365	-3.270	-1.669
2.04.56	-1.702	4.212	-0.440	-4.125	-2.054
2.04.57	-2.084	5.241	-0.552	-5.208	-2.603
2.04.58	-1.770	4.551	-0.501	-4.810	-2.530
2.04.59	-2.064	5.100	-0.556	-5.204	-2.724
2.04.60	-1.766	4.366	-0.503	-4.402	-2.306
2.04.61	-2.580	4.536	-0.640	-3.884	-2.568
2.04.62	-2.525	3.648	-1.067	-3.133	-3.078
2.04.63	-2.140	3.148	-0.828	-2.691	-2.510
2.04.64	-1.942	4.288	-0.575	-3.504	-1.733
2.04.65	-2.207	4.848	-0.541	-4.268	-2.169
2.04.66	-1.962	5.218	-0.666	-4.651	-2.060
2.04.67	-1.327	3.264	-0.394	-3.088	-1.544
2.04.68	-3.237	5.698	-0.683	-3.914	-2.135
2.04.69	-2.264	3.718	-0.481	-2.611	-1.638
2.04.70	-3.767	5.200	-0.781	-3.686	-3.035
2.04.71	-1.166	3.133	-0.294	-2.846	-1.173
2.05.01	-2.339	4.040	-0.618	-3.127	-2.046
2.05.02	-1.816	4.684	-0.696	-4.142	-1.971
2.05.03	-0.832	1.787	-0.241	-1.319	-0.605
2.05.04	-1.939	2.589	-0.343	-1.542	-1.235
2.05.05	-0.642	2.222	-0.250	-2.001	-0.671
2.05.06	-3.600	7.886	-0.897	-7.519	-4.130
2.05.07	-1.982	3.097	-0.442	-2.440	-1.768
2.05.08	-2.384	4.704	-0.638	-3.941	-2.258
2.05.09	-3.400	5.976	-0.742	-5.381	-3.548
2.05.10	-4.196	6.210	-1.422	-4.767	-4.175
2.05.11	-4.515	6.424	-2.095	-5.146	-5.331
2.05.12	-2.762	4.663	-0.586	-4.318	-3.004
