# SQM interaction energies (kcal/mol)
system	PM6	PM6-D3	PM6-D3H4	PM6-D3H4X	PM7	DFTB3	DFTB3-D3	DFTB3-D3H4	DFTB3-D3H4X	DFTB3-D3H5	DFTB3-D3H5X	GFN2-XTB
1.02.14	-0.087	-0.477	-0.477	-0.473	-0.446	-0.140	-0.678	-0.647	-0.647	-0.646	-0.646	-0.414
1.02.15	-0.081	-0.491	-0.491	-0.488	-0.304	-0.062	-0.496	-0.553	-0.553	-0.552	-0.552	-0.454
1.02.16	-0.056	-0.332	-0.332	-0.330	-0.245	-0.054	-0.365	-0.379	-0.379	-0.379	-0.379	-0.316
1.02.17	-0.055	-0.329	-0.329	-0.327	-0.253	-0.055	-0.370	-0.381	-0.381	-0.381	-0.381	-0.324
1.02.18	-0.051	-0.402	-0.402	-0.400	-0.280	-0.071	-0.459	-0.528	-0.528	-0.528	-0.528	-0.514
1.03.01	-0.018	-0.630	-0.630	-0.647	-0.166	0.032	-0.574	-0.782	-0.782	-0.785	-0.785	-0.506
1.03.02	0.020	-0.484	-0.484	-0.481	-0.075	0.057	-0.442	-0.631	-0.631	-0.631	-0.631	-0.333
1.03.03	-0.055	-0.209	-0.209	-0.208	-0.130	-0.049	-0.220	-0.246	-0.246	-0.246	-0.246	-0.223
1.03.04	0.051	-0.354	-0.354	-0.351	0.002	0.120	-0.295	-0.392	-0.392	-0.393	-0.393	-0.183
1.04.01	-0.244	-0.821	-0.821	-0.817	-0.337	-0.212	-0.806	-0.963	-0.963	-0.964	-0.964	-0.817
1.05.01	-0.022	-0.647	-0.647	-0.643	-0.129	~~~	~~~	~~~	~~~	~~~	~~~	-1.090
1.05.02	-0.022	-0.499	-0.499	-0.513	-0.113	~~~	~~~	~~~	~~~	~~~	~~~	-0.749
1.05.03	0.010	-0.752	-0.752	-0.830	-0.263	~~~	~~~	~~~	~~~	~~~	~~~	-0.405
1.05.04	-0.036	-0.363	-0.363	-0.406	-0.186	~~~	~~~	~~~	~~~	~~~	~~~	-0.307
1.06.01	-0.307	-3.836	-3.836	-3.873	-5.159	0.296	-4.586	-4.342	-4.342	-4.342	-4.342	-4.272
1.06.02	-0.572	-2.104	-2.104	-2.113	-2.382	-0.187	-2.242	-2.102	-2.102	-2.102	-2.102	-1.931
1.06.03	-0.488	-2.982	-2.982	-3.068	-3.693	-0.210	-3.828	-3.624	-3.624	-3.624	-3.624	-3.555
1.06.04	-0.418	-4.586	-4.586	-4.663	-6.261	0.433	-5.426	-5.055	-5.055	-5.055	-5.055	-4.991
1.06.05	-0.849	-3.008	-3.008	-3.028	-3.685	-0.220	-3.297	-2.990	-2.990	-2.990	-2.990	-2.865
1.06.06	-0.472	-2.206	-2.206	-2.261	-2.464	-0.221	-2.450	-2.514	-2.514	-2.514	-2.514	-2.189
1.06.07	-0.422	-1.479	-1.479	-1.479	-1.515	-0.183	-1.692	-1.439	-1.439	-1.439	-1.439	-1.055
1.06.08	-0.487	-3.065	-3.065	-3.089	-3.387	-0.043	-3.384	-3.227	-3.227	-3.227	-3.227	-2.676
1.06.09	-0.379	-1.408	-1.408	-1.408	-1.486	-0.161	-1.593	-1.355	-1.355	-1.355	-1.355	-1.130
1.06.10	-0.451	-2.886	-2.886	-2.890	-3.458	-0.143	-3.243	-3.218	-3.218	-3.218	-3.218	-2.689
1.06.11	-0.407	-2.576	-2.576	-2.581	-2.884	-0.033	-2.808	-2.776	-2.776	-2.776	-2.776	-2.292
1.06.12	-0.492	-2.450	-2.450	-2.513	-2.840	-0.231	-2.871	-2.893	-2.893	-2.893	-2.893	-2.432
1.06.13	-0.505	-2.953	-2.953	-2.977	-4.099	-0.018	-3.478	-3.275	-3.275	-3.274	-3.274	-2.922
1.06.14	-0.325	-2.546	-2.546	-2.550	-2.741	0.019	-2.835	-2.810	-2.810	-2.810	-2.810	-2.168
1.06.15	-0.300	-1.409	-1.409	-1.410	-1.655	-0.054	-1.752	-1.475	-1.475	-1.475	-1.475	-1.215
1.06.16	-0.784	-2.535	-2.535	-2.550	-2.896	-0.301	-2.690	-2.481	-2.481	-2.481	-2.481	-2.415
1.06.17	-0.680	-2.146	-2.146	-2.157	-2.223	-0.316	-2.247	-2.063	-2.063	-2.063	-2.063	-1.991
1.06.18	-0.797	-3.193	-3.193	-3.235	-3.279	-0.181	-3.634	-3.295	-3.295	-3.295	-3.295	-3.034
1.06.19	-0.399	-1.151	-1.151	-1.151	-1.068	-0.219	-1.355	-1.016	-1.016	-1.015	-1.015	-1.068
1.06.20	-0.641	-2.235	-2.235	-2.293	-2.201	-0.210	-2.430	-2.244	-2.244	-2.244	-2.244	-2.191
1.06.21	-0.276	-2.509	-2.509	-2.522	-3.037	0.172	-3.027	-2.756	-2.756	-2.756	-2.756	-2.993
1.06.22	-0.431	-2.838	-2.838	-2.861	-3.561	0.049	-3.552	-3.116	-3.116	-3.116	-3.116	-3.494
1.06.23	-0.942	-2.131	-2.131	-2.137	-2.368	-0.714	-2.662	-2.330	-2.330	-2.330	-2.330	-2.381
1.06.24	-0.994	-1.937	-1.937	-1.942	-2.077	-0.874	-2.407	-2.104	-2.104	-2.104	-2.104	-2.063
1.06.25	-0.998	-3.625	-3.625	-3.648	-3.879	-0.186	-3.767	-3.606	-3.606	-3.606	-3.606	-3.298
1.06.26	-0.236	-0.908	-0.908	-0.909	-1.017	-0.078	-1.200	-0.969	-0.969	-0.969	-0.969	-1.017
1.06.27	-0.379	-2.269	-2.269	-2.273	-2.413	-0.035	-2.497	-2.476	-2.476	-2.476	-2.476	-2.371
1.06.28	-0.312	-1.993	-1.993	-1.994	-1.994	0.032	-2.168	-2.083	-2.083	-2.083	-2.083	-1.768
1.06.29	-0.214	-1.631	-1.631	-1.632	-1.571	0.006	-1.751	-1.791	-1.791	-1.791	-1.791	-1.506
1.06.30	-0.348	-2.070	-2.070	-2.073	-2.158	-0.019	-2.284	-2.251	-2.251	-2.251	-2.251	-1.998
1.06.31	-0.327	-1.472	-1.472	-1.472	-1.385	-0.067	-1.563	-1.436	-1.436	-1.436	-1.436	-1.192
1.06.32	-0.371	-2.178	-2.178	-2.181	-2.562	-0.094	-2.486	-2.463	-2.463	-2.463	-2.463	-2.159
1.06.33	-0.240	-1.576	-1.576	-1.576	-1.442	-0.052	-1.660	-1.690	-1.690	-1.690	-1.690	-1.513
1.06.34	-0.395	-2.463	-2.463	-2.464	-2.397	-0.076	-2.719	-2.637	-2.637	-2.637	-2.637	-2.053
1.06.35	-0.338	-1.967	-1.967	-1.968	-1.865	-0.089	-2.095	-2.094	-2.094	-2.094	-2.094	-1.759
1.06.36	-0.775	-2.613	-2.613	-2.631	-3.210	-0.139	-2.778	-2.528	-2.528	-2.528	-2.528	-2.481
1.06.37	-0.859	-4.043	-4.043	-4.075	-4.875	-0.075	-4.447	-4.160	-4.160	-4.160	-4.160	-4.116
1.06.38	-0.615	-3.861	-3.861	-3.891	-4.730	0.076	-4.300	-4.074	-4.074	-4.074	-4.074	-3.659
1.06.39	-0.680	-4.321	-4.321	-4.341	-4.904	0.007	-4.813	-4.548	-4.548	-4.548	-4.548	-3.726
1.06.40	-0.613	-3.353	-3.353	-3.370	-3.748	-0.087	-3.607	-3.486	-3.486	-3.486	-3.486	-2.770
1.06.41	-0.526	-3.162	-3.162	-3.164	-3.790	-0.287	-4.288	-3.763	-3.763	-3.762	-3.762	-2.204
1.06.42	-0.395	-1.811	-1.811	-1.812	-2.042	-0.170	-2.215	-1.899	-1.899	-1.899	-1.899	-1.258
1.06.43	-0.644	-3.456	-3.456	-3.474	-4.069	0.039	-3.852	-3.564	-3.564	-3.564	-3.564	-3.068
1.06.44	-0.568	-3.366	-3.366	-3.384	-3.989	0.000	-3.673	-3.555	-3.555	-3.555	-3.555	-3.249
1.06.45	-0.522	-2.538	-2.538	-2.541	-3.294	-0.156	-3.372	-2.849	-2.849	-2.848	-2.848	-1.965
1.06.46	-0.501	-2.338	-2.338	-2.341	-2.860	-0.196	-3.000	-2.607	-2.607	-2.607	-2.607	-1.733
1.06.47	-0.537	-2.335	-2.335	-2.337	-3.148	-0.302	-3.163	-2.771	-2.771	-2.771	-2.771	-1.796
1.06.48	-0.679	-2.816	-2.816	-2.821	-4.093	-0.340	-4.022	-3.309	-3.309	-3.309	-3.309	-2.252
1.06.49	-0.688	-2.813	-2.813	-2.819	-3.883	-0.224	-3.839	-3.103	-3.103	-3.102	-3.102	-2.204
1.06.50	-0.478	-1.756	-1.756	-1.757	-1.980	-0.267	-2.109	-1.834	-1.834	-1.833	-1.833	-1.217
1.06.51	-0.557	-2.792	-2.792	-2.795	-3.489	-0.337	-3.686	-3.162	-3.162	-3.162	-3.162	-2.013
1.06.52	-0.585	-2.111	-2.111	-2.113	-2.881	-0.542	-3.075	-2.601	-2.601	-2.600	-2.600	-1.668
1.06.53	-0.623	-2.806	-2.806	-2.809	-3.360	-0.349	-3.573	-3.154	-3.154	-3.154	-3.154	-2.022
1.06.54	-0.652	-2.614	-2.614	-2.617	-3.349	-0.468	-3.523	-3.024	-3.024	-3.024	-3.024	-1.954
1.06.55	-0.710	-3.109	-3.109	-3.123	-3.904	-0.235	-3.430	-3.268	-3.268	-3.268	-3.268	-2.908
1.06.56	-0.686	-2.514	-2.514	-2.518	-3.374	-0.437	-3.505	-2.941	-2.941	-2.941	-2.941	-1.971
1.06.57	-0.400	-2.610	-2.610	-2.631	-2.867	-0.051	-2.860	-2.773	-2.773	-2.773	-2.773	-2.328
1.06.58	-0.682	-2.710	-2.710	-2.712	-2.771	-0.263	-2.883	-2.766	-2.766	-2.766	-2.766	-2.382
1.06.59	-0.204	-0.526	-0.526	-0.526	-0.698	-0.160	-0.843	-0.606	-0.606	-0.606	-0.606	-0.721
1.06.60	-0.448	-2.042	-2.042	-2.045	-2.429	-0.193	-2.292	-2.226	-2.226	-2.226	-2.226	-2.187
1.06.61	-0.059	-2.189	-2.189	-2.211	-2.789	0.314	-2.646	-2.489	-2.489	-2.489	-2.489	-2.526
1.06.62	-0.430	-2.209	-2.209	-2.223	-2.130	-0.091	-2.446	-2.412	-2.412	-2.412	-2.412	-2.045
1.06.63	-0.400	-1.803	-1.803	-1.806	-1.944	-0.114	-1.985	-1.901	-1.901	-1.901	-1.901	-1.931
1.06.64	-0.486	-1.044	-1.044	-1.045	-1.114	-0.462	-1.369	-1.242	-1.242	-1.242	-1.242	-1.539
1.07.01	-0.752	-3.069	-3.069	-3.103	-3.260	0.032	-2.788	-2.969	-2.969	-2.973	-2.973	-2.639
1.07.02	-0.951	-3.735	-3.735	-3.775	-4.390	0.178	-3.545	-3.625	-3.625	-3.625	-3.625	-3.094
1.07.03	-0.758	-2.869	-2.869	-2.900	-2.845	0.052	-2.443	-2.690	-2.690	-2.678	-2.678	-2.355
1.07.04	-0.785	-3.224	-3.224	-3.260	-3.380	0.035	-2.965	-3.170	-3.170	-3.178	-3.178	-2.797
1.07.05	-1.638	-4.694	-4.694	-4.737	-4.916	-0.072	-3.979	-4.054	-4.054	-4.057	-4.057	-3.810
1.07.06	-1.426	-2.545	-2.545	-2.561	-2.500	-0.416	-1.955	-1.912	-1.912	-2.068	-2.068	-2.246
1.07.07	-1.897	-3.515	-3.515	-3.549	-4.131	-0.380	-2.921	-2.690	-2.690	-2.875	-2.875	-3.300
1.07.08	-1.296	-4.369	-4.369	-4.440	-5.032	0.221	-3.764	-3.996	-3.996	-3.831	-3.831	-4.566
1.07.09	-0.598	-1.786	-1.786	-1.836	-2.089	-0.039	-1.958	-1.864	-1.864	-1.980	-1.980	-1.866
1.07.10	-1.402	-3.889	-3.889	-3.926	-4.202	0.029	-3.207	-3.371	-3.371	-3.303	-3.303	-3.896
1.07.11	-1.833	-3.840	-3.840	-3.851	-4.155	-0.527	-3.127	-2.984	-2.984	-2.983	-2.983	-3.145
1.07.12	-1.551	-2.838	-2.838	-2.845	-2.820	-0.615	-2.135	-2.149	-2.149	-2.150	-2.150	-1.908
1.07.13	-1.918	-3.648	-3.648	-3.664	-3.891	-0.574	-2.661	-2.659	-2.659	-2.660	-2.660	-2.447
1.07.14	-2.467	-4.398	-4.398	-4.409	-4.537	-0.670	-3.026	-3.157	-3.157	-3.318	-3.318	-3.386
1.07.15	-3.097	-5.429	-5.429	-5.442	-5.298	-0.737	-3.539	-3.535	-3.535	-3.718	-3.718	-4.151
1.07.16	-0.736	-1.689	-1.689	-1.690	-2.224	-0.228	-1.974	-1.576	-1.576	-1.624	-1.624	-1.540
1.07.17	-0.779	-1.755	-1.755	-1.755	-1.536	-0.207	-1.538	-1.272	-1.272	-1.316	-1.316	-1.193
1.07.18	-0.619	-1.627	-1.627	-1.628	-1.738	-0.113	-1.705	-1.331	-1.331	-1.363	-1.363	-1.288
1.07.19	-0.340	-1.258	-1.258	-1.259	-1.370	-0.211	-1.463	-1.244	-1.244	-1.253	-1.253	-1.368
1.07.20	-0.622	-1.744	-1.744	-1.745	-1.988	-0.158	-1.962	-1.578	-1.578	-1.612	-1.612	-1.467
1.07.21	-0.385	-1.027	-1.027	-1.027	-1.036	-0.094	-1.065	-0.893	-0.893	-0.902	-0.902	-0.908
1.07.22	-0.375	-1.342	-1.342	-1.343	-1.348	-0.008	-1.451	-1.285	-1.285	-1.291	-1.291	-1.005
1.07.23	-0.487	-1.224	-1.224	-1.225	-1.028	-0.074	-1.073	-0.930	-0.930	-0.931	-0.931	-0.835
1.07.24	-0.700	-1.988	-1.988	-1.990	-2.191	-0.181	-2.161	-1.820	-1.820	-1.848	-1.848	-1.550
1.07.25	-0.691	-1.782	-1.782	-1.783	-2.056	-0.160	-2.016	-1.597	-1.597	-1.604	-1.604	-1.183
1.07.26	-2.004	-3.080	-3.080	-3.083	-3.235	-0.726	-2.781	-2.423	-2.423	-2.330	-2.330	-2.172
1.07.27	-0.585	-2.350	-2.350	-2.414	-2.381	-0.090	-2.305	-2.375	-2.375	-2.398	-2.398	-2.287
1.07.28	-0.501	-1.234	-1.234	-1.235	-1.256	-0.142	-1.409	-1.161	-1.161	-1.192	-1.192	-1.468
1.07.29	-0.692	-2.814	-2.814	-2.819	-3.082	-0.146	-2.950	-2.980	-2.980	-2.995	-2.995	-2.192
1.07.30	-0.934	-3.050	-3.050	-3.055	-2.720	-0.124	-2.755	-2.879	-2.879	-2.875	-2.875	-2.351
1.07.31	-0.843	-2.728	-2.728	-2.785	-2.768	-0.156	-2.667	-2.569	-2.569	-2.592	-2.592	-2.621
1.07.32	-1.219	-2.225	-2.225	-2.227	-2.333	-0.393	-2.100	-1.782	-1.782	-1.836	-1.836	-1.888
1.07.33	-0.826	-2.605	-2.605	-2.609	-2.141	-0.081	-2.237	-2.303	-2.303	-2.310	-2.310	-2.025
1.07.34	-0.864	-1.749	-1.749	-1.750	-1.808	-0.305	-1.761	-1.472	-1.472	-1.503	-1.503	-1.730
1.07.35	-1.348	-2.224	-2.224	-2.225	-2.230	-0.419	-2.063	-1.690	-1.690	-1.645	-1.645	-1.912
1.07.36	-1.267	-2.827	-2.827	-2.829	-2.704	-0.411	-2.539	-2.526	-2.526	-2.477	-2.477	-1.513
1.07.37	-0.893	-3.568	-3.568	-3.656	-3.823	-0.015	-3.339	-3.473	-3.473	-3.487	-3.487	-3.110
1.07.38	-1.470	-2.280	-2.280	-2.282	-2.403	-0.550	-2.159	-1.901	-1.901	-1.836	-1.836	-1.626
1.07.39	-1.326	-2.693	-2.693	-2.695	-2.330	-0.331	-2.249	-2.133	-2.133	-2.081	-2.081	-2.038
1.07.40	-0.752	-3.077	-3.077	-3.151	-3.230	-0.001	-2.879	-3.010	-3.010	-3.020	-3.020	-2.656
1.07.41	-1.022	-2.429	-2.429	-2.437	-2.009	0.046	-1.630	-1.821	-1.821	-1.821	-1.821	-2.045
1.07.42	-1.738	-4.234	-4.234	-4.258	-4.569	-0.426	-3.799	-3.719	-3.719	-3.646	-3.646	-3.680
1.07.43	-0.962	-2.486	-2.486	-2.501	-2.472	0.057	-1.856	-1.971	-1.971	-1.971	-1.971	-2.180
1.07.44	-1.595	-3.320	-3.320	-3.330	-3.248	-0.687	-3.017	-2.819	-2.819	-2.706	-2.706	-2.817
1.07.45	-0.883	-2.146	-2.146	-2.154	-1.791	0.034	-1.446	-1.617	-1.617	-1.617	-1.617	-1.776
1.07.46	-0.576	-1.659	-1.659	-1.660	-1.380	-0.064	-1.318	-1.512	-1.512	-1.512	-1.512	-1.228
1.07.47	-0.551	-2.126	-2.126	-2.128	-1.722	-0.150	-1.921	-2.039	-2.039	-2.036	-2.036	-1.710
1.07.48	-0.696	-2.272	-2.272	-2.273	-2.375	-0.242	-2.362	-2.219	-2.219	-2.185	-2.185	-1.890
1.07.49	-0.956	-2.753	-2.753	-2.755	-2.540	-0.281	-2.789	-2.563	-2.563	-2.538	-2.538	-2.015
1.07.50	-0.835	-2.150	-2.150	-2.151	-1.740	-0.250	-1.964	-1.809	-1.809	-1.774	-1.774	-1.300
1.07.51	-1.570	-3.095	-3.095	-3.107	-2.980	-0.795	-2.912	-2.657	-2.657	-2.529	-2.529	-2.635
1.07.52	0.638	-0.683	-0.683	-0.720	-0.238	-0.539	-2.633	-2.727	-2.727	-2.754	-2.754	-2.407
1.07.53	-0.735	-1.874	-1.874	-1.875	-1.271	-0.363	-1.648	-1.607	-1.607	-1.552	-1.552	-1.547
1.07.54	-0.365	-0.952	-0.952	-0.952	-0.646	-0.098	-0.767	-0.928	-0.928	-0.928	-0.928	-0.813
1.07.55	-1.238	-2.884	-2.884	-2.888	-2.497	-0.456	-2.475	-2.413	-2.413	-2.356	-2.356	-2.340
1.07.56	-1.771	-6.137	-6.137	-6.237	-7.924	0.304	-5.649	-5.699	-5.699	-5.529	-5.529	-6.908
1.07.57	-1.770	-5.460	-5.460	-5.530	-6.319	0.225	-4.596	-4.818	-4.818	-4.672	-4.672	-5.586
1.07.58	-1.322	-4.339	-4.339	-4.398	-5.197	0.176	-3.792	-3.954	-3.954	-3.818	-3.818	-4.705
1.07.59	-0.864	-3.260	-3.260	-3.295	-3.748	0.001	-3.199	-3.168	-3.168	-3.171	-3.171	-2.877
1.07.60	-1.150	-3.737	-3.737	-3.775	-3.902	-0.013	-3.367	-3.384	-3.384	-3.411	-3.411	-3.053
1.07.61	-0.852	-3.118	-3.118	-3.152	-3.082	0.043	-2.734	-2.885	-2.885	-2.886	-2.886	-2.559
1.07.62	-0.872	-2.741	-2.741	-2.767	-2.941	0.080	-2.502	-2.518	-2.518	-2.447	-2.447	-3.226
1.07.63	-0.703	-1.691	-1.691	-1.692	-1.850	-0.190	-1.725	-1.325	-1.325	-1.344	-1.344	-1.499
1.07.64	-0.678	-1.587	-1.587	-1.588	-1.701	-0.336	-1.701	-1.343	-1.343	-1.372	-1.372	-1.413
1.07.65	-0.639	-1.417	-1.417	-1.418	-1.349	-0.203	-1.298	-1.029	-1.029	-1.033	-1.033	-1.115
1.07.66	-0.745	-1.842	-1.842	-1.843	-2.062	-0.399	-2.070	-1.708	-1.708	-1.798	-1.798	-2.183
1.07.67	-1.374	-3.247	-3.247	-3.265	-3.413	-0.619	-3.004	-2.938	-2.938	-2.889	-2.889	-2.633
1.07.68	-1.133	-2.552	-2.552	-2.597	-2.489	-0.588	-2.599	-2.539	-2.539	-2.543	-2.543	-2.925
1.07.69	-2.209	-4.157	-4.157	-4.174	-4.092	-0.793	-3.352	-3.254	-3.254	-3.369	-3.369	-3.349
1.07.70	-1.531	-3.511	-3.511	-3.569	-3.792	-0.803	-3.382	-3.332	-3.332	-3.402	-3.402	-3.099
1.07.71	-1.988	-4.159	-4.159	-4.172	-4.123	-0.562	-3.443	-3.386	-3.386	-3.424	-3.424	-3.398
1.07.72	-3.435	-5.226	-5.226	-5.237	-4.993	-1.843	-4.193	-4.127	-4.127	-3.934	-3.934	-3.926
1.07.73	-1.706	-3.194	-3.194	-3.207	-3.320	-0.459	-2.529	-2.551	-2.551	-2.635	-2.635	-2.402
1.07.74	-1.716	-3.254	-3.254	-3.256	-2.704	-0.581	-2.501	-2.561	-2.561	-2.630	-2.630	-2.751
1.07.75	-0.812	-2.010	-2.010	-2.012	-1.442	-0.088	-1.436	-1.679	-1.679	-1.679	-1.679	-1.452
1.07.76	-0.660	-2.052	-2.052	-2.054	-1.802	-0.139	-2.074	-1.879	-1.879	-1.850	-1.850	-1.376
1.07.77	-0.897	-2.509	-2.509	-2.512	-2.178	-0.136	-2.241	-2.196	-2.196	-2.189	-2.189	-1.803
1.07.78	-0.484	-1.467	-1.467	-1.467	-1.158	-0.061	-1.193	-1.367	-1.367	-1.367	-1.367	-1.128
1.07.79	-0.707	-2.447	-2.447	-2.449	-2.367	-0.171	-2.385	-2.414	-2.414	-2.408	-2.408	-1.593
1.07.80	-0.250	-0.889	-0.889	-0.889	-0.510	0.023	-0.648	-0.797	-0.797	-0.797	-0.797	-0.605
1.07.81	-0.644	-2.240	-2.240	-2.241	-1.830	-0.162	-1.964	-2.056	-2.056	-2.050	-2.050	-1.653
1.07.82	-0.266	-1.155	-1.155	-1.156	-1.140	-0.076	-1.141	-1.241	-1.241	-1.241	-1.241	-0.943
1.07.83	-0.307	-1.094	-1.094	-1.095	-0.962	-0.156	-1.222	-1.106	-1.106	-1.060	-1.060	-1.331
1.07.84	-0.455	-1.180	-1.180	-1.181	-1.042	0.021	-0.829	-0.931	-0.931	-0.931	-0.931	-1.036
1.07.85	-1.156	-2.404	-2.404	-2.405	-1.820	-0.533	-2.124	-2.025	-2.025	-1.928	-1.928	-2.195
1.08.01	-0.456	-1.737	-1.737	-1.739	-0.913	-0.119	-1.587	-2.014	-2.014	-2.015	-2.015	-1.521
1.08.02	-0.808	-2.365	-2.365	-2.366	-1.268	-0.315	-2.000	-2.469	-2.469	-2.471	-2.471	-1.917
1.08.03	-0.348	-1.458	-1.458	-1.458	-1.171	0.023	-1.447	-1.481	-1.481	-1.488	-1.488	-1.404
1.08.04	-0.598	-2.525	-2.525	-2.528	-1.937	-0.111	-2.395	-2.522	-2.522	-2.526	-2.526	-2.064
1.08.05	-0.640	-2.699	-2.699	-2.702	-2.412	-0.145	-2.741	-2.776	-2.776	-2.781	-2.781	-2.026
1.08.06	-2.021	-3.920	-3.920	-3.936	-3.388	-0.695	-3.337	-3.299	-3.299	-3.324	-3.324	-3.047
1.08.07	-1.597	-2.896	-2.896	-2.903	-2.406	-0.668	-2.541	-2.503	-2.503	-2.520	-2.520	-2.161
1.08.08	-1.053	-2.924	-2.924	-2.941	-2.592	-0.473	-2.880	-3.137	-3.137	-3.137	-3.137	-3.089
1.08.09	-2.397	-5.424	-5.424	-5.441	-5.066	-1.151	-5.151	-5.025	-5.025	-5.049	-5.049	-4.602
1.08.10	-1.070	-2.641	-2.641	-2.650	-2.008	-0.601	-2.574	-2.791	-2.791	-2.791	-2.791	-2.726
1.08.11	-0.715	-2.028	-2.028	-2.029	-1.040	-0.169	-1.606	-1.982	-1.982	-1.983	-1.983	-1.761
1.08.12	-0.756	-1.842	-1.842	-1.843	-1.278	-0.108	-1.494	-1.547	-1.547	-1.558	-1.558	-1.484
1.08.13	-1.100	-3.273	-3.273	-3.275	-2.739	-0.511	-3.182	-3.162	-3.162	-3.181	-3.181	-2.543
1.08.14	-0.838	-2.182	-2.182	-2.182	-1.454	-0.245	-1.847	-2.104	-2.104	-2.108	-2.108	-1.774
1.08.15	-0.834	-2.297	-2.297	-2.298	-1.252	-0.231	-1.845	-2.248	-2.248	-2.250	-2.250	-1.895
1.08.16	-0.441	-1.921	-1.921	-1.922	-1.532	-0.085	-1.891	-1.989	-1.989	-2.002	-2.002	-1.466
1.08.17	-0.282	-2.070	-2.070	-2.072	-1.326	-0.025	-1.901	-2.306	-2.306	-2.314	-2.314	-1.957
1.08.18	-0.648	-2.799	-2.799	-2.802	-2.524	-0.278	-3.061	-3.016	-3.016	-3.022	-3.022	-2.233
1.08.19	-0.934	-3.911	-3.911	-3.938	-4.195	0.041	-3.837	-3.828	-3.828	-3.837	-3.837	-3.726
1.08.20	-0.671	-2.719	-2.719	-2.730	-2.709	-0.013	-2.618	-2.667	-2.667	-2.671	-2.671	-2.612
1.08.21	-1.872	-3.298	-3.298	-3.307	-2.861	-0.745	-2.680	-2.586	-2.586	-2.708	-2.708	-2.800
1.08.22	0.043	-1.965	-1.965	-1.967	-1.686	0.188	-2.335	-2.436	-2.436	-2.437	-2.437	-1.625
1.08.23	-0.420	-2.977	-2.977	-2.982	-2.324	-0.028	-3.004	-3.371	-3.371	-3.394	-3.394	-3.064
1.08.24	-0.428	-2.764	-2.764	-2.768	-2.139	-0.075	-2.790	-3.099	-3.099	-3.122	-3.122	-2.658
1.08.25	-0.509	-2.473	-2.473	-2.474	-1.935	-0.023	-2.399	-2.543	-2.543	-2.551	-2.551	-2.025
1.08.26	-1.250	-2.428	-2.428	-2.429	-1.949	-0.592	-2.091	-2.039	-2.039	-2.135	-2.135	-2.138
1.08.27	-1.841	-3.644	-3.644	-3.646	-2.892	-0.973	-3.145	-3.339	-3.339	-3.415	-3.415	-2.510
1.08.28	-1.603	-3.708	-3.708	-3.723	-3.285	-0.732	-3.362	-3.379	-3.379	-3.413	-3.413	-3.561
1.08.29	-1.172	-3.342	-3.342	-3.361	-2.877	-0.429	-3.072	-3.237	-3.237	-3.258	-3.258	-3.125
1.08.30	-1.609	-3.227	-3.227	-3.227	-2.510	-0.877	-2.839	-2.945	-2.945	-2.989	-2.989	-3.300
1.08.31	-0.095	-1.719	-1.719	-1.720	-1.673	0.211	-1.772	-1.916	-1.916	-1.912	-1.912	-2.144
1.08.32	-1.014	-1.495	-1.495	-1.495	-1.256	-0.585	-1.896	-1.439	-1.439	-1.464	-1.464	-2.251
