# SQM interaction energies (kcal/mol)
system	"PM6"	"PM6-D3H4"	"PM6-D3H4X"	"PM6-D3H4'X"	"PM7"	"DFTB3"	"DFTB3-D3"	"DFTB3-D3H4"	"DFTB3-D3H5"	"DFTB3-D3H5'"	"GFN-XTB2"
1.02_100	-1.550	-2.146	-2.146	-2.146	-4.732	-0.342	-1.328	-1.163	-1.231	-1.231	-2.287
1.02_105	-1.578	-2.214	-2.214	-2.214	-4.661	-0.299	-1.217	-1.081	-1.120	-1.120	-2.077
1.02_110	-1.479	-2.132	-2.132	-2.132	-4.415	-0.248	-1.096	-1.018	-1.046	-1.046	-1.857
1.02_125	-0.998	-1.512	-1.512	-1.512	-3.296	-0.137	-0.779	-0.788	-0.806	-0.806	-1.269
1.02_150	-0.493	-0.723	-0.723	-0.723	-1.709	-0.065	-0.420	-0.346	-0.355	-0.355	-0.649
1.02_200	-0.198	-0.253	-0.253	-0.253	-0.350	-0.022	-0.114	-0.085	-0.089	-0.089	-0.192
1.03_080	2.425	2.027	2.022	2.022	0.540	0.829	-0.501	-0.043	-0.607	-0.607	-2.372
1.03_085	0.628	0.222	0.217	0.217	-1.591	0.016	-1.229	-0.851	-1.207	-1.207	-2.838
1.03_090	-0.444	-0.870	-0.874	-0.874	-2.793	-0.299	-1.461	-1.124	-1.315	-1.315	-2.937
1.03_095	-1.041	-1.504	-1.509	-1.509	-3.386	-0.375	-1.457	-1.187	-1.280	-1.280	-2.831
1.03_100	-1.323	-1.835	-1.840	-1.840	-3.592	-0.349	-1.353	-1.135	-1.180	-1.180	-2.619
1.03_105	-1.403	-1.958	-1.962	-1.962	-3.562	-0.291	-1.218	-1.051	-1.076	-1.076	-2.367
1.03_110	-1.366	-1.941	-1.945	-1.945	-3.395	-0.232	-1.085	-0.979	-0.997	-0.997	-2.110
1.03_125	-1.021	-1.508	-1.511	-1.512	-2.587	-0.119	-0.764	-0.753	-0.763	-0.763	-1.448
1.03_150	-0.551	-0.783	-0.784	-0.785	-1.364	-0.058	-0.423	-0.353	-0.359	-0.359	-0.770
1.03_200	-0.216	-0.276	-0.277	-0.277	-0.388	-0.022	-0.123	-0.094	-0.096	-0.096	-0.259
1.04_080	2.843	2.221	2.221	2.221	-1.035	0.953	-0.888	-0.313	-0.822	-0.822	-2.484
1.04_085	0.577	-0.091	-0.091	-0.091	-3.647	0.011	-1.728	-1.338	-1.742	-1.742	-3.088
1.04_090	-0.803	-1.516	-1.517	-1.517	-5.125	-0.370	-2.006	-1.662	-1.930	-1.930	-3.270
1.04_095	-1.554	-2.323	-2.324	-2.324	-5.818	-0.470	-2.003	-1.672	-1.830	-1.830	-3.208
1.04_100	-1.877	-2.711	-2.711	-2.711	-5.990	-0.443	-1.875	-1.598	-1.691	-1.691	-3.015
1.04_105	-1.930	-2.817	-2.818	-2.818	-5.836	-0.372	-1.703	-1.511	-1.570	-1.570	-2.760
1.04_110	-1.831	-2.735	-2.736	-2.736	-5.489	-0.294	-1.527	-1.432	-1.476	-1.476	-2.486
1.04_125	-1.273	-2.017	-2.017	-2.017	-4.061	-0.138	-1.085	-1.103	-1.132	-1.132	-1.733
1.04_150	-0.635	-0.996	-0.996	-0.996	-2.070	-0.058	-0.610	-0.516	-0.532	-0.532	-0.906
1.04_200	-0.244	-0.339	-0.339	-0.339	-0.453	-0.020	-0.179	-0.135	-0.140	-0.140	-0.267
1.05_080	-2.111	-2.231	-2.231	-2.286	-1.120	-0.648	-1.514	-0.779	-4.198	-4.198	-4.333
1.05_085	-2.669	-2.925	-2.925	-2.994	-2.552	-2.000	-2.823	-2.188	-5.905	-5.905	-4.571
1.05_090	-2.949	-3.289	-3.289	-3.368	-3.367	-2.503	-3.281	-2.683	-6.166	-6.166	-4.454
1.05_095	-3.042	-3.441	-3.441	-3.528	-3.736	-2.518	-3.250	-2.684	-5.472	-5.472	-4.161
1.05_100	-3.005	-3.446	-3.446	-3.537	-3.803	-2.296	-2.981	-2.473	-4.395	-4.395	-3.797
1.05_105	-2.877	-3.335	-3.335	-3.427	-3.686	-1.991	-2.631	-2.212	-3.371	-3.371	-3.423
1.05_110	-2.689	-3.136	-3.136	-3.228	-3.471	-1.684	-2.278	-1.961	-2.584	-2.584	-3.067
1.05_125	-2.009	-2.357	-2.357	-2.437	-2.704	-0.999	-1.464	-1.231	-1.309	-1.309	-2.198
1.05_150	-1.178	-1.389	-1.389	-1.433	-1.768	-0.520	-0.806	-0.657	-0.685	-0.685	-1.324
1.05_200	-0.515	-0.572	-0.572	-0.573	-0.823	-0.226	-0.317	-0.248	-0.262	-0.262	-0.561
1.06_080	-0.701	-1.026	-1.026	-1.072	0.835	0.488	-1.205	-0.038	-2.823	-2.823	-3.507
1.06_085	-1.857	-2.465	-2.465	-2.526	-1.456	-1.413	-3.036	-2.154	-5.346	-5.346	-4.318
1.06_090	-2.537	-3.340	-3.340	-3.413	-2.893	-2.284	-3.835	-3.152	-6.381	-6.381	-4.581
1.06_095	-2.894	-3.827	-3.827	-3.909	-3.698	-2.514	-3.989	-3.453	-6.287	-6.287	-4.529
1.06_100	-3.029	-4.035	-4.035	-4.124	-4.061	-2.395	-3.792	-3.381	-5.544	-5.544	-4.306
1.06_105	-3.009	-4.040	-4.040	-4.132	-4.134	-2.122	-3.441	-3.138	-4.596	-4.596	-4.004
1.06_110	-2.884	-3.897	-3.897	-3.990	-4.032	-1.811	-3.049	-2.842	-3.730	-3.730	-3.675
1.06_125	-2.231	-3.040	-3.040	-3.126	-3.347	-1.049	-2.046	-1.939	-2.114	-2.114	-2.748
1.06_150	-1.293	-1.760	-1.759	-1.813	-2.247	-0.506	-1.142	-0.991	-1.061	-1.061	-1.672
1.06_200	-0.545	-0.677	-0.677	-0.680	-0.984	-0.213	-0.426	-0.336	-0.366	-0.366	-0.666
1.07_080	1.291	0.460	0.451	0.402	2.388	0.707	-1.399	-0.560	-2.798	-2.798	-3.379
1.07_085	-0.351	-1.235	-1.244	-1.307	-0.335	-0.979	-2.981	-2.369	-4.634	-4.634	-4.142
1.07_090	-1.392	-2.327	-2.336	-2.410	-2.064	-1.732	-3.630	-3.158	-5.226	-5.226	-4.425
1.07_095	-2.015	-2.997	-3.005	-3.087	-3.063	-1.931	-3.726	-3.331	-4.995	-4.995	-4.423
1.07_100	-2.344	-3.366	-3.374	-3.462	-3.553	-1.841	-3.534	-3.195	-4.377	-4.377	-4.261
1.07_105	-2.466	-3.520	-3.528	-3.619	-3.714	-1.629	-3.221	-2.954	-3.710	-3.710	-4.017
1.07_110	-2.446	-3.515	-3.523	-3.615	-3.676	-1.386	-2.879	-2.715	-3.165	-3.165	-3.736
1.07_125	-1.982	-2.937	-2.944	-3.028	-3.122	-0.800	-2.007	-2.019	-2.133	-2.133	-2.891
1.07_150	-1.180	-1.749	-1.753	-1.806	-2.159	-0.394	-1.181	-1.105	-1.161	-1.161	-1.829
1.07_200	-0.511	-0.678	-0.679	-0.682	-1.023	-0.179	-0.453	-0.375	-0.399	-0.399	-0.772
1.08_080	-1.123	-2.683	-2.685	-2.713	0.569	0.295	-2.363	-1.360	-2.481	-2.481	-4.164
1.08_085	-2.423	-4.108	-4.110	-4.155	-1.942	-1.780	-4.325	-3.723	-5.166	-5.166	-5.230
1.08_090	-3.148	-4.892	-4.893	-4.952	-3.600	-2.870	-5.298	-4.980	-6.668	-6.668	-5.623
1.08_095	-3.501	-5.245	-5.247	-5.318	-4.614	-3.208	-5.515	-5.357	-7.114	-7.114	-5.612
1.08_100	-3.617	-5.315	-5.316	-5.396	-5.148	-3.088	-5.274	-5.186	-6.805	-6.805	-5.370
1.08_105	-3.581	-5.203	-5.204	-5.290	-5.339	-2.740	-4.801	-4.723	-6.053	-6.053	-5.012
1.08_110	-3.446	-4.980	-4.981	-5.071	-5.297	-2.313	-4.251	-4.155	-5.147	-5.147	-4.608
1.08_125	-2.756	-3.976	-3.977	-4.066	-4.522	-1.227	-2.798	-2.744	-3.070	-3.070	-3.441
1.08_150	-1.643	-2.376	-2.377	-2.440	-3.017	-0.473	-1.505	-1.340	-1.480	-1.480	-2.069
1.08_200	-0.684	-0.919	-0.919	-0.927	-1.289	-0.179	-0.559	-0.446	-0.512	-0.512	-0.791
1.09_080	-2.849	-2.706	-2.706	-2.749	-1.068	-0.918	-1.595	-0.546	-3.199	-3.199	-5.122
1.09_085	-3.408	-3.451	-3.451	-3.511	-2.660	-2.542	-3.192	-2.338	-5.577	-5.577	-5.447
1.09_090	-3.672	-3.833	-3.833	-3.905	-3.622	-3.212	-3.835	-3.072	-6.476	-6.476	-5.342
1.09_095	-3.747	-3.991	-3.991	-4.072	-4.110	-3.288	-3.882	-3.173	-6.224	-6.224	-5.014
1.09_100	-3.693	-4.003	-4.002	-4.090	-4.260	-3.048	-3.613	-2.962	-5.306	-5.306	-4.589
1.09_105	-3.550	-3.905	-3.905	-3.996	-4.191	-2.680	-3.213	-2.648	-4.208	-4.208	-4.144
1.09_110	-3.344	-3.718	-3.718	-3.810	-3.993	-2.291	-2.793	-2.338	-3.250	-3.250	-3.716
1.09_125	-2.578	-2.892	-2.892	-2.975	-3.168	-1.378	-1.785	-1.510	-1.606	-1.606	-2.669
1.09_150	-1.553	-1.758	-1.758	-1.810	-2.071	-0.710	-0.971	-0.789	-0.801	-0.801	-1.622
1.09_200	-0.688	-0.742	-0.742	-0.745	-0.950	-0.308	-0.395	-0.308	-0.314	-0.314	-0.707
1.10_080	-1.785	-1.794	-1.794	-1.823	0.855	0.008	-1.109	0.365	-1.508	-1.508	-4.563
1.10_085	-2.866	-3.090	-3.090	-3.136	-1.503	-2.085	-3.165	-2.021	-4.527	-4.527	-5.352
1.10_090	-3.483	-3.858	-3.858	-3.918	-3.055	-3.171	-4.213	-3.305	-6.250	-6.250	-5.552
1.10_095	-3.794	-4.277	-4.277	-4.349	-3.989	-3.512	-4.513	-3.765	-6.773	-6.773	-5.412
1.10_100	-3.899	-4.462	-4.462	-4.543	-4.461	-3.405	-4.362	-3.726	-6.395	-6.395	-5.093
1.10_105	-3.861	-4.481	-4.481	-4.567	-4.608	-3.069	-3.982	-3.445	-5.522	-5.522	-4.694
1.10_110	-3.723	-4.373	-4.373	-4.463	-4.540	-2.653	-3.520	-3.086	-4.528	-4.528	-4.275
1.10_125	-3.001	-3.594	-3.594	-3.683	-3.802	-1.562	-2.287	-2.097	-2.425	-2.425	-3.150
1.10_150	-1.823	-2.208	-2.208	-2.270	-2.532	-0.723	-1.218	-1.050	-1.152	-1.152	-1.920
1.10_200	-0.780	-0.892	-0.892	-0.899	-1.144	-0.292	-0.473	-0.374	-0.423	-0.423	-0.800
1.11_080	0.353	-0.053	-0.054	-0.206	1.713	0.530	-0.647	0.156	-2.454	-2.454	-1.783
1.11_085	-0.869	-1.311	-1.312	-1.468	-0.409	-0.938	-2.060	-1.404	-4.165	-4.165	-2.389
1.11_090	-1.623	-2.110	-2.110	-2.266	-1.733	-1.581	-2.647	-2.065	-4.571	-4.571	-2.630
1.11_095	-2.056	-2.589	-2.590	-2.742	-2.474	-1.744	-2.752	-2.234	-4.190	-4.190	-2.654
1.11_100	-2.263	-2.840	-2.840	-2.988	-2.816	-1.662	-2.612	-2.173	-3.507	-3.507	-2.557
1.11_105	-2.310	-2.919	-2.919	-3.060	-2.904	-1.479	-2.372	-2.041	-2.855	-2.855	-2.399
1.11_110	-2.247	-2.865	-2.866	-2.999	-2.845	-1.270	-2.106	-1.904	-2.368	-2.368	-2.213
1.11_125	-1.765	-2.291	-2.291	-2.394	-2.358	-0.764	-1.432	-1.359	-1.478	-1.478	-1.654
1.11_150	-1.032	-1.338	-1.338	-1.390	-1.580	-0.388	-0.811	-0.730	-0.797	-0.797	-0.980
1.11_200	-0.427	-0.509	-0.510	-0.512	-0.729	-0.159	-0.295	-0.244	-0.275	-0.275	-0.360
1.12_080	1.530	0.950	0.949	0.878	2.579	-0.338	-1.668	-1.136	-4.468	-4.468	-2.241
1.12_085	-0.168	-0.758	-0.758	-0.841	0.194	-1.560	-2.845	-2.448	-5.171	-5.171	-3.208
1.12_090	-1.206	-1.817	-1.817	-1.909	-1.199	-2.074	-3.311	-2.989	-4.862	-4.862	-3.662
1.12_095	-1.780	-2.424	-2.425	-2.524	-1.943	-2.188	-3.373	-3.108	-4.206	-4.206	-3.790
1.12_100	-2.036	-2.720	-2.721	-2.826	-2.288	-2.094	-3.225	-3.023	-3.579	-3.579	-3.721
1.12_105	-2.086	-2.804	-2.804	-2.914	-2.403	-1.907	-2.981	-2.843	-3.093	-3.093	-3.538
1.12_110	-2.013	-2.750	-2.751	-2.863	-2.390	-1.692	-2.707	-2.611	-2.717	-2.717	-3.299
1.12_125	-1.564	-2.254	-2.255	-2.359	-2.069	-1.135	-1.965	-1.943	-1.964	-1.964	-2.529
1.12_150	-0.958	-1.334	-1.334	-1.382	-1.373	-0.637	-1.168	-1.081	-1.093	-1.093	-1.535
1.12_200	-0.399	-0.499	-0.499	-0.499	-0.468	-0.266	-0.435	-0.371	-0.376	-0.376	-0.573
1.13_080	0.071	-0.468	-0.474	-0.506	2.241	-0.484	-1.855	-0.864	-2.062	-2.062	-4.679
1.13_085	-1.340	-1.909	-1.914	-1.962	-0.325	-2.254	-3.564	-2.789	-4.344	-4.344	-5.389
1.13_090	-2.221	-2.824	-2.829	-2.892	-2.060	-3.108	-4.355	-3.732	-5.526	-5.526	-5.562
1.13_095	-2.745	-3.382	-3.387	-3.461	-3.148	-3.297	-4.482	-3.963	-5.770	-5.770	-5.425
1.13_100	-3.024	-3.687	-3.692	-3.774	-3.747	-3.103	-4.224	-3.790	-5.377	-5.377	-5.121
1.13_105	-3.129	-3.807	-3.812	-3.900	-3.996	-2.729	-3.788	-3.432	-4.654	-4.654	-4.743
1.13_110	-3.110	-3.791	-3.796	-3.887	-4.010	-2.308	-3.305	-3.022	-3.859	-3.859	-4.346
1.13_125	-2.633	-3.242	-3.246	-3.335	-3.436	-1.285	-2.102	-2.033	-2.205	-2.205	-3.261
1.13_150	-1.643	-2.048	-2.051	-2.112	-2.326	-0.574	-1.123	-1.037	-1.078	-1.078	-2.037
1.13_200	-0.716	-0.840	-0.840	-0.848	-1.133	-0.246	-0.450	-0.381	-0.397	-0.397	-0.895
1.14_080	-1.842	-2.821	-2.823	-2.835	1.428	-0.461	-2.383	-0.926	-1.196	-1.196	-4.682
1.14_085	-3.278	-4.333	-4.335	-4.362	-1.348	-2.540	-4.392	-3.319	-4.024	-4.024	-5.935
1.14_090	-4.073	-5.182	-5.183	-5.226	-3.247	-3.828	-5.607	-4.857	-5.975	-5.975	-6.416
1.14_095	-4.457	-5.593	-5.594	-5.651	-4.479	-4.350	-6.054	-5.529	-6.951	-6.951	-6.424
1.14_100	-4.581	-5.719	-5.720	-5.789	-5.200	-4.306	-5.932	-5.542	-7.085	-7.085	-6.157
1.14_105	-4.540	-5.664	-5.664	-5.742	-5.538	-3.932	-5.479	-5.164	-6.626	-6.626	-5.747
1.14_110	-4.394	-5.492	-5.493	-5.576	-5.599	-3.409	-4.877	-4.602	-5.836	-5.836	-5.278
1.14_125	-3.640	-4.611	-4.612	-4.701	-4.918	-1.908	-3.136	-2.997	-3.474	-3.474	-3.922
1.14_150	-2.287	-2.919	-2.920	-2.990	-3.327	-0.728	-1.582	-1.446	-1.611	-1.611	-2.372
1.14_200	-0.970	-1.182	-1.182	-1.195	-1.484	-0.262	-0.601	-0.489	-0.567	-0.567	-0.962
1.15_080	7.298	9.761	9.761	4.081	8.367	3.403	3.047	5.653	4.934	4.927	-9.452
1.15_085	3.002	4.732	4.732	-1.673	3.700	-0.673	-1.026	1.470	0.139	0.135	-12.250
1.15_090	0.061	1.253	1.252	-5.815	0.427	-3.295	-3.644	-1.268	-3.519	-3.521	-13.552
1.15_095	-1.914	-1.115	-1.115	-8.770	-1.853	-5.162	-5.507	-3.268	-6.756	-6.758	-13.835
1.15_100	-3.205	-2.691	-2.691	-10.844	-3.421	-6.479	-6.818	-4.724	-9.685	-9.687	-13.478
1.15_105	-4.014	-3.707	-3.707	-12.263	-4.471	-7.237	-7.570	-5.620	-12.074	-12.075	-12.749
1.15_110	-4.486	-4.332	-4.332	-13.189	-5.134	-7.481	-7.808	-5.983	-13.639	-13.640	-11.832
1.15_125	-4.768	-4.897	-4.897	-14.027	-5.625	-6.397	-6.700	-5.218	-12.429	-12.429	-8.935
1.15_150	-3.802	-4.031	-4.031	-11.744	-4.406	-3.795	-4.045	-3.197	-4.324	-4.324	-5.514
1.15_200	-1.832	-1.953	-1.953	-4.187	-2.306	-1.634	-1.769	-1.396	-1.399	-1.399	-2.643
1.16_080	8.806	10.790	10.789	5.349	9.787	2.175	1.599	4.472	4.201	4.192	-9.017
1.16_085	3.876	5.243	5.242	-0.921	4.547	-2.048	-2.615	0.044	-0.761	-0.765	-12.262
1.16_090	0.481	1.383	1.382	-5.450	0.868	-4.555	-5.112	-2.664	-4.219	-4.221	-13.937
1.16_095	-1.807	-1.252	-1.253	-8.686	-1.691	-6.191	-6.738	-4.501	-7.057	-7.059	-14.478
1.16_100	-3.305	-3.005	-3.005	-10.961	-3.451	-7.337	-7.873	-5.837	-9.623	-9.624	-14.274
1.16_105	-4.242	-4.129	-4.129	-12.518	-4.635	-8.021	-8.546	-6.692	-11.819	-11.820	-13.619
1.16_110	-4.787	-4.811	-4.811	-13.540	-5.397	-8.241	-8.752	-7.061	-13.423	-13.424	-12.719
1.16_125	-5.123	-5.386	-5.386	-14.536	-6.067	-7.004	-7.472	-6.147	-13.268	-13.270	-9.692
1.16_150	-4.127	-4.475	-4.475	-12.491	-4.869	-3.989	-4.371	-3.621	-5.376	-5.376	-5.933
1.16_200	-1.997	-2.177	-2.177	-4.858	-2.532	-1.585	-1.793	-1.470	-1.640	-1.641	-2.765
1.17_080	14.103	13.743	13.740	-4.206	14.712	3.707	3.100	5.130	7.287	7.286	-4.106
1.17_085	9.123	8.766	8.765	-9.193	9.610	0.617	-0.000	1.754	2.152	2.151	-5.922
1.17_090	5.474	5.127	5.126	-12.711	5.789	-1.569	-2.176	-0.682	-2.110	-2.111	-6.769
1.17_095	2.827	2.488	2.487	-15.097	2.931	-3.189	-3.780	-2.479	-5.711	-5.712	-6.973
1.17_100	0.933	0.597	0.596	-16.611	0.812	-4.236	-4.808	-3.627	-8.483	-8.484	-6.784
1.17_105	-0.398	-0.739	-0.740	-17.452	-0.724	-4.736	-5.289	-4.193	-10.265	-10.266	-6.375
1.17_110	-1.311	-1.667	-1.667	-17.777	-1.795	-4.806	-5.338	-4.323	-10.989	-10.990	-5.860
1.17_125	-2.514	-2.912	-2.912	-16.694	-3.118	-3.830	-4.297	-3.592	-8.285	-8.286	-4.268
1.17_150	-2.297	-2.580	-2.580	-11.596	-2.687	-2.085	-2.442	-2.133	-2.746	-2.746	-2.491
1.17_200	-1.063	-1.197	-1.197	-2.805	-1.419	-0.827	-0.998	-0.885	-1.020	-1.020	-1.066
1.18_080	11.299	11.161	11.157	4.715	11.453	0.934	0.572	3.368	2.189	2.188	-7.947
1.18_085	6.971	6.839	6.837	-0.222	7.000	-2.325	-2.685	-0.235	-2.261	-2.262	-9.767
1.18_090	3.790	3.662	3.661	-3.964	3.656	-4.639	-4.990	-2.838	-6.010	-6.011	-10.511
1.18_095	1.474	1.343	1.343	-6.779	1.152	-6.289	-6.630	-4.710	-9.228	-9.229	-10.583
1.18_100	-0.191	-0.330	-0.331	-8.863	-0.699	-7.283	-7.613	-5.873	-11.705	-11.706	-10.264
1.18_105	-1.365	-1.521	-1.521	-10.366	-2.027	-7.686	-8.005	-6.421	-13.222	-13.223	-9.736
1.18_110	-2.173	-2.350	-2.350	-11.401	-2.935	-7.645	-7.953	-6.521	-13.665	-13.666	-9.113
1.18_125	-3.215	-3.427	-3.427	-12.421	-3.949	-6.344	-6.617	-5.637	-10.111	-10.112	-7.229
1.18_150	-2.879	-3.025	-3.026	-10.033	-3.340	-4.093	-4.307	-3.821	-4.148	-4.149	-4.955
1.18_200	-1.497	-1.587	-1.587	-3.015	-1.924	-2.054	-2.162	-1.997	-2.001	-2.001	-2.647
1.19_080	14.338	15.368	15.365	6.056	13.849	4.945	3.976	5.492	4.583	4.564	-4.049
1.19_085	9.138	9.696	9.694	-0.120	8.458	2.136	1.186	2.468	0.832	0.824	-6.188
1.19_090	5.437	5.643	5.641	-4.570	4.584	0.066	-0.862	0.199	-2.373	-2.377	-7.171
1.19_095	2.836	2.786	2.785	-7.708	1.822	-1.439	-2.344	-1.460	-5.096	-5.098	-7.395
1.19_100	1.037	0.804	0.803	-9.853	-0.115	-2.352	-3.233	-2.489	-7.130	-7.132	-7.160
1.19_105	-0.184	-0.544	-0.545	-11.249	-1.434	-2.736	-3.590	-2.964	-8.304	-8.305	-6.671
1.19_110	-0.989	-1.439	-1.440	-12.077	-2.284	-2.737	-3.563	-3.037	-8.565	-8.565	-6.060
1.19_125	-1.941	-2.511	-2.511	-12.327	-3.089	-1.805	-2.542	-2.223	-5.562	-5.562	-4.201
1.19_150	-1.573	-2.086	-2.087	-9.105	-2.353	-0.465	-1.039	-0.961	-1.362	-1.362	-2.182
1.19_200	-0.542	-0.753	-0.753	-2.040	-1.068	0.091	-0.188	-0.103	-0.213	-0.213	-0.692
1.20_080	12.695	12.391	12.371	6.942	12.780	0.546	-0.123	2.079	1.795	1.793	-8.530
1.20_085	7.309	6.976	6.960	0.806	7.327	-3.192	-3.871	-1.951	-2.565	-2.567	-11.599
1.20_090	3.463	3.110	3.101	-3.724	3.399	-5.299	-6.001	-4.349	-5.440	-5.441	-13.172
1.20_095	0.754	0.390	0.385	-7.043	0.573	-6.605	-7.303	-5.918	-7.661	-7.662	-13.685
1.20_100	-1.121	-1.490	-1.494	-9.446	-1.454	-7.474	-8.157	-6.992	-9.550	-9.552	-13.508
1.20_105	-2.386	-2.760	-2.763	-11.150	-2.892	-7.929	-8.591	-7.579	-11.032	-11.033	-12.912
1.20_110	-3.210	-3.591	-3.594	-12.321	-3.886	-7.965	-8.605	-7.691	-11.969	-11.970	-12.088
1.20_125	-4.134	-4.556	-4.558	-13.708	-5.087	-6.429	-7.000	-6.302	-11.008	-11.009	-9.302
1.20_150	-3.624	-4.007	-4.010	-12.020	-4.337	-3.415	-3.868	-3.577	-4.639	-4.639	-5.808
1.20_200	-1.804	-2.002	-2.003	-4.669	-2.347	-1.286	-1.527	-1.416	-1.481	-1.481	-2.765
1.21_080	11.768	11.538	11.536	6.318	12.123	0.329	-0.697	2.267	2.570	2.567	-8.326
1.21_085	5.658	5.333	5.331	-0.603	5.831	-4.001	-5.007	-2.389	-2.509	-2.512	-11.822
1.21_090	1.366	0.959	0.956	-5.648	1.382	-6.341	-7.326	-5.047	-5.674	-5.676	-13.918
1.21_095	-1.579	-2.055	-2.057	-9.273	-1.718	-7.645	-8.610	-6.661	-7.912	-7.914	-14.840
1.21_100	-3.534	-4.066	-4.067	-11.822	-3.844	-8.459	-9.402	-7.756	-9.760	-9.761	-14.904
1.21_105	-4.772	-5.347	-5.348	-13.562	-5.270	-8.932	-9.853	-8.465	-11.316	-11.317	-14.416
1.21_110	-5.498	-6.107	-6.108	-14.693	-6.190	-9.033	-9.929	-8.751	-12.454	-12.455	-13.605
1.21_125	-5.959	-6.622	-6.622	-15.762	-7.068	-7.541	-8.356	-7.561	-12.459	-12.460	-10.573
1.21_150	-4.789	-5.400	-5.400	-13.679	-5.804	-4.038	-4.704	-4.261	-6.117	-6.117	-6.507
1.21_200	-2.324	-2.631	-2.631	-5.782	-3.014	-1.400	-1.770	-1.573	-1.924	-1.925	-2.946
1.22_080	-4.530	-2.468	-0.613	-0.616	-5.490	1.681	1.074	2.253	1.737	1.695	-7.422
1.22_085	-6.622	-5.258	-4.470	-4.630	-7.702	-1.318	-1.916	-0.778	-1.717	-1.752	-9.517
1.22_090	-7.631	-6.768	-6.433	-6.982	-8.995	-3.575	-4.163	-3.106	-4.655	-4.685	-10.484
1.22_095	-7.949	-7.437	-7.295	-8.298	-9.664	-5.366	-5.942	-4.981	-7.310	-7.338	-10.672
1.22_100	-7.860	-7.593	-7.532	-8.943	-9.907	-6.611	-7.174	-6.300	-9.494	-9.521	-10.359
1.22_105	-7.560	-7.464	-7.438	-9.168	-9.859	-7.255	-7.805	-6.985	-10.970	-10.996	-9.750
1.22_110	-7.169	-7.196	-7.185	-9.143	-9.606	-7.365	-7.899	-7.103	-11.601	-11.626	-8.988
1.22_125	-5.950	-6.212	-6.211	-8.391	-8.175	-5.944	-6.425	-5.697	-9.209	-9.226	-6.592
1.22_150	-4.156	-4.468	-4.468	-6.139	-5.491	-3.033	-3.414	-3.024	-3.402	-3.407	-3.808
1.22_200	-1.935	-2.081	-2.081	-2.346	-2.626	-1.054	-1.244	-1.021	-1.023	-1.025	-1.628
1.23_080	-3.410	-0.929	3.459	3.459	-5.681	-0.453	-1.449	-0.035	0.487	0.404	-6.560
1.23_085	-7.129	-5.406	-3.380	-3.380	-9.088	-3.972	-4.950	-3.587	-3.347	-3.415	-9.763
1.23_090	-9.295	-8.160	-7.225	-7.225	-11.153	-6.017	-6.977	-5.696	-5.806	-5.864	-11.739
1.23_095	-10.348	-9.661	-9.230	-9.262	-12.270	-7.299	-8.240	-7.064	-7.618	-7.668	-12.720
1.23_100	-10.646	-10.294	-10.095	-10.298	-12.740	-8.251	-9.173	-8.109	-9.219	-9.263	-12.951
1.23_105	-10.466	-10.362	-10.270	-10.761	-12.779	-8.998	-9.899	-8.944	-10.713	-10.755	-12.664
1.23_110	-10.013	-10.091	-10.049	-10.866	-12.540	-9.442	-10.321	-9.466	-11.949	-11.989	-12.045
1.23_125	-8.197	-8.573	-8.568	-10.156	-10.988	-8.660	-9.465	-8.785	-12.702	-12.736	-9.391
