# SQM interaction energies (kcal/mol)
"name"	AM1	RM1	PM3	PM6	PM6-D3H4'	PM6-D3H4	PM6-D3H4X	PM7	DFTB3	DFTB3-D3H4	DFTB3-D3H4X	GFN2-xTB
002.08_1.05_ethyne_H--ethene	0.868	1.886	0.001	1.241	0.756	0.996	0.996	0.807	0.783	0.157	0.157	-0.399
002.08_1.10_ethyne_H--ethene	0.098	0.902	-0.618	0.421	-0.052	0.100	0.100	-0.128	0.123	-0.545	-0.545	-0.886
002.08_1.15_ethyne_H--ethene	-0.313	0.218	-0.972	-0.075	-0.544	-0.450	-0.450	-0.643	-0.239	-0.909	-0.909	-1.156
002.08_1.25_ethyne_H--ethene	-0.482	-0.374	-1.053	-0.472	-0.956	-0.922	-0.922	-0.977	-0.466	-1.137	-1.137	-1.311
002.09_1.00_ethyne_H--ethyne_C	2.730	3.276	1.203	3.119	2.806	3.008	3.008	3.072	2.393	1.948	1.948	0.598
002.09_1.05_ethyne_H--ethyne_C	1.317	2.045	0.301	1.688	1.382	1.512	1.512	1.351	1.138	0.646	0.646	-0.295
002.09_1.10_ethyne_H--ethyne_C	0.408	1.052	-0.374	0.755	0.452	0.535	0.535	0.294	0.359	-0.153	-0.153	-0.843
002.09_1.15_ethyne_H--ethyne_C	-0.108	0.335	-0.787	0.175	-0.132	-0.081	-0.081	-0.306	-0.093	-0.613	-0.613	-1.155
002.09_1.25_ethyne_H--ethyne_C	-0.408	-0.338	-0.964	-0.327	-0.666	-0.647	-0.647	-0.739	-0.429	-0.965	-0.965	-1.357
002.10_1.00_hydrogen_fluoride--benzene	15.740	10.681	7.250	11.392	10.719	11.595	11.595	11.808	3.777	2.972	2.972	-1.832
002.10_1.05_hydrogen_fluoride--benzene	10.977	7.548	3.939	7.366	6.672	7.318	7.318	7.454	2.510	1.691	1.691	-3.026
002.10_1.10_hydrogen_fluoride--benzene	7.439	5.298	1.893	4.434	3.719	4.190	4.190	4.199	0.989	0.164	0.164	-3.721
002.10_1.15_hydrogen_fluoride--benzene	4.809	3.627	0.651	2.333	1.601	1.941	1.941	1.818	-0.258	-1.097	-1.097	-4.054
002.10_1.25_hydrogen_fluoride--benzene	1.447	1.304	-0.729	-0.148	-0.893	-0.721	-0.721	-1.002	-1.575	-2.516	-2.516	-4.044
002.11_1.00_hydrogen_fluoride--ethene	13.975	10.048	5.831	11.037	10.699	12.507	12.507	12.140	3.808	3.832	3.832	-1.790
002.11_1.05_hydrogen_fluoride--ethene	9.633	7.272	2.932	7.320	6.972	8.313	8.313	8.046	2.794	2.756	2.756	-2.959
002.11_1.10_hydrogen_fluoride--ethene	6.434	5.266	1.201	4.597	4.242	5.224	5.224	4.947	1.420	1.337	1.337	-3.631
002.11_1.15_hydrogen_fluoride--ethene	4.082	3.749	0.202	2.641	2.280	2.992	2.992	2.656	0.177	0.052	0.052	-3.939
002.11_1.25_hydrogen_fluoride--ethene	1.071	1.543	-0.884	0.287	-0.083	0.277	0.277	-0.139	-1.179	-1.448	-1.448	-3.884
002.12_1.00_hydrogen_fluoride--ethyne_C	14.690	9.446	5.947	11.905	11.718	12.614	12.614	12.881	4.472	4.339	4.339	-1.991
002.12_1.05_hydrogen_fluoride--ethyne_C	10.290	6.750	3.086	8.034	7.837	8.498	8.498	8.662	3.224	3.052	3.052	-3.181
002.12_1.10_hydrogen_fluoride--ethyne_C	7.011	4.827	1.386	5.200	4.993	5.475	5.475	5.476	1.688	1.499	1.499	-3.860
002.12_1.15_hydrogen_fluoride--ethyne_C	4.555	3.391	0.391	3.153	2.934	3.281	3.281	3.115	0.387	0.191	0.191	-4.173
002.12_1.25_hydrogen_fluoride--ethyne_C	1.368	1.341	-0.728	0.683	0.436	0.610	0.610	0.255	-1.047	-1.296	-1.296	-4.119
002.14_1.00_methane_C--dihydrogen	0.641	3.781	1.786	2.237	2.042	3.190	3.190	2.291	1.630	2.100	2.100	2.176
002.14_1.05_methane_C--dihydrogen	-0.038	2.420	0.874	1.409	1.197	1.954	1.954	1.318	0.893	1.178	1.178	1.325
002.14_1.10_methane_C--dihydrogen	-0.382	1.365	0.189	0.838	0.621	1.112	1.112	0.700	0.437	0.520	0.520	0.743
002.14_1.15_methane_C--dihydrogen	-0.505	0.641	-0.234	0.458	0.243	0.557	0.557	0.321	0.172	0.095	0.095	0.354
002.14_1.25_methane_C--dihydrogen	-0.430	-0.022	-0.499	0.072	-0.148	-0.026	-0.026	-0.031	-0.037	-0.256	-0.256	-0.058
002.15_1.00_methane_C--ethyne_H	2.955	4.915	1.467	2.744	2.440	4.639	4.639	3.358	3.005	3.271	3.271	2.910
002.15_1.05_methane_C--ethyne_H	1.511	3.800	0.876	1.722	1.398	2.951	2.951	1.867	1.854	2.091	2.091	1.727
002.15_1.10_methane_C--ethyne_H	0.538	2.684	0.229	0.996	0.652	1.734	1.734	0.866	1.069	1.231	1.231	0.893
002.15_1.15_methane_C--ethyne_H	-0.064	1.673	-0.354	0.490	0.134	0.876	0.876	0.226	0.555	0.586	0.586	0.318
002.15_1.25_methane_C--ethyne_H	-0.529	0.282	-1.013	-0.073	-0.430	-0.094	-0.094	-0.382	0.043	-0.216	-0.216	-0.314
002.16_1.00_methane_C--hydrogen_fluoride	10.915	8.136	2.217	6.447	6.193	12.343	12.343	8.978	5.230	5.666	5.666	0.298
002.16_1.05_methane_C--hydrogen_fluoride	7.548	6.509	0.757	4.386	4.088	8.873	8.873	6.157	3.551	3.963	3.963	-0.791
002.16_1.10_methane_C--hydrogen_fluoride	4.992	5.412	0.167	2.883	2.556	6.240	6.240	3.999	2.270	2.650	2.650	-1.515
002.16_1.15_methane_C--hydrogen_fluoride	3.067	4.559	-0.049	1.795	1.454	4.262	4.262	2.382	1.334	1.679	1.679	-1.962
002.16_1.25_methane_C--hydrogen_fluoride	0.621	2.977	-0.412	0.446	0.117	1.697	1.697	0.382	0.212	0.500	0.500	-2.303
002.17_1.00_methane_H--benzene	2.325	2.895	1.457	1.782	0.605	0.731	0.731	0.511	2.255	0.590	0.590	0.824
002.17_1.05_methane_H--benzene	1.240	1.654	0.535	0.790	-0.318	-0.238	-0.238	-0.597	1.191	-0.417	-0.417	-0.036
002.17_1.10_methane_H--benzene	0.611	0.795	-0.040	0.198	-0.850	-0.800	-0.800	-1.203	0.548	-0.963	-0.963	-0.570
002.17_1.15_methane_H--benzene	0.293	0.278	-0.325	-0.126	-1.123	-1.091	-1.091	-1.490	0.185	-1.226	-1.226	-0.879
002.17_1.25_methane_H--benzene	0.128	-0.083	-0.402	-0.325	-1.236	-1.222	-1.222	-1.579	-0.086	-1.342	-1.342	-1.097
002.18_1.00_methane_H--ethene	0.772	1.592	0.213	0.898	0.314	0.475	0.475	0.262	1.121	0.344	0.344	0.438
002.18_1.05_methane_H--ethene	0.180	0.698	-0.345	0.277	-0.277	-0.182	-0.182	-0.404	0.472	-0.286	-0.286	-0.120
002.18_1.10_methane_H--ethene	-0.083	0.168	-0.594	-0.065	-0.603	-0.548	-0.548	-0.729	0.119	-0.613	-0.613	-0.445
002.18_1.15_methane_H--ethene	-0.150	-0.087	-0.634	-0.226	-0.757	-0.725	-0.725	-0.856	-0.053	-0.779	-0.779	-0.616
002.18_1.25_methane_H--ethene	-0.066	-0.178	-0.471	-0.273	-0.775	-0.766	-0.766	-0.843	-0.132	-0.825	-0.825	-0.704
002.19_1.00_methane_H--ethyne_C	1.069	1.729	0.493	1.132	0.714	0.798	0.798	0.605	1.435	0.807	0.807	0.656
002.19_1.05_methane_H--ethyne_C	0.381	0.814	-0.119	0.443	0.045	0.095	0.095	-0.126	0.684	0.070	0.070	0.041
002.19_1.10_methane_H--ethyne_C	0.049	0.252	-0.417	0.055	-0.336	-0.307	-0.307	-0.495	0.257	-0.342	-0.342	-0.325
002.19_1.15_methane_H--ethyne_C	-0.065	-0.035	-0.497	-0.139	-0.530	-0.514	-0.514	-0.653	0.035	-0.563	-0.563	-0.526
002.19_1.25_methane_H--ethyne_C	-0.036	-0.162	-0.388	-0.225	-0.614	-0.609	-0.609	-0.681	-0.102	-0.672	-0.672	-0.651
002.20_1.00_methane_H--methane_C	1.331	3.621	1.111	1.582	1.128	2.376	2.376	1.505	2.129	2.194	2.194	2.456
002.20_1.05_methane_H--methane_C	0.452	2.360	0.319	0.900	0.461	1.296	1.296	0.612	1.259	1.233	1.233	1.475
002.20_1.10_methane_H--methane_C	-0.053	1.327	-0.295	0.438	0.019	0.569	0.569	0.062	0.698	0.535	0.535	0.798
002.20_1.15_methane_H--methane_C	-0.299	0.583	-0.672	0.137	-0.261	0.095	0.095	-0.259	0.351	0.061	0.061	0.339
002.20_1.25_methane_H--methane_C	-0.367	-0.118	-0.846	-0.141	-0.514	-0.371	-0.371	-0.512	0.037	-0.371	-0.371	-0.153
003.01_1.00_benzene--benzene	6.571	2.233	6.338	2.120	-0.832	-0.773	-0.773	-1.441	3.752	-0.502	-0.502	-1.381
003.01_1.05_benzene--benzene	5.067	1.949	4.298	0.871	-2.130	-2.087	-2.087	-2.560	1.950	-2.357	-2.357	-2.539
003.01_1.10_benzene--benzene	3.855	1.707	2.892	0.217	-2.684	-2.650	-2.650	-3.178	0.979	-3.207	-3.207	-3.061
003.01_1.15_benzene--benzene	2.871	1.375	1.931	-0.096	-2.801	-2.772	-2.772	-3.487	0.482	-3.369	-3.369	-3.203
003.01_1.25_benzene--benzene	1.484	0.697	0.831	-0.246	-2.521	-2.497	-2.497	-3.611	0.127	-2.871	-2.871	-2.927
003.02_1.00_ethene--benzene	3.278	1.101	3.018	0.847	-0.873	-0.857	-0.857	-0.924	1.654	-0.952	-0.952	-0.771
003.02_1.05_ethene--benzene	2.557	0.977	2.001	0.300	-1.395	-1.382	-1.382	-1.457	0.806	-1.652	-1.652	-1.360
003.02_1.10_ethene--benzene	1.955	0.877	1.317	0.047	-1.579	-1.569	-1.569	-1.749	0.393	-1.912	-1.912	-1.600
003.02_1.15_ethene--benzene	1.452	0.704	0.857	-0.056	-1.569	-1.560	-1.560	-1.900	0.203	-1.892	-1.892	-1.641
003.02_1.25_ethene--benzene	0.745	0.347	0.352	-0.076	-1.314	-1.307	-1.307	-1.963	0.087	-1.539	-1.539	-1.449
003.03_1.00_ethene--ethene	2.037	0.688	1.864	0.555	-0.537	-0.530	-0.530	-0.211	0.868	-0.706	-0.706	-0.188
003.03_1.05_ethene--ethene	1.612	0.685	1.205	0.239	-0.815	-0.812	-0.812	-0.534	0.419	-1.136	-1.136	-0.564
003.03_1.10_ethene--ethene	1.227	0.599	0.771	0.088	-0.874	-0.873	-0.873	-0.725	0.215	-1.200	-1.200	-0.727
003.03_1.15_ethene--ethene	0.900	0.453	0.488	0.024	-0.839	-0.839	-0.839	-0.841	0.128	-1.080	-1.080	-0.771
003.03_1.25_ethene--ethene	0.448	0.210	0.189	0.002	-0.685	-0.685	-0.685	-0.951	0.077	-0.820	-0.820	-0.693
003.04_1.00_ethyne_C--benzene	3.533	1.104	3.580	1.167	-0.125	-0.115	-0.115	-0.271	1.965	-0.057	-0.057	-0.359
003.04_1.05_ethyne_C--benzene	2.713	0.944	2.400	0.449	-0.883	-0.874	-0.874	-0.923	0.948	-1.071	-1.071	-1.037
003.04_1.10_ethyne_C--benzene	2.050	0.862	1.592	0.083	-1.233	-1.226	-1.226	-1.294	0.430	-1.537	-1.537	-1.352
003.04_1.15_ethyne_C--benzene	1.509	0.716	1.041	-0.087	-1.343	-1.336	-1.336	-1.497	0.183	-1.644	-1.644	-1.456
003.04_1.25_ethyne_C--benzene	0.756	0.358	0.423	-0.158	-1.246	-1.240	-1.240	-1.635	0.031	-1.419	-1.419	-1.356
003.05_1.00_ethyne_C--ethene	1.952	0.596	1.890	0.570	-0.198	-0.195	-0.195	-0.026	0.996	-0.212	-0.212	0.015
003.05_1.05_ethyne_C--ethene	1.511	0.621	1.223	0.221	-0.558	-0.557	-0.557	-0.370	0.478	-0.740	-0.740	-0.394
003.05_1.10_ethyne_C--ethene	1.133	0.558	0.784	0.056	-0.689	-0.688	-0.688	-0.566	0.238	-0.898	-0.898	-0.580
003.05_1.15_ethyne_C--ethene	0.821	0.424	0.497	-0.013	-0.707	-0.706	-0.706	-0.678	0.134	-0.857	-0.857	-0.641
003.05_1.25_ethyne_C--ethene	0.400	0.194	0.192	-0.032	-0.618	-0.618	-0.618	-0.779	0.073	-0.691	-0.691	-0.592
003.06_1.00_ethyne_C--ethyne_C	1.870	0.613	1.778	0.607	0.102	0.105	0.105	0.140	1.060	0.142	0.142	0.376
003.06_1.05_ethyne_C--ethyne_C	1.430	0.641	1.163	0.262	-0.281	-0.280	-0.280	-0.196	0.559	-0.365	-0.365	-0.032
003.06_1.10_ethyne_C--ethyne_C	1.066	0.565	0.757	0.097	-0.453	-0.453	-0.453	-0.383	0.322	-0.547	-0.547	-0.231
003.06_1.15_ethyne_C--ethyne_C	0.774	0.428	0.493	0.027	-0.514	-0.514	-0.514	-0.489	0.213	-0.559	-0.559	-0.314
003.06_1.25_ethyne_C--ethyne_C	0.390	0.211	0.211	0.001	-0.485	-0.485	-0.485	-0.588	0.138	-0.496	-0.496	-0.318
003.07_1.00_methane_C--benzene	2.381	1.262	2.229	1.182	-0.178	-0.110	-0.110	-0.063	2.280	0.081	0.081	0.841
003.07_1.05_methane_C--benzene	1.837	0.754	1.309	0.399	-0.979	-0.942	-0.942	-0.775	1.157	-0.979	-0.979	-0.222
003.07_1.10_methane_C--benzene	1.479	0.582	0.780	0.042	-1.339	-1.317	-1.317	-1.122	0.564	-1.431	-1.431	-0.794
003.07_1.15_methane_C--benzene	1.196	0.496	0.463	-0.095	-1.460	-1.447	-1.447	-1.279	0.266	-1.575	-1.575	-1.070
003.07_1.25_methane_C--benzene	0.733	0.310	0.151	-0.122	-1.335	-1.327	-1.327	-1.360	0.059	-1.526	-1.526	-1.165
003.08_1.00_methane_C--ethene	1.137	0.448	0.988	0.603	-0.173	-0.115	-0.115	0.135	1.247	0.028	0.028	0.780
003.08_1.05_methane_C--ethene	0.945	0.347	0.527	0.204	-0.611	-0.583	-0.583	-0.244	0.611	-0.582	-0.582	0.090
003.08_1.10_methane_C--ethene	0.795	0.329	0.269	0.033	-0.794	-0.782	-0.782	-0.430	0.291	-0.839	-0.839	-0.281
003.08_1.15_methane_C--ethene	0.652	0.285	0.125	-0.029	-0.834	-0.828	-0.828	-0.521	0.136	-0.922	-0.922	-0.464
003.08_1.25_methane_C--ethene	0.391	0.153	0.005	-0.036	-0.701	-0.700	-0.700	-0.598	0.035	-0.841	-0.841	-0.545
003.09_1.00_methane_C--ethyne_C	1.308	0.492	1.276	0.711	0.211	0.243	0.243	0.336	1.356	0.383	0.383	0.990
003.09_1.05_methane_C--ethyne_C	1.037	0.378	0.744	0.269	-0.291	-0.276	-0.276	-0.074	0.677	-0.247	-0.247	0.285
003.09_1.10_methane_C--ethyne_C	0.839	0.355	0.431	0.068	-0.547	-0.540	-0.540	-0.277	0.329	-0.549	-0.549	-0.104
003.09_1.15_methane_C--ethyne_C	0.669	0.310	0.245	-0.012	-0.653	-0.650	-0.650	-0.376	0.159	-0.693	-0.693	-0.307
003.09_1.25_methane_C--ethyne_C	0.389	0.170	0.069	-0.037	-0.609	-0.609	-0.609	-0.458	0.043	-0.713	-0.713	-0.427
003.10_1.00_methane_C--methane_C	0.456	1.370	0.913	1.248	0.778	1.414	1.414	0.981	1.784	1.427	1.427	2.298
003.10_1.05_methane_C--methane_C	0.222	0.573	0.137	0.589	0.054	0.402	0.402	0.311	0.925	0.374	0.374	1.171
003.10_1.10_methane_C--methane_C	0.165	0.236	-0.248	0.229	-0.376	-0.190	-0.190	-0.047	0.457	-0.203	-0.203	0.482
003.10_1.15_methane_C--methane_C	0.173	0.124	-0.379	0.049	-0.615	-0.517	-0.517	-0.225	0.213	-0.524	-0.524	0.072
003.10_1.25_methane_C--methane_C	0.197	0.062	-0.342	-0.051	-0.711	-0.687	-0.687	-0.339	0.038	-0.781	-0.781	-0.287
004.02_1.00_dihydrogen--ammonia	3.765	3.731	2.691	3.168	3.007	3.153	3.153	3.182	0.166	0.056	0.056	-0.097
004.02_1.05_dihydrogen--ammonia	2.750	2.943	2.331	1.970	1.783	1.872	1.872	1.836	-0.413	-0.560	-0.560	-0.556
004.02_1.10_dihydrogen--ammonia	1.974	2.139	1.860	1.150	0.933	0.985	0.985	0.965	-0.631	-0.821	-0.821	-0.794
004.02_1.15_dihydrogen--ammonia	1.356	1.402	1.349	0.608	0.369	0.398	0.398	0.427	-0.652	-0.898	-0.898	-0.895
004.02_1.25_dihydrogen--ammonia	0.494	0.423	0.588	0.054	-0.175	-0.166	-0.166	-0.068	-0.473	-0.819	-0.819	-0.885
004.03_1.00_ethyne_H--ammonia	5.166	-0.402	-0.544	4.617	4.283	4.878	4.878	6.014	4.479	4.426	4.426	0.097
004.03_1.05_ethyne_H--ammonia	3.263	-0.786	-1.727	2.586	2.260	2.666	2.666	3.409	1.888	1.673	1.673	-1.373
004.03_1.10_ethyne_H--ammonia	1.991	-0.735	-1.872	1.115	0.799	1.073	1.073	1.484	0.196	-0.121	-0.121	-2.254
