# DFT-SAPT benchmark energies with the asymptotically corrected PBE0 potential for R739x5
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst        Exch        Ind       deltaHF       Disp       Total    
002.04_125      -0.656       1.637      -0.078      -0.255      -1.105      -0.457
002.05_100      -2.300       7.603      -0.226      -0.596      -3.043       1.438
002.05_105      -1.571       5.368      -0.152      -0.442      -2.469       0.735
002.05_110      -1.062       3.773      -0.106      -0.319      -2.006       0.279
002.05_115      -0.711       2.645      -0.077      -0.227      -1.635      -0.005
002.05_125      -0.303       1.286      -0.043      -0.110      -1.093      -0.263
002.06_100      -2.764       8.506      -0.439      -1.010      -2.924       1.369
002.06_105      -2.025       6.065      -0.300      -0.748      -2.365       0.627
002.06_110      -1.490       4.303      -0.209      -0.545      -1.915       0.145
002.06_115      -1.105       3.046      -0.149      -0.392      -1.555      -0.154
002.06_125      -0.625       1.512      -0.078      -0.198      -1.029      -0.418
002.07_100      -5.805      17.418      -1.519      -2.154      -6.421       1.518
002.07_105      -4.580      13.003      -1.112      -1.745      -5.429       0.137
002.07_110      -3.643       9.672      -0.835      -1.376      -4.603      -0.786
002.07_115      -2.926       7.171      -0.642      -1.065      -3.913      -1.375
002.07_125      -1.956       3.909      -0.399      -0.614      -2.846      -1.906
002.08_100      -5.445      14.600      -1.158      -1.840      -4.642       1.515
002.08_105      -4.341      10.857      -0.845      -1.466      -3.861       0.344
002.08_110      -3.487       8.048      -0.633      -1.141      -3.221      -0.434
002.08_115      -2.827       5.950      -0.484      -0.874      -2.694      -0.929
002.08_125      -1.912       3.225      -0.296      -0.497      -1.896      -1.376
002.09_100      -5.307      14.195      -1.171      -1.655      -4.397       1.664
002.09_105      -4.210      10.472      -0.855      -1.295      -3.647       0.466
002.09_110      -3.369       7.700      -0.638      -0.991      -3.032      -0.330
002.09_115      -2.721       5.643      -0.486      -0.747      -2.527      -0.838
002.09_125      -1.832       3.004      -0.295      -0.410      -1.766      -1.299
002.10_100      -8.832      28.748      -6.948      -3.609      -7.747       1.612
002.10_105      -7.602      22.376      -5.546      -3.082      -6.659      -0.512
002.10_110      -6.553      17.370      -4.479      -2.573      -5.731      -1.967
002.10_115      -5.669      13.453      -3.654      -2.114      -4.940      -2.924
002.10_125      -4.311       8.023      -2.492      -1.384      -3.684      -3.848
002.11_100     -10.343      29.513      -6.759      -3.701      -6.898       1.812
002.11_105      -9.017      23.148      -5.362      -3.187      -5.887      -0.305
002.11_110      -7.852      18.100      -4.303      -2.680      -5.029      -1.763
002.11_115      -6.848      14.135      -3.492      -2.219      -4.302      -2.726
002.11_125      -5.242       8.564      -2.360      -1.472      -3.156      -3.666
002.12_100      -9.883      27.753      -6.243      -3.376      -6.359       1.891
002.12_105      -8.553      21.566      -4.932      -2.854      -5.405      -0.178
002.12_110      -7.406      16.713      -3.943      -2.360      -4.599      -1.595
002.12_115      -6.425      12.921      -3.186      -1.921      -3.917      -2.528
002.12_125      -4.886       7.677      -2.134      -1.234      -2.850      -3.427
002.13_100      -2.278       7.500      -0.144      -0.431      -3.144       1.503
002.13_105      -1.620       5.425      -0.090      -0.323      -2.593       0.799
002.13_110      -1.146       3.906      -0.057      -0.236      -2.141       0.326
002.13_115      -0.808       2.805      -0.038      -0.170      -1.772       0.019
002.13_125      -0.395       1.433      -0.017      -0.085      -1.220      -0.283
002.14_100      -2.219       7.304      -0.296      -0.539      -2.807       1.443
002.14_105      -1.621       5.285      -0.200      -0.397      -2.306       0.760
002.14_110      -1.184       3.806      -0.137      -0.288      -1.896       0.301
002.14_115      -0.867       2.733      -0.095      -0.206      -1.562       0.003
002.14_125      -0.469       1.396      -0.047      -0.103      -1.064      -0.287
002.15_100      -3.265      10.614      -0.844      -0.836      -3.919       1.750
002.15_105      -2.516       7.881      -0.629      -0.633      -3.287       0.815
002.15_110      -1.946       5.828      -0.476      -0.472      -2.762       0.173
002.15_115      -1.513       4.297      -0.364      -0.347      -2.324      -0.252
002.15_125      -0.933       2.317      -0.220      -0.183      -1.656      -0.676
002.16_100      -5.182      17.009      -3.769      -1.718      -4.874       1.466
002.16_105      -4.302      13.176      -3.046      -1.377      -4.168       0.284
002.16_110      -3.577      10.178      -2.480      -1.090      -3.566      -0.536
002.16_115      -2.982       7.840      -2.032      -0.855      -3.054      -1.083
002.16_125      -2.094       4.616      -1.386      -0.516      -2.243      -1.624
002.17_100      -4.273      12.763      -0.565      -1.017      -5.562       1.346
002.17_105      -3.134       9.322      -0.378      -0.815      -4.668       0.328
002.17_110      -2.298       6.783      -0.261      -0.630      -3.927      -0.333
002.17_115      -1.687       4.920      -0.187      -0.476      -3.312      -0.740
002.17_125      -0.916       2.564      -0.104      -0.259      -2.367      -1.081
002.18_100      -3.419       9.922      -0.414      -0.886      -3.862       1.340
002.18_105      -2.510       7.187      -0.282      -0.684      -3.180       0.531
002.18_110      -1.847       5.189      -0.197      -0.515      -2.625       0.006
002.18_115      -1.363       3.736      -0.142      -0.381      -2.171      -0.321
002.18_125      -0.755       1.922      -0.078      -0.202      -1.494      -0.606
002.19_100      -3.250       9.456      -0.417      -0.765      -3.592       1.432
002.19_105      -2.368       6.788      -0.285      -0.580      -2.947       0.608
002.19_110      -1.730       4.856      -0.200      -0.429      -2.423       0.073
002.19_115      -1.269       3.464      -0.144      -0.312      -1.997      -0.258
002.19_125      -0.695       1.746      -0.079      -0.159      -1.363      -0.550
002.20_100      -2.643       8.378      -0.282      -0.503      -3.480       1.470
002.20_105      -1.939       6.120      -0.189      -0.378      -2.895       0.720
002.20_110      -1.421       4.455      -0.128      -0.279      -2.412       0.215
002.20_115      -1.041       3.230      -0.088      -0.202      -2.012      -0.113
002.20_125      -0.562       1.686      -0.043      -0.103      -1.408      -0.431
003.01_100      -9.432      23.888      -0.565      -0.776     -12.026       1.090
003.01_105      -6.259      16.309      -0.320      -0.819      -9.832      -0.920
003.01_110      -4.108      11.069      -0.214      -0.693      -8.060      -2.007
003.01_115      -2.664       7.487      -0.167      -0.532      -6.630      -2.506
003.01_125      -1.045       3.376      -0.126      -0.269      -4.518      -2.581
003.02_100      -5.367      14.933      -0.308      -0.804      -7.230       1.224
003.02_105      -3.401       9.983      -0.186      -0.641      -5.798      -0.043
003.02_110      -2.113       6.647      -0.131      -0.470      -4.667      -0.733
003.02_115      -1.273       4.405      -0.103      -0.327      -3.766      -1.064
003.02_125      -0.384       1.919      -0.074      -0.146      -2.478      -1.163
003.03_100      -3.578      10.735      -0.211      -0.866      -4.829       1.251
003.03_105      -2.183       7.143      -0.130      -0.633      -3.810       0.386
003.03_110      -1.285       4.734      -0.092      -0.441      -3.016      -0.100
003.03_115      -0.713       3.125      -0.071      -0.297      -2.394      -0.350
003.03_125      -0.133       1.349      -0.048      -0.127      -1.519      -0.477
003.04_100      -5.766      15.176      -0.466      -0.840      -6.977       1.127
003.04_105      -3.738      10.189      -0.296      -0.665      -5.608      -0.116
003.04_110      -2.395       6.811      -0.209      -0.485      -4.521      -0.799
003.04_115      -1.509       4.529      -0.160      -0.337      -3.652      -1.129
003.04_125      -0.552       1.982      -0.106      -0.149      -2.404      -1.229
003.05_100      -3.431      10.037      -0.246      -0.716      -4.382       1.263
003.05_105      -2.105       6.594      -0.161      -0.514      -3.440       0.374
003.05_110      -1.254       4.314      -0.117      -0.351      -2.709      -0.116
003.05_115      -0.714       2.813      -0.090      -0.232      -2.139      -0.361
003.05_125      -0.164       1.185      -0.057      -0.096      -1.344      -0.475
003.06_100      -2.518       8.474      -0.240      -0.548      -3.774       1.393
003.06_105      -1.434       5.471      -0.165      -0.379      -2.941       0.552
003.06_110      -0.757       3.514      -0.122      -0.250      -2.299       0.087
003.06_115      -0.343       2.251      -0.093      -0.160      -1.803      -0.148
003.06_125       0.052       0.914      -0.057      -0.062      -1.119      -0.271
003.07_100      -4.261      12.952      -0.165      -0.811      -6.744       0.971
003.07_105      -2.772       8.662      -0.100      -0.594      -5.424      -0.230
003.07_110      -1.789       5.768      -0.070      -0.417      -4.375      -0.883
003.07_115      -1.143       3.827      -0.054      -0.284      -3.537      -1.192
003.07_125      -0.445       1.666      -0.037      -0.126      -2.330      -1.272
003.08_100      -2.690       8.643      -0.071      -0.506      -4.224       1.152
003.08_105      -1.701       5.733      -0.041      -0.376      -3.333       0.282
003.08_110      -1.060       3.789      -0.029      -0.266      -2.637      -0.203
003.08_115      -0.646       2.493      -0.024      -0.182      -2.092      -0.451
003.08_125      -0.216       1.072      -0.018      -0.081      -1.329      -0.572
003.09_100      -2.470       8.140      -0.107      -0.430      -3.894       1.240
003.09_105      -1.541       5.338      -0.069      -0.307      -3.059       0.361
003.09_110      -0.945       3.485      -0.050      -0.210      -2.410      -0.130
003.09_115      -0.566       2.268      -0.039      -0.140      -1.904      -0.382
003.09_125      -0.179       0.951      -0.025      -0.059      -1.200      -0.513
003.10_100      -2.078       7.791      -0.079      -0.335      -3.950       1.351
003.10_105      -1.330       5.150      -0.045      -0.226      -3.130       0.419
003.10_110      -0.843       3.390      -0.027      -0.149      -2.487      -0.116
003.10_115      -0.527       2.224      -0.017      -0.096      -1.982      -0.399
003.10_125      -0.195       0.948      -0.007      -0.039      -1.271      -0.565
004.01_100      -2.433       8.046      -0.632      -0.649      -2.721       1.611
004.01_105      -1.605       5.702      -0.496      -0.466      -2.200       0.936
004.01_110      -1.033       4.029      -0.396      -0.327      -1.783       0.490
004.01_115      -0.642       2.838      -0.319      -0.227      -1.448       0.202
004.01_125      -0.197       1.397      -0.212      -0.105      -0.963      -0.080
004.02_100      -6.789      15.660      -1.445      -1.768      -3.828       1.830
004.02_105      -5.195      11.576      -1.074      -1.349      -3.126       0.832
004.02_110      -3.995       8.522      -0.815      -1.010      -2.558       0.145
004.02_115      -3.096       6.262      -0.629      -0.746      -2.099      -0.308
004.02_125      -1.906       3.354      -0.389      -0.395      -1.421      -0.757
004.03_100     -18.117      33.631      -4.149      -3.471      -6.593       1.301
004.03_105     -14.965      26.126      -3.095      -2.979      -5.541      -0.455
004.03_110     -12.422      20.219      -2.362      -2.459      -4.670      -1.695
004.03_115     -10.379      15.620      -1.843      -1.980      -3.950      -2.533
004.03_125      -7.386       9.247      -1.179      -1.220      -2.845      -3.384
004.04_100      -1.775       6.652      -0.402      -0.454      -2.263       1.757
004.04_105      -1.134       4.616      -0.313      -0.318      -1.825       1.026
004.04_110      -0.700       3.189      -0.250      -0.217      -1.476       0.546
004.04_115      -0.409       2.197      -0.203      -0.146      -1.198       0.240
004.04_125      -0.092       1.034      -0.138      -0.064      -0.796      -0.056
004.05_100      -3.769       9.733      -0.716      -0.798      -2.614       1.836
004.05_105      -2.802       6.908      -0.520      -0.574      -2.111       0.900
004.05_110      -2.103       4.882      -0.388      -0.406      -1.709       0.277
004.05_115      -1.596       3.440      -0.295      -0.282      -1.388      -0.122
004.05_125      -0.958       1.689      -0.180      -0.133      -0.921      -0.503
004.06_100     -10.068      20.815      -2.292      -1.887      -4.671       1.896
004.06_105      -8.181      15.539      -1.704      -1.484      -3.881       0.289
004.06_110      -6.705      11.547      -1.296      -1.135      -3.234      -0.823
004.06_115      -5.551       8.553      -1.005      -0.852      -2.704      -1.559
004.06_125      -3.932       4.654      -0.635      -0.463      -1.906      -2.282
004.07_100     -44.621      81.261     -22.059      -4.947     -11.591      -1.956
004.07_105     -39.836      67.244     -17.401      -5.557     -10.089      -5.638
004.07_110     -35.482      55.495     -13.881      -5.564      -8.798      -8.230
004.07_115     -31.560      45.657     -11.187      -5.232      -7.681     -10.003
004.07_125     -25.010      30.740      -7.501      -4.167      -5.882     -11.820
004.08_100     -24.749      50.680     -12.444      -4.713      -8.091       0.683
004.08_105     -21.706      40.466      -9.713      -4.275      -6.915      -2.143
004.08_110     -19.030      32.175      -7.671      -3.707      -5.922      -4.155
004.08_115     -16.711      25.505      -6.129      -3.121      -5.082      -5.538
004.08_125     -13.008      15.914      -4.035      -2.094      -3.766      -6.989
004.09_100      -6.535      14.476      -1.259      -1.196      -4.006       1.480
004.09_105      -4.938      10.657      -0.959      -0.923      -3.305       0.532
004.09_110      -3.745       7.818      -0.748      -0.693      -2.733      -0.100
004.09_115      -2.858       5.726      -0.593      -0.511      -2.266      -0.502
004.09_125      -1.699       3.047      -0.386      -0.267      -1.565      -0.870
004.10_100      -3.846       9.925      -0.706      -0.725      -2.993       1.654
004.10_105      -2.821       7.073      -0.529      -0.529      -2.448       0.746
004.10_110      -2.081       5.022      -0.408      -0.377      -2.008       0.147
004.10_115      -1.549       3.555      -0.321      -0.264      -1.652      -0.232
004.10_125      -0.886       1.766      -0.209      -0.126      -1.127      -0.581
004.11_100      -3.133       9.601      -0.671      -0.803      -3.361       1.633
004.11_105      -2.122       6.887      -0.521      -0.589      -2.749       0.905
004.11_110      -1.413       4.923      -0.413      -0.422      -2.254       0.421
004.11_115      -0.919       3.511      -0.333      -0.298      -1.852       0.109
004.11_125      -0.344       1.775      -0.221      -0.144      -1.259      -0.193
004.12_100      -8.141      18.628      -1.690      -2.185      -4.611       2.001
004.12_105      -6.257      13.937      -1.242      -1.704      -3.806       0.928
004.12_110      -4.829      10.388      -0.934      -1.300      -3.148       0.177
004.12_115      -3.748       7.722      -0.716      -0.977      -2.610      -0.328
004.12_125      -2.306       4.240      -0.439      -0.535      -1.804      -0.844
004.13_100     -20.626      38.694      -4.875      -3.965      -7.842       1.385
004.13_105     -17.045      30.331      -3.598      -3.498      -6.644      -0.454
004.13_110     -14.147      23.705      -2.719      -2.953      -5.649      -1.764
004.13_115     -11.804      18.480      -2.100      -2.421      -4.818      -2.664
004.13_125      -8.362      11.156      -1.325      -1.540      -3.531      -3.601
004.14_100     -48.558      89.285     -24.951      -4.587     -12.895      -1.705
004.14_105     -43.394      74.296     -19.715      -5.583     -11.291      -5.686
004.14_110     -38.672      61.658     -15.747      -5.830      -9.905      -8.496
004.14_115     -34.417      51.049     -12.714      -5.636      -8.704     -10.422
004.14_125     -27.251      34.763      -8.539      -4.659      -6.746     -12.433
004.15_100      -7.715      16.779      -1.389      -1.395      -4.816       1.464
004.15_105      -5.855      12.467      -1.043      -1.101      -4.013       0.456
004.15_110      -4.460       9.240      -0.804      -0.842      -3.353      -0.220
004.15_115      -3.414       6.833      -0.633      -0.632      -2.808      -0.653
004.15_125      -2.036       3.717      -0.409      -0.341      -1.980      -1.049
004.16_100      -3.606      10.524      -0.489      -0.362      -4.514       1.553
004.16_105      -2.570       7.466      -0.338      -0.287      -3.753       0.519
004.16_110      -1.833       5.277      -0.246      -0.215      -3.124      -0.140
004.16_115      -1.310       3.717      -0.186      -0.155      -2.603      -0.538
004.16_125      -0.676       1.826      -0.116      -0.076      -1.816      -0.858
004.17_100      -1.164       6.403      -0.386      -0.306      -3.068       1.479
004.17_105      -0.698       4.399      -0.273      -0.214      -2.513       0.700
004.17_110      -0.392       3.008      -0.198      -0.147      -2.061       0.211
004.17_115      -0.195       2.050      -0.147      -0.099      -1.692      -0.083
004.17_125       0.004       0.941      -0.085      -0.043      -1.145      -0.328
004.18_100       0.446       6.319      -0.707      -0.331      -3.718       2.009
004.18_105       0.622       4.351      -0.529      -0.226      -3.078       1.141
004.18_110       0.701       2.983      -0.402      -0.151      -2.553       0.578
004.18_115       0.720       2.038      -0.311      -0.100      -2.123       0.224
004.18_125       0.662       0.943      -0.193      -0.043      -1.478      -0.108
004.19_100       2.781       3.533      -1.270      -0.258      -2.464       2.321
004.19_105       2.472       2.378      -0.990      -0.171      -2.019       1.671
004.19_110       2.185       1.595      -0.779      -0.113      -1.658       1.231
004.19_115       1.926       1.066      -0.619      -0.074      -1.364       0.935
004.19_125       1.489       0.474      -0.401      -0.032      -0.932       0.597
004.20_100      -1.946       8.689      -0.492      -0.343      -4.310       1.598
004.20_105      -1.276       6.101      -0.350      -0.250      -3.582       0.643
004.20_110      -0.816       4.266      -0.258      -0.176      -2.981       0.034
004.20_115      -0.506       2.973      -0.195      -0.122      -2.484      -0.334
004.20_125      -0.161       1.432      -0.119      -0.056      -1.736      -0.640
004.21_100      -3.074       9.788      -0.662      -0.763      -3.454       1.835
004.21_105      -2.065       7.022      -0.513      -0.558      -2.845       1.040
004.21_110      -1.360       5.021      -0.408      -0.399      -2.349       0.506
004.21_115      -0.871       3.586      -0.330      -0.280      -1.946       0.159
004.21_125      -0.304       1.818      -0.222      -0.133      -1.345      -0.187
004.22_100      -7.717      18.074      -1.599      -1.904      -4.506       2.348
004.22_105      -5.906      13.467      -1.169      -1.475      -3.728       1.190
004.22_110      -4.542      10.004      -0.875      -1.117      -3.095       0.376
004.22_115      -3.514       7.412      -0.669      -0.832      -2.576      -0.179
004.22_125      -2.153       4.046      -0.410      -0.447      -1.797      -0.761
004.23_100     -19.530      37.747      -4.852      -3.640      -7.859       1.867
004.23_105     -16.109      29.494      -3.579      -3.192      -6.673      -0.059
004.23_110     -13.351      22.978      -2.702      -2.676      -5.688      -1.439
004.23_115     -11.120      17.844      -2.084      -2.177      -4.864      -2.401
004.23_125      -7.869      10.706      -1.313      -1.364      -3.589      -3.430
004.24_100     -45.028      85.751     -24.461      -4.660     -12.593      -0.991
004.24_105     -40.203      71.119     -19.351      -5.490     -11.010      -4.935
004.24_110     -35.778      58.772     -15.466      -5.626      -9.643      -7.741
004.24_115     -31.799      48.445     -12.495      -5.363      -8.462      -9.676
004.24_125     -25.135      32.710      -8.410      -4.337      -6.552     -11.724
004.25_100      -7.535      16.858      -1.378      -1.320      -4.894       1.730
004.25_105      -5.709      12.516      -1.028      -1.040      -4.099       0.641
004.25_110      -4.338       9.264      -0.789      -0.793      -3.442      -0.098
004.25_115      -3.315       6.848      -0.620      -0.592      -2.899      -0.577
004.25_125      -1.970       3.721      -0.401      -0.316      -2.070      -1.036
005.01_100      -1.594       8.505      -0.642      -0.384      -4.264       1.622
005.01_105      -0.505       5.544      -0.519      -0.270      -3.396       0.854
005.01_110       0.148       3.593      -0.428      -0.177      -2.711       0.425
005.01_115       0.520       2.322      -0.354      -0.110      -2.171       0.207
005.01_125       0.810       0.958      -0.243      -0.038      -1.402       0.086
005.02_100      -0.032       4.948      -0.402      -0.284      -2.468       1.763
005.02_105       0.448       3.151      -0.324      -0.183      -1.910       1.182
005.02_110       0.685       2.000      -0.263      -0.113      -1.482       0.827
005.02_115       0.779       1.264      -0.212      -0.068      -1.152       0.611
005.02_125       0.761       0.501      -0.138      -0.022      -0.703       0.400
005.03_100       0.094       4.539      -0.374      -0.215      -2.242       1.802
005.03_105       0.522       2.856      -0.300      -0.135      -1.726       1.217
005.03_110       0.725       1.789      -0.241      -0.081      -1.331       0.860
005.03_115       0.797       1.116      -0.193      -0.047      -1.029       0.644
005.03_125       0.757       0.432      -0.124      -0.014      -0.621       0.430
005.04_100      -0.898       7.253      -0.450      -0.497      -3.838       1.569
005.04_105      -0.083       4.654      -0.374      -0.338      -3.051       0.807
005.04_110       0.390       2.970      -0.317      -0.219      -2.433       0.391
005.04_115       0.650       1.887      -0.270      -0.137      -1.947       0.183
005.04_125       0.827       0.754      -0.195      -0.049      -1.260       0.077
005.05_100      -0.161       4.774      -0.292      -0.350      -2.307       1.665
005.05_105       0.287       3.016      -0.241      -0.231      -1.788       1.043
005.05_110       0.518       1.896      -0.200      -0.148      -1.390       0.677
005.05_115       0.621       1.190      -0.167      -0.092      -1.085       0.467
005.05_125       0.637       0.464      -0.114      -0.034      -0.668       0.285
005.06_100      -0.071       4.532      -0.281      -0.279      -2.162       1.739
005.06_105       0.350       2.826      -0.230      -0.178      -1.667       1.101
005.06_110       0.560       1.756      -0.189      -0.110      -1.291       0.726
005.06_115       0.648       1.086      -0.156      -0.066      -1.002       0.510
005.06_125       0.648       0.412      -0.105      -0.022      -0.611       0.321
005.07_100      -1.841       7.237      -0.360      -0.307      -3.080       1.650
005.07_105      -1.047       4.785      -0.292      -0.213      -2.420       0.812
005.07_110      -0.550       3.149      -0.241      -0.142      -1.906       0.310
005.07_115      -0.247       2.068      -0.199      -0.092      -1.506       0.024
005.07_125       0.038       0.884      -0.136      -0.037      -0.947      -0.198
005.08_100      -1.676       6.920      -0.284      -0.269      -2.979       1.711
005.08_105      -0.958       4.510      -0.228      -0.180      -2.339       0.805
005.08_110      -0.512       2.923      -0.188      -0.116      -1.843       0.265
005.08_115      -0.239       1.887      -0.157      -0.073      -1.457      -0.039
005.08_125       0.016       0.779      -0.111      -0.027      -0.921      -0.264
005.09_100      -2.656      10.867      -0.649      -0.480      -5.460       1.621
005.09_105      -1.200       7.201      -0.517      -0.356      -4.401       0.728
005.09_110      -0.296       4.753      -0.427      -0.244      -3.557       0.229
005.09_115       0.249       3.124      -0.357      -0.159      -2.881      -0.024
005.09_125       0.729       1.337      -0.251      -0.059      -1.906      -0.149
005.10_100      -0.320       5.825      -0.385      -0.330      -3.037       1.753
005.10_105       0.281       3.757      -0.313      -0.218      -2.378       1.128
005.10_110       0.597       2.412      -0.257      -0.138      -1.866       0.748
005.10_115       0.739       1.545      -0.210      -0.084      -1.469       0.521
005.10_125       0.767       0.629      -0.138      -0.029      -0.919       0.310
005.11_100      -0.128       5.321      -0.372      -0.257      -2.758       1.806
