# DFT-SAPT benchmark energies with the asymptotically corrected PBE0 potential for D442x10
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst        Exch        Ind       deltaHF       Disp       Total    
1.03.01_090      -1.510       3.678      -0.133      -0.269      -2.684      -0.918
1.03.01_095      -0.985       2.291      -0.086      -0.174      -2.083      -1.037
1.03.01_100      -0.650       1.417      -0.057      -0.109      -1.620      -1.020
1.03.01_105      -0.436       0.870      -0.039      -0.068      -1.262      -0.935
1.03.01_110      -0.298       0.531      -0.028      -0.041      -0.987      -0.824
1.03.01_125      -0.113       0.117      -0.012      -0.009      -0.484      -0.501
1.03.01_150      -0.038       0.009      -0.004      -0.001      -0.164      -0.199
1.03.01_200      -0.011       0.000      -0.001      -0.000      -0.029      -0.040
1.03.03_080      -0.810       2.871      -0.102      -0.267      -1.276       0.416
1.03.03_085      -0.494       1.706      -0.057      -0.152      -0.942       0.060
1.03.03_090      -0.306       1.008      -0.032      -0.086      -0.699      -0.115
1.03.03_095      -0.193       0.593      -0.019      -0.048      -0.522      -0.189
1.03.03_100      -0.125       0.348      -0.011      -0.027      -0.392      -0.208
1.03.03_105      -0.084       0.203      -0.007      -0.015      -0.297      -0.199
1.03.03_110      -0.057       0.118      -0.004      -0.008      -0.226      -0.178
1.03.03_125      -0.024       0.022      -0.001      -0.001      -0.105      -0.108
1.03.03_150      -0.010       0.001      -0.000      -0.000      -0.035      -0.044
1.03.03_200      -0.002       0.000      -0.000      -0.000      -0.006      -0.009
1.04.01_080      -3.463       8.319      -0.474      -0.647      -3.443       0.291
1.04.01_085      -2.422       5.538      -0.326      -0.429      -2.756      -0.395
1.04.01_090      -1.719       3.678      -0.231      -0.279      -2.211      -0.762
1.04.01_095      -1.243       2.442      -0.167      -0.180      -1.780      -0.928
1.04.01_100      -0.917       1.621      -0.123      -0.115      -1.437      -0.972
1.04.01_105      -0.692       1.075      -0.091      -0.074      -1.164      -0.945
1.04.01_110      -0.533       0.713      -0.069      -0.047      -0.946      -0.882
1.04.01_125      -0.270       0.207      -0.030      -0.012      -0.521      -0.626
1.04.01_150      -0.114       0.026      -0.009      -0.001      -0.210      -0.309
1.04.01_200      -0.033       0.000      -0.001      -0.000      -0.046      -0.080
1.05.01_080      -2.043       6.784      -0.230      -0.419      -3.724       0.368
1.05.01_085      -1.306       4.313      -0.140      -0.290      -2.877      -0.301
1.05.01_090      -0.838       2.712      -0.088      -0.191      -2.224      -0.629
1.05.01_095      -0.543       1.690      -0.057      -0.122      -1.721      -0.752
1.05.01_100      -0.358       1.044      -0.037      -0.076      -1.334      -0.760
1.05.01_105      -0.241       0.640      -0.025      -0.046      -1.037      -0.709
1.05.01_110      -0.168       0.390      -0.017      -0.028      -0.809      -0.632
1.05.01_125      -0.072       0.085      -0.006      -0.006      -0.396      -0.394
1.05.01_150      -0.031       0.006      -0.001      -0.000      -0.135      -0.162
1.05.01_200      -0.011       0.000      -0.000      -0.000      -0.024      -0.035
1.05.02_080      -1.504       4.717      -0.184      -0.396      -2.681      -0.048
1.05.02_085      -1.030       3.097      -0.121      -0.264      -2.108      -0.426
1.05.02_090      -0.714       2.019      -0.081      -0.172      -1.661      -0.609
1.05.02_095      -0.503       1.307      -0.056      -0.111      -1.312      -0.674
1.05.02_100      -0.363       0.842      -0.040      -0.070      -1.039      -0.670
1.05.02_105      -0.268       0.539      -0.029      -0.044      -0.826      -0.627
1.05.02_110      -0.203       0.344      -0.021      -0.028      -0.659      -0.567
1.05.02_125      -0.104       0.087      -0.009      -0.007      -0.344      -0.377
1.05.02_150      -0.050       0.008      -0.003      -0.001      -0.130      -0.176
1.05.02_200      -0.019       0.000      -0.001      -0.000      -0.027      -0.047
1.06.01_080     -14.954      38.748      -0.852      -2.436     -19.533       0.972
1.06.01_085      -9.688      25.643      -0.471      -1.917     -15.695      -2.128
1.06.01_090      -6.232      16.897      -0.302      -1.384     -12.658      -3.679
1.06.01_095      -3.971      11.090      -0.221      -0.952     -10.241      -4.294
1.06.01_100      -2.497       7.252      -0.178      -0.634      -8.309      -4.365
1.06.01_105      -1.540       4.725      -0.149      -0.413      -6.760      -4.137
1.06.01_110      -0.921       3.069      -0.128      -0.265      -5.516      -3.762
1.06.01_125      -0.115       0.826      -0.082      -0.066      -3.054      -2.490
1.06.01_150       0.099       0.088      -0.038      -0.005      -1.232      -1.087
1.06.01_200       0.055       0.001      -0.008       0.000      -0.271      -0.224
1.06.08_080      -7.970      22.750      -0.448      -1.404     -13.052      -0.123
1.06.08_085      -5.452      15.551      -0.297      -1.020     -10.635      -1.854
1.06.08_090      -3.729      10.599      -0.209      -0.721      -8.690      -2.749
1.06.08_095      -2.551       7.209      -0.155      -0.501      -7.120      -3.117
1.06.08_100      -1.747       4.891      -0.118      -0.343      -5.849      -3.167
1.06.08_105      -1.198       3.312      -0.093      -0.233      -4.818      -3.030
1.06.08_110      -0.823       2.240      -0.074      -0.158      -3.981      -2.796
1.06.08_125      -0.274       0.686      -0.040      -0.048      -2.288      -1.963
1.06.08_150      -0.050       0.093      -0.016      -0.006      -0.976      -0.955
1.06.08_200      -0.006       0.002      -0.003      -0.000      -0.235      -0.242
1.06.15_080      -3.975      12.110      -0.290      -0.733      -7.286      -0.173
1.06.15_085      -2.739       8.297      -0.194      -0.516      -5.936      -1.088
1.06.15_090      -1.888       5.663      -0.132      -0.357      -4.847      -1.561
1.06.15_095      -1.302       3.850      -0.092      -0.243      -3.966      -1.753
1.06.15_100      -0.901       2.609      -0.064      -0.164      -3.254      -1.774
1.06.15_105      -0.625       1.762      -0.046      -0.110      -2.676      -1.695
1.06.15_110      -0.436       1.187      -0.033      -0.073      -2.208      -1.563
1.06.15_125      -0.156       0.357      -0.013      -0.021      -1.264      -1.097
1.06.15_150      -0.036       0.046      -0.003      -0.003      -0.540      -0.535
1.06.15_200      -0.007       0.001      -0.000      -0.000      -0.132      -0.139
1.06.17_080      -7.417      18.686      -0.592      -1.485      -9.424      -0.232
1.06.17_085      -5.149      12.456      -0.398      -1.061      -7.552      -1.704
1.06.17_090      -3.610       8.263      -0.281      -0.734      -6.065      -2.427
1.06.17_095      -2.563       5.458      -0.204      -0.497      -4.881      -2.688
1.06.17_100      -1.849       3.589      -0.152      -0.332      -3.936      -2.681
1.06.17_105      -1.359       2.351      -0.115      -0.220      -3.181      -2.523
1.06.17_110      -1.020       1.535      -0.088      -0.144      -2.578      -2.294
1.06.17_125      -0.490       0.419      -0.041      -0.040      -1.396      -1.548
1.06.17_150      -0.204       0.046      -0.013      -0.005      -0.544      -0.720
1.06.17_200      -0.063       0.000      -0.002      -0.000      -0.115      -0.179
1.06.22_080     -12.097      31.329      -1.321      -1.932     -15.278       0.702
1.06.22_085      -7.982      20.765      -0.814      -1.598     -12.275      -1.904
1.06.22_090      -5.250      13.677      -0.546      -1.196      -9.891      -3.206
1.06.22_095      -3.445       8.960      -0.395      -0.846      -7.994      -3.718
1.06.22_100      -2.256       5.840      -0.302      -0.576      -6.476      -3.771
1.06.22_105      -1.477       3.789      -0.241      -0.383      -5.260      -3.572
1.06.22_110      -0.968       2.449      -0.197      -0.250      -4.286      -3.251
1.06.22_125      -0.285       0.648      -0.115      -0.066      -2.361      -2.179
1.06.22_150      -0.069       0.067      -0.051      -0.007      -0.942      -1.001
1.06.22_200      -0.048       0.001      -0.011      -0.000      -0.201      -0.259
1.06.29_080      -5.627      16.039      -0.386      -1.155      -8.723       0.149
1.06.29_085      -3.706      10.690      -0.248      -0.832      -6.933      -1.029
1.06.29_090      -2.432       7.081      -0.169      -0.578      -5.518      -1.617
1.06.29_095      -1.593       4.663      -0.121      -0.391      -4.398      -1.840
1.06.29_100      -1.043       3.055      -0.089      -0.260      -3.512      -1.849
1.06.29_105      -0.684       1.992      -0.067      -0.171      -2.811      -1.742
1.06.29_110      -0.451       1.293      -0.051      -0.111      -2.257      -1.577
1.06.29_125      -0.141       0.346      -0.024      -0.029      -1.192      -1.040
1.06.29_150      -0.037       0.036      -0.008      -0.003      -0.449      -0.461
1.06.29_200      -0.014       0.000      -0.001      -0.000      -0.090      -0.105
1.06.34_080      -6.216      18.328      -0.455      -1.145     -11.054      -0.543
1.06.34_085      -4.290      12.646      -0.324      -0.832      -9.041      -1.842
1.06.34_090      -2.962       8.691      -0.241      -0.590      -7.410      -2.511
1.06.34_095      -2.048       5.952      -0.184      -0.411      -6.085      -2.775
1.06.34_100      -1.421       4.064      -0.143      -0.283      -5.008      -2.792
1.06.34_105      -0.992       2.766      -0.114      -0.193      -4.133      -2.665
1.06.34_110      -0.697       1.878      -0.091      -0.131      -3.420      -2.462
1.06.34_125      -0.261       0.581      -0.049      -0.040      -1.977      -1.746
1.06.34_150      -0.077       0.079      -0.019      -0.006      -0.852      -0.875
1.06.34_200      -0.024       0.001      -0.004      -0.000      -0.209      -0.237
1.06.37_080     -13.010      33.271      -0.865      -1.627     -17.303       0.466
1.06.37_085      -8.701      22.217      -0.552      -1.381     -13.949      -2.365
1.06.37_090      -5.840      14.784      -0.390      -1.056     -11.279      -3.781
1.06.37_095      -3.950       9.813      -0.299      -0.763      -9.149      -4.347
1.06.37_100      -2.701       6.501      -0.239      -0.534      -7.437      -4.411
1.06.37_105      -1.877       4.303      -0.197      -0.366      -6.062      -4.199
1.06.37_110      -1.332       2.848      -0.164      -0.248      -4.955      -3.850
1.06.37_125      -0.561       0.827      -0.095      -0.075      -2.752      -2.656
1.06.37_150      -0.233       0.106      -0.037      -0.011      -1.105      -1.279
1.06.37_200      -0.084       0.002      -0.006      -0.000      -0.234      -0.323
1.06.40_080      -7.110      20.760      -0.363      -1.259     -12.500      -0.472
1.06.40_085      -4.862      14.428      -0.251      -0.926     -10.312      -1.923
1.06.40_090      -3.313       9.996      -0.187      -0.660      -8.528      -2.692
1.06.40_095      -2.250       6.905      -0.147      -0.460      -7.069      -3.022
1.06.40_100      -1.522       4.758      -0.120      -0.316      -5.872      -3.072
1.06.40_105      -1.026       3.270      -0.099      -0.215      -4.889      -2.959
1.06.40_110      -0.690       2.241      -0.082      -0.145      -4.081      -2.757
1.06.40_125      -0.202       0.712      -0.048      -0.043      -2.414      -1.996
1.06.40_150      -0.022       0.101      -0.020      -0.005      -1.074      -1.020
1.06.40_200       0.000       0.002      -0.004      -0.000      -0.274      -0.276
1.06.41_080      -7.389      24.280      -0.511      -1.362     -15.492      -0.474
1.06.41_085      -5.179      17.236      -0.346      -1.001     -12.825      -2.116
1.06.41_090      -3.614      12.171      -0.238      -0.718     -10.630      -3.029
1.06.41_095      -2.508       8.546      -0.165      -0.505      -8.821      -3.454
1.06.41_100      -1.736       5.977      -0.115      -0.351      -7.336      -3.560
1.06.41_105      -1.196       4.163      -0.080      -0.241      -6.112      -3.466
1.06.41_110      -0.817       2.882      -0.056      -0.164      -5.100      -3.255
1.06.41_125      -0.250       0.939      -0.019      -0.050      -3.017      -2.397
1.06.41_150      -0.028       0.138      -0.003      -0.006      -1.347      -1.247
1.06.41_200       0.005       0.003      -0.000      -0.000      -0.350      -0.343
1.06.43_080      -8.567      24.214      -0.500      -1.536     -14.435      -0.824
1.06.43_085      -5.901      16.716      -0.341      -1.135     -11.883      -2.544
1.06.43_090      -4.060      11.491      -0.248      -0.813      -9.799      -3.430
1.06.43_095      -2.794       7.871      -0.190      -0.570      -8.096      -3.779
1.06.43_100      -1.925       5.375      -0.149      -0.394      -6.706      -3.799
1.06.43_105      -1.330       3.657      -0.120      -0.270      -5.564      -3.627
1.06.43_110      -0.922       2.484      -0.098      -0.183      -4.628      -3.348
1.06.43_125      -0.319       0.766      -0.056      -0.056      -2.709      -2.374
1.06.43_150      -0.070       0.103      -0.024      -0.008      -1.186      -1.184
1.06.43_200      -0.011       0.002      -0.005      -0.000      -0.297      -0.312
1.06.46_080      -5.737      17.756      -0.362      -1.012     -11.255      -0.610
1.06.46_085      -4.026      12.564      -0.241      -0.733      -9.302      -1.737
1.06.46_090      -2.817       8.855      -0.163      -0.520      -7.697      -2.343
1.06.46_095      -1.969       6.222      -0.112      -0.364      -6.381      -2.604
1.06.46_100      -1.372       4.358      -0.078      -0.252      -5.300      -2.645
1.06.46_105      -0.953       3.039      -0.054      -0.173      -4.408      -2.549
1.06.46_110      -0.661       2.115      -0.038      -0.118      -3.677      -2.378
1.06.46_125      -0.215       0.700      -0.013      -0.036      -2.166      -1.731
1.06.46_150      -0.032       0.106      -0.002      -0.005      -0.956      -0.889
1.06.46_200       0.002       0.002      -0.000      -0.000      -0.241      -0.237
1.06.48_080      -7.081      21.056      -0.450      -1.203     -13.380      -1.058
1.06.48_085      -5.100      15.320      -0.303      -0.917     -11.183      -2.183
1.06.48_090      -3.666      11.117      -0.209      -0.685      -9.362      -2.804
1.06.48_095      -2.626       8.040      -0.147      -0.503      -7.850      -3.085
1.06.48_100      -1.877       5.803      -0.105      -0.364      -6.592      -3.136
1.06.48_105      -1.337       4.177      -0.075      -0.261      -5.544      -3.040
1.06.48_110      -0.947       2.994      -0.055      -0.185      -4.669      -2.862
1.06.48_125      -0.329       1.088      -0.021      -0.064      -2.832      -2.158
1.06.48_150      -0.055       0.193      -0.005      -0.010      -1.302      -1.179
1.06.48_200       0.003       0.005      -0.000      -0.000      -0.345      -0.338
1.06.50_080      -3.587      11.540      -0.251      -0.624      -7.406      -0.328
1.06.50_085      -2.534       8.196      -0.166      -0.453      -6.098      -1.054
1.06.50_090      -1.786       5.799      -0.112      -0.322      -5.030      -1.451
1.06.50_095      -1.255       4.084      -0.076      -0.226      -4.153      -1.627
1.06.50_100      -0.878       2.862      -0.053      -0.157      -3.434      -1.659
1.06.50_105      -0.612       1.998      -0.037      -0.108      -2.845      -1.604
1.06.50_110      -0.425       1.390      -0.026      -0.073      -2.363      -1.498
1.06.50_125      -0.140       0.458      -0.009      -0.022      -1.376      -1.089
1.06.50_150      -0.022       0.068      -0.002      -0.003      -0.597      -0.556
1.06.50_200      -0.000       0.001      -0.000      -0.000      -0.146      -0.145
1.06.52_080      -4.031      13.910      -0.383      -0.819      -8.811      -0.134
1.06.52_085      -2.900      10.204      -0.270      -0.618      -7.366      -0.949
1.06.52_090      -2.062       7.420      -0.192      -0.454      -6.157      -1.446
1.06.52_095      -1.454       5.366      -0.138      -0.328      -5.149      -1.703
1.06.52_100      -1.023       3.872      -0.099      -0.233      -4.319      -1.801
1.06.52_105      -0.705       2.766      -0.072      -0.163      -3.623      -1.796
1.06.52_110      -0.477       1.961      -0.052      -0.113      -3.040      -1.721
1.06.52_125      -0.139       0.692      -0.020      -0.036      -1.832      -1.335
1.06.52_150      -0.003       0.113      -0.004      -0.005      -0.836      -0.735
1.06.52_200       0.010       0.003      -0.000      -0.000      -0.223      -0.211
1.06.55_080      -8.555      23.983      -0.633      -1.526     -12.805       0.465
1.06.55_085      -5.691      15.903      -0.392      -1.109     -10.238      -1.528
1.06.55_090      -3.795      10.500      -0.262      -0.770      -8.213      -2.540
1.06.55_095      -2.541       6.905      -0.187      -0.520      -6.607      -2.950
1.06.55_100      -1.714       4.523      -0.140      -0.345      -5.331      -3.007
1.06.55_105      -1.167       2.954      -0.108      -0.226      -4.315      -2.862
1.06.55_110      -0.805       1.923      -0.085      -0.147      -3.505      -2.619
1.06.55_125      -0.290       0.521      -0.045      -0.039      -1.918      -1.772
1.06.55_150      -0.085       0.056      -0.017      -0.004      -0.768      -0.818
1.06.55_200      -0.023       0.001      -0.003      -0.000      -0.171      -0.197
1.06.56_080      -5.779      17.940      -0.435      -1.037     -11.286      -0.598
1.06.56_085      -4.146      13.018      -0.295      -0.779      -9.415      -1.619
1.06.56_090      -2.966       9.413      -0.205      -0.573      -7.867      -2.198
1.06.56_095      -2.115       6.783      -0.144      -0.414      -6.582      -2.471
1.06.56_100      -1.503       4.874      -0.103      -0.295      -5.515      -2.542
1.06.56_105      -1.063       3.490      -0.074      -0.208      -4.630      -2.486
1.06.56_110      -0.747       2.489      -0.054      -0.146      -3.894      -2.353
1.06.56_125      -0.252       0.887      -0.021      -0.048      -2.349      -1.782
1.06.56_150      -0.035       0.150      -0.005      -0.007      -1.070      -0.967
1.06.56_200       0.006       0.004      -0.000      -0.000      -0.283      -0.274
1.06.57_080      -6.842      19.685      -0.401      -1.274     -11.234      -0.065
1.06.57_085      -4.656      13.402      -0.264      -0.909      -9.118      -1.545
1.06.57_090      -3.167       9.093      -0.184      -0.633      -7.421      -2.313
1.06.57_095      -2.155       6.151      -0.135      -0.433      -6.058      -2.631
1.06.57_100      -1.468       4.149      -0.103      -0.293      -4.960      -2.674
1.06.57_105      -1.002       2.792      -0.080      -0.196      -4.073      -2.559
1.06.57_110      -0.686       1.874      -0.063      -0.131      -3.355      -2.361
1.06.57_125      -0.227       0.560      -0.034      -0.038      -1.915      -1.654
1.06.57_150      -0.042       0.072      -0.013      -0.005      -0.813      -0.801
1.06.57_200      -0.006       0.001      -0.003      -0.000      -0.197      -0.205
1.06.58_080      -6.693      18.677      -0.601      -1.101     -10.816      -0.533
1.06.58_085      -4.746      13.059      -0.426      -0.807      -8.856      -1.775
1.06.58_090      -3.370       9.088      -0.311      -0.578      -7.261      -2.432
1.06.58_095      -2.402       6.297      -0.233      -0.406      -5.964      -2.708
1.06.58_100      -1.721       4.345      -0.178      -0.281      -4.908      -2.744
1.06.58_105      -1.243       2.987      -0.139      -0.193      -4.048      -2.635
1.06.58_110      -0.906       2.046      -0.109      -0.131      -3.347      -2.447
1.06.58_125      -0.378       0.645      -0.056      -0.040      -1.923      -1.751
1.06.58_150      -0.125       0.089      -0.020      -0.005      -0.817      -0.878
1.06.58_200      -0.033       0.002      -0.004      -0.000      -0.195      -0.230
1.06.63_080      -6.000      16.124      -0.386      -1.226      -8.377       0.134
1.06.63_085      -4.026      10.703      -0.264      -0.862      -6.700      -1.149
1.06.63_090      -2.717       7.066      -0.194      -0.585      -5.371      -1.801
1.06.63_095      -1.851       4.644      -0.150      -0.388      -4.316      -2.061
1.06.63_100      -1.278       3.040      -0.119      -0.254      -3.476      -2.088
1.06.63_105      -0.899       1.983      -0.096      -0.164      -2.808      -1.985
1.06.63_110      -0.648       1.289      -0.079      -0.106      -2.274      -1.817
1.06.63_125      -0.291       0.348      -0.044      -0.028      -1.233      -1.247
1.06.63_150      -0.134       0.038      -0.017      -0.003      -0.483      -0.599
1.06.63_200      -0.057       0.000      -0.003      -0.000      -0.102      -0.162
1.06.64_080      -4.068      11.298      -1.004      -1.378      -4.691       0.157
1.06.64_085      -2.985       7.504      -0.701      -0.964      -3.745      -0.890
1.06.64_090      -2.236       4.957      -0.506      -0.657      -3.002      -1.445
1.06.64_095      -1.716       3.259      -0.375      -0.441      -2.417      -1.690
1.06.64_100      -1.350       2.134      -0.284      -0.293      -1.953      -1.746
1.06.64_105      -1.088       1.392      -0.218      -0.194      -1.584      -1.693
1.06.64_110      -0.898       0.905      -0.170      -0.128      -1.291      -1.582
1.06.64_125      -0.565       0.244      -0.084      -0.037      -0.718      -1.160
1.06.64_150      -0.324       0.026      -0.031      -0.005      -0.298      -0.632
1.06.64_200      -0.139       0.000      -0.006      -0.000      -0.072      -0.217
1.07.04_080      -8.312      23.568      -0.620      -0.998     -12.363       1.275
1.07.04_085      -5.424      15.228      -0.356      -0.699      -9.775      -1.026
1.07.04_090      -3.549       9.788      -0.216      -0.463      -7.757      -2.197
1.07.04_095      -2.333       6.259      -0.137      -0.297      -6.174      -2.681
1.07.04_100      -1.546       3.987      -0.090      -0.186      -4.934      -2.769
1.07.04_105      -1.035       2.529      -0.060      -0.115      -3.958      -2.639
1.07.04_110      -0.703       1.600      -0.041      -0.070      -3.189      -2.404
1.07.04_125      -0.246       0.397      -0.014      -0.016      -1.714      -1.592
1.07.04_150      -0.065       0.037      -0.003      -0.001      -0.676      -0.708
1.07.04_200      -0.012       0.000      -0.000      -0.000      -0.151      -0.163
1.07.06_080      -8.495      19.180      -1.069      -1.668      -7.876       0.071
1.07.06_085      -6.094      12.840      -0.751      -1.190      -6.279      -1.474
1.07.06_090      -4.429       8.547      -0.543      -0.819      -5.021      -2.265
1.07.06_095      -3.269       5.660      -0.400      -0.551      -4.028      -2.587
1.07.06_100      -2.454       3.731      -0.298      -0.365      -3.241      -2.626
1.07.06_105      -1.877       2.450      -0.223      -0.239      -2.616      -2.506
1.07.06_110      -1.462       1.602      -0.168      -0.156      -2.119      -2.303
1.07.06_125      -0.768       0.440      -0.074      -0.042      -1.153      -1.597
1.07.06_150      -0.338       0.048      -0.021      -0.005      -0.458      -0.773
1.07.06_200      -0.099       0.001      -0.002      -0.000      -0.103      -0.204
1.07.13_080      -7.420      18.606      -0.681      -1.046      -9.153       0.306
1.07.13_085      -5.137      12.098      -0.448      -0.777      -7.307      -1.571
1.07.13_090      -3.627       7.815      -0.314      -0.541      -5.843      -2.510
1.07.13_095      -2.624       5.020      -0.231      -0.363      -4.680      -2.879
1.07.13_100      -1.954       3.209      -0.175      -0.239      -3.757      -2.916
1.07.13_105      -1.499       2.041      -0.136      -0.155      -3.022      -2.771
1.07.13_110      -1.187       1.294      -0.108      -0.100      -2.437      -2.538
1.07.13_125      -0.692       0.322      -0.057      -0.027      -1.307      -1.761
1.07.13_150      -0.388       0.030      -0.023      -0.004      -0.506      -0.891
1.07.13_200      -0.171       0.000      -0.005      -0.000      -0.106      -0.282
1.07.16_080      -5.274      14.414      -0.752      -0.934      -7.712      -0.258
1.07.16_085      -3.777      10.017      -0.550      -0.659      -6.347      -1.316
1.07.16_090      -2.721       6.952      -0.414      -0.458      -5.238      -1.878
1.07.16_095      -1.975       4.821      -0.319      -0.316      -4.332      -2.121
1.07.16_100      -1.446       3.341      -0.250      -0.217      -3.592      -2.164
1.07.16_105      -1.071       2.316      -0.200      -0.149      -2.986      -2.090
1.07.16_110      -0.802       1.605      -0.162      -0.102      -2.490      -1.952
1.07.16_125      -0.366       0.534      -0.092      -0.033      -1.467      -1.425
1.07.16_150      -0.130       0.085      -0.042      -0.005      -0.649      -0.742
1.07.16_200      -0.035       0.002      -0.012      -0.000      -0.164      -0.208
1.07.21_080      -3.603       9.916      -0.563      -0.621      -5.107       0.023
1.07.21_085      -2.511       6.659      -0.403      -0.418      -4.099      -0.773
