# Interaction energies and their componets in kcal/mol
# Prefix corr_ denotes the correlation enegy term only
# Suffixes _os and _ss denote the other-spin and same-spin components of the correlation energy
system	HF/aDZ	HF/aTZ	HF/haTZ	HF/aQZ	HF/a5Z	corr_MP2/aDZ	corr_MP2/aTZ	corr_MP2/haTZ	corr_MP2/aQZ	corr_MP2/a5Z	corr_MP2/CBS(aTQZ)	corr_MP2/CBS(aQ5Z)	corr_MP2_os/aDZ	corr_MP2_ss/aDZ	corr_MP2_os/aTZ	corr_MP2_ss/aTZ	corr_MP2_os/haTZ	corr_MP2_ss/haTZ	corr_MP2_os/aQZ	corr_MP2_ss/aQZ	corr_MP2_os/a5Z	corr_MP2_ss/a5Z	corr_MP2_os/CBS(aTQZ)	corr_MP2_ss/CBS(aTQZ)	corr_MP2_os/CBS(aQ5Z)	corr_MP2_ss/CBS(aQ5Z)	corr_CCSD(T)/aDZ	corr_CCSD/aDZ	corr_CCSD(T)/haTZ	corr_CCSD/haTZ
1.02.17_0.85	1.132	1.094	~~~	1.092	~~~	-0.925	-1.068	~~~	-1.101	~~~	-1.125	~~~	-0.454	-0.470	-0.548	-0.520	~~~	~~~	-0.573	-0.528	~~~	~~~	-0.591	-0.534	~~~	~~~	-0.985	-0.868	~~~	~~~
1.02.17_0.90	0.686	0.662	~~~	0.661	~~~	-0.741	-0.843	~~~	-0.866	~~~	-0.884	~~~	-0.365	-0.376	-0.431	-0.412	~~~	~~~	-0.448	-0.418	~~~	~~~	-0.461	-0.422	~~~	~~~	-0.796	-0.700	~~~	~~~
1.02.17_0.95	0.407	0.393	~~~	0.392	~~~	-0.595	-0.667	~~~	-0.684	~~~	-0.696	~~~	-0.294	-0.301	-0.340	-0.327	~~~	~~~	-0.352	-0.332	~~~	~~~	-0.361	-0.335	~~~	~~~	-0.644	-0.566	~~~	~~~
1.02.17_1.00	0.235	0.226	0.229	0.226	0.225	-0.479	-0.530	-0.498	-0.542	-0.545	-0.550	-0.549	-0.237	-0.242	-0.269	-0.261	-0.251	-0.247	-0.277	-0.264	-0.280	-0.265	-0.284	-0.267	-0.284	-0.266	-0.521	-0.457	-0.535	-0.466
1.02.17_1.05	0.130	0.124	~~~	0.124	~~~	-0.387	-0.422	~~~	-0.431	~~~	-0.437	~~~	-0.192	-0.196	-0.213	-0.209	~~~	~~~	-0.219	-0.212	~~~	~~~	-0.224	-0.213	~~~	~~~	-0.422	-0.370	~~~	~~~
1.02.17_1.10	0.068	0.063	~~~	0.063	~~~	-0.314	-0.338	~~~	-0.344	~~~	-0.349	~~~	-0.155	-0.159	-0.170	-0.168	~~~	~~~	-0.174	-0.170	~~~	~~~	-0.178	-0.172	~~~	~~~	-0.343	-0.300	~~~	~~~
1.02.17_1.25	-0.002	-0.005	~~~	-0.005	~~~	-0.171	-0.180	~~~	-0.182	~~~	-0.184	~~~	-0.084	-0.087	-0.089	-0.090	~~~	~~~	-0.091	-0.091	~~~	~~~	-0.092	-0.092	~~~	~~~	-0.187	-0.163	~~~	~~~
1.02.17_1.50	-0.012	-0.013	~~~	-0.013	~~~	-0.068	-0.070	~~~	-0.071	~~~	-0.071	~~~	-0.033	-0.035	-0.034	-0.036	~~~	~~~	-0.035	-0.036	~~~	~~~	-0.035	-0.036	~~~	~~~	-0.074	-0.065	~~~	~~~
1.02.17_2.00	-0.004	-0.004	~~~	-0.004	~~~	-0.016	-0.016	~~~	-0.016	~~~	-0.016	~~~	-0.008	-0.008	-0.008	-0.008	~~~	~~~	-0.008	-0.008	~~~	~~~	-0.008	-0.008	~~~	~~~	-0.017	-0.014	~~~	~~~
1.02.18_0.80	2.567	2.520	2.525	2.513	2.513	-1.726	-2.042	-1.960	-2.125	-2.154	-2.185	-2.184	-0.862	-0.863	-1.064	-0.978	-1.016	-0.944	-1.124	-1.001	-1.146	-1.008	-1.167	-1.018	-1.170	-1.014	-1.538	-1.344	-1.766	-1.534
1.02.18_0.85	1.560	1.534	~~~	1.528	~~~	-1.359	-1.590	~~~	-1.651	~~~	-1.696	~~~	-0.677	-0.682	-0.822	-0.767	~~~	~~~	-0.866	-0.785	~~~	~~~	-0.898	-0.798	~~~	~~~	-1.223	-1.066	~~~	~~~
1.02.18_0.90	0.922	0.908	~~~	0.904	~~~	-1.070	-1.238	~~~	-1.283	~~~	-1.316	~~~	-0.531	-0.539	-0.636	-0.602	~~~	~~~	-0.667	-0.616	~~~	~~~	-0.690	-0.626	~~~	~~~	-0.971	-0.845	~~~	~~~
1.02.18_0.95	0.523	0.517	~~~	0.513	~~~	-0.844	-0.964	~~~	-0.998	~~~	-1.022	~~~	-0.417	-0.427	-0.491	-0.473	~~~	~~~	-0.514	-0.484	~~~	~~~	-0.531	-0.491	~~~	~~~	-0.770	-0.669	~~~	~~~
1.02.18_1.00	0.279	0.275	0.276	0.273	0.273	-0.666	-0.753	-0.701	-0.778	-0.786	-0.796	-0.796	-0.328	-0.338	-0.381	-0.372	-0.352	-0.350	-0.398	-0.380	-0.404	-0.383	-0.410	-0.386	-0.410	-0.385	-0.611	-0.530	-0.640	-0.551
1.02.18_1.05	0.132	0.129	~~~	0.127	~~~	-0.526	-0.589	~~~	-0.608	~~~	-0.621	~~~	-0.258	-0.269	-0.296	-0.294	~~~	~~~	-0.308	-0.300	~~~	~~~	-0.317	-0.305	~~~	~~~	-0.485	-0.420	~~~	~~~
1.02.18_1.10	0.045	0.042	~~~	0.042	~~~	-0.417	-0.463	~~~	-0.477	~~~	-0.487	~~~	-0.203	-0.214	-0.230	-0.233	~~~	~~~	-0.240	-0.238	~~~	~~~	-0.246	-0.241	~~~	~~~	-0.386	-0.333	~~~	~~~
1.02.18_1.25	-0.044	-0.047	~~~	-0.046	~~~	-0.213	-0.231	~~~	-0.237	~~~	-0.242	~~~	-0.101	-0.111	-0.112	-0.119	~~~	~~~	-0.116	-0.121	~~~	~~~	-0.119	-0.123	~~~	~~~	-0.197	-0.169	~~~	~~~
1.02.18_1.50	-0.039	-0.042	~~~	-0.041	~~~	-0.076	-0.082	~~~	-0.083	~~~	-0.084	~~~	-0.035	-0.041	-0.038	-0.043	~~~	~~~	-0.039	-0.044	~~~	~~~	-0.040	-0.044	~~~	~~~	-0.070	-0.060	~~~	~~~
1.02.18_2.00	-0.013	-0.014	~~~	-0.014	~~~	-0.014	-0.015	~~~	-0.015	~~~	-0.016	~~~	-0.006	-0.008	-0.007	-0.008	~~~	~~~	-0.007	-0.008	~~~	~~~	-0.007	-0.008	~~~	~~~	-0.013	-0.011	~~~	~~~
1.03.01_0.80	4.194	4.197	4.202	4.184	4.183	-3.238	-3.726	-3.631	-3.867	-3.920	-3.970	-3.976	-1.529	-1.709	-1.832	-1.894	-1.774	-1.857	-1.932	-1.935	-1.972	-1.948	-2.005	-1.965	-2.015	-1.961	-2.949	-2.577	-3.323	-2.890
1.03.01_0.85	2.523	2.539	~~~	2.530	~~~	-2.560	-2.929	~~~	-3.033	~~~	-3.109	~~~	-1.215	-1.345	-1.440	-1.489	~~~	~~~	-1.513	-1.520	~~~	~~~	-1.566	-1.543	~~~	~~~	-2.355	-2.055	~~~	~~~
1.03.01_0.90	1.476	1.493	~~~	1.488	~~~	-2.021	-2.301	~~~	-2.377	~~~	-2.433	~~~	-0.964	-1.057	-1.131	-1.170	~~~	~~~	-1.184	-1.194	~~~	~~~	-1.222	-1.211	~~~	~~~	-1.875	-1.634	~~~	~~~
1.03.01_0.95	0.832	0.844	~~~	0.842	~~~	-1.595	-1.808	~~~	-1.864	~~~	-1.904	~~~	-0.764	-0.831	-0.889	-0.919	~~~	~~~	-0.926	-0.937	~~~	~~~	-0.954	-0.950	~~~	~~~	-1.490	-1.298	~~~	~~~
1.03.01_1.00	0.443	0.450	0.451	0.449	0.449	-1.260	-1.422	-1.361	-1.462	-1.477	-1.492	-1.493	-0.606	-0.654	-0.699	-0.723	-0.664	-0.697	-0.726	-0.737	-0.736	-0.741	-0.745	-0.746	-0.747	-0.746	-1.184	-1.030	-1.274	-1.101
1.03.01_1.05	0.213	0.214	~~~	0.215	~~~	-0.997	-1.120	~~~	-1.150	~~~	-1.171	~~~	-0.481	-0.516	-0.551	-0.570	~~~	~~~	-0.570	-0.580	~~~	~~~	-0.584	-0.587	~~~	~~~	-0.942	-0.818	~~~	~~~
1.03.01_1.10	0.080	0.079	~~~	0.080	~~~	-0.791	-0.884	~~~	-0.906	~~~	-0.921	~~~	-0.382	-0.409	-0.434	-0.450	~~~	~~~	-0.448	-0.458	~~~	~~~	-0.458	-0.463	~~~	~~~	-0.750	-0.651	~~~	~~~
1.03.01_1.25	-0.050	-0.054	~~~	-0.054	~~~	-0.403	-0.444	~~~	-0.452	~~~	-0.458	~~~	-0.196	-0.207	-0.218	-0.226	~~~	~~~	-0.223	-0.230	~~~	~~~	-0.226	-0.232	~~~	~~~	-0.386	-0.334	~~~	~~~
1.03.01_1.50	-0.044	-0.047	~~~	-0.047	~~~	-0.143	-0.154	~~~	-0.156	~~~	-0.158	~~~	-0.069	-0.074	-0.075	-0.079	~~~	~~~	-0.076	-0.080	~~~	~~~	-0.077	-0.081	~~~	~~~	-0.138	-0.119	~~~	~~~
1.03.01_2.00	-0.014	-0.015	~~~	-0.015	~~~	-0.026	-0.027	~~~	-0.027	~~~	-0.027	~~~	-0.012	-0.014	-0.013	-0.014	~~~	~~~	-0.013	-0.014	~~~	~~~	-0.013	-0.014	~~~	~~~	-0.025	-0.021	~~~	~~~
1.03.03_0.80	1.681	1.674	1.679	1.665	1.664	-0.877	-1.038	-0.999	-1.084	-1.100	-1.117	-1.118	-0.431	-0.446	-0.539	-0.499	-0.516	-0.482	-0.573	-0.511	-0.586	-0.515	-0.597	-0.520	-0.600	-0.518	-0.807	-0.700	-0.932	-0.808
1.03.03_0.85	1.000	0.998	~~~	0.992	~~~	-0.677	-0.788	~~~	-0.821	~~~	-0.844	~~~	-0.336	-0.341	-0.410	-0.378	~~~	~~~	-0.433	-0.388	~~~	~~~	-0.450	-0.394	~~~	~~~	-0.630	-0.547	~~~	~~~
1.03.03_0.90	0.588	0.586	~~~	0.582	~~~	-0.525	-0.601	~~~	-0.623	~~~	-0.640	~~~	-0.262	-0.262	-0.312	-0.288	~~~	~~~	-0.328	-0.295	~~~	~~~	-0.340	-0.300	~~~	~~~	-0.493	-0.428	~~~	~~~
1.03.03_0.95	0.340	0.337	~~~	0.335	~~~	-0.408	-0.460	~~~	-0.476	~~~	-0.487	~~~	-0.206	-0.203	-0.239	-0.221	~~~	~~~	-0.250	-0.226	~~~	~~~	-0.258	-0.229	~~~	~~~	-0.386	-0.335	~~~	~~~
1.03.03_1.00	0.192	0.189	0.190	0.188	0.188	-0.318	-0.354	-0.331	-0.365	-0.368	-0.372	-0.372	-0.161	-0.157	-0.184	-0.170	-0.171	-0.160	-0.191	-0.174	-0.194	-0.175	-0.196	-0.176	-0.197	-0.176	-0.302	-0.263	-0.312	-0.270
1.03.03_1.05	0.105	0.102	~~~	0.102	~~~	-0.249	-0.274	~~~	-0.281	~~~	-0.286	~~~	-0.127	-0.123	-0.142	-0.132	~~~	~~~	-0.147	-0.134	~~~	~~~	-0.150	-0.136	~~~	~~~	-0.237	-0.206	~~~	~~~
1.03.03_1.10	0.054	0.051	~~~	0.052	~~~	-0.196	-0.213	~~~	-0.218	~~~	-0.222	~~~	-0.100	-0.096	-0.111	-0.103	~~~	~~~	-0.114	-0.104	~~~	~~~	-0.116	-0.106	~~~	~~~	-0.187	-0.163	~~~	~~~
1.03.03_1.25	0.000	-0.002	~~~	-0.001	~~~	-0.099	-0.105	~~~	-0.107	~~~	-0.108	~~~	-0.051	-0.048	-0.054	-0.051	~~~	~~~	-0.055	-0.051	~~~	~~~	-0.056	-0.052	~~~	~~~	-0.094	-0.082	~~~	~~~
