# DFT-SAPT benchmark energies with the asymptotically corrected PBE0 potential for SH250x10
# All energy units have been converted to kcal/mol
# The calculations have been performed by E. Masumian and A. D. Boese (reference)

System             Elst        Exch        Ind       deltaHF       Disp       Total    
1.2.01_125      -1.478       0.673      -0.269      -0.101      -1.010      -2.186
1.2.01_150      -0.681       0.054      -0.104      -0.009      -0.342      -1.082
1.2.01_200      -0.243       0.000      -0.024      -0.000      -0.064      -0.331
1.2.02_080     -21.126      39.742      -1.882      -4.604      -9.307       2.823
1.2.02_085     -13.764      24.915      -1.133      -3.071      -7.063      -0.116
1.2.02_090      -9.118      15.518      -0.745      -1.955      -5.408      -1.709
1.2.02_095      -6.163       9.617      -0.525      -1.209      -4.172      -2.452
1.2.02_100      -4.266       5.938      -0.386      -0.734      -3.238      -2.687
1.2.02_105      -3.032       3.656      -0.292      -0.441      -2.526      -2.635
1.2.02_110      -2.216       2.245      -0.223      -0.264      -1.981      -2.438
1.2.02_125      -1.018       0.514      -0.103      -0.056      -0.984      -1.647
1.2.02_150      -0.415       0.043      -0.031      -0.005      -0.349      -0.756
1.2.02_200      -0.126       0.000      -0.004      -0.000      -0.070      -0.201
1.2.03_080      -9.118      21.295      -0.761      -1.842      -7.448       2.126
1.2.03_085      -5.442      12.722      -0.510      -1.124      -5.628       0.017
1.2.03_090      -3.245       7.551      -0.360      -0.661      -4.273      -0.988
1.2.03_095      -1.928       4.457      -0.261      -0.380      -3.257      -1.370
1.2.03_100      -1.137       2.617      -0.192      -0.215      -2.493      -1.420
1.2.03_105      -0.659       1.529      -0.143      -0.120      -1.917      -1.310
1.2.03_110      -0.369       0.889      -0.107      -0.066      -1.481      -1.134
1.2.03_125      -0.017       0.171      -0.048      -0.010      -0.710      -0.615
1.2.03_150       0.074       0.010      -0.015      -0.000      -0.242      -0.173
1.2.03_200       0.054       0.000      -0.003       0.000      -0.047       0.005
1.2.04_080     -11.259      24.824      -0.852      -2.225      -8.170       2.317
1.2.04_085      -6.909      15.034      -0.556      -1.380      -6.229      -0.040
1.2.04_090      -4.271       9.058      -0.389      -0.823      -4.777      -1.201
1.2.04_095      -2.663       5.433      -0.282      -0.478      -3.683      -1.672
1.2.04_100      -1.676       3.246      -0.208      -0.274      -2.854      -1.766
1.2.04_105      -1.066       1.932      -0.155      -0.155      -2.222      -1.667
1.2.04_110      -0.685       1.146      -0.116      -0.087      -1.740      -1.483
1.2.04_125      -0.189       0.235      -0.051      -0.015      -0.866      -0.887
1.2.04_150      -0.011       0.016      -0.015      -0.000      -0.314      -0.325
1.2.04_200       0.023       0.000      -0.003       0.000      -0.067      -0.047
1.2.05_080     -69.608     123.105     -11.662     -20.985     -20.173       0.677
1.2.05_085     -48.115      85.374      -6.912     -16.410     -15.599      -1.662
1.2.05_090     -33.426      58.594      -4.213     -12.065     -12.186      -3.296
1.2.05_095     -23.393      39.898      -2.674      -8.533      -9.607      -4.308
1.2.05_100     -16.526      27.003      -1.777      -5.879      -7.633      -4.813
1.2.05_105     -11.810      18.191      -1.236      -3.978      -6.104      -4.938
1.2.05_110      -8.553      12.209      -0.894      -2.657      -4.907      -4.802
1.2.05_125      -3.573       3.637      -0.392      -0.759      -2.611      -3.698
1.2.05_150      -1.172       0.469      -0.121      -0.090      -0.977      -1.891
1.2.05_200      -0.287       0.007      -0.016      -0.002      -0.191      -0.488
1.2.06_080     -17.832      35.993      -0.994      -3.959     -10.408       2.799
1.2.06_085     -10.966      22.386      -0.598      -2.629      -7.997       0.196
1.2.06_090      -6.716      13.844      -0.409      -1.663      -6.175      -1.119
1.2.06_095      -4.085       8.526      -0.306      -1.020      -4.789      -1.673
1.2.06_100      -2.453       5.234      -0.238      -0.613      -3.727      -1.797
1.2.06_105      -1.441       3.205      -0.189      -0.363      -2.911      -1.700
1.2.06_110      -0.813       1.959      -0.151      -0.213      -2.283      -1.502
1.2.06_125      -0.034       0.443      -0.077      -0.041      -1.135      -0.842
1.2.06_150       0.166       0.037      -0.026      -0.002      -0.398      -0.223
1.2.06_200       0.115       0.000      -0.005       0.000      -0.076       0.035
1.2.07_080     -21.681      41.649      -1.214      -4.786     -11.109       2.859
1.2.07_085     -13.687      26.329      -0.699      -3.269      -8.584       0.090
1.2.07_090      -8.658      16.563      -0.464      -2.120      -6.678      -1.357
1.2.07_095      -5.486      10.382      -0.344      -1.332      -5.223      -2.003
1.2.07_100      -3.480       6.491      -0.270      -0.819      -4.105      -2.183
1.2.07_105      -2.206       4.051      -0.217      -0.497      -3.240      -2.109
1.2.07_110      -1.394       2.524      -0.175      -0.298      -2.568      -1.911
1.2.07_125      -0.320       0.607      -0.091      -0.062      -1.318      -1.185
1.2.07_150       0.041       0.056      -0.031      -0.004      -0.487      -0.425
1.2.07_200       0.071       0.000      -0.005       0.000      -0.102      -0.035
1.2.08_080    -124.061     203.830     -23.225     -35.241     -31.322     -10.020
1.2.08_085     -88.755     148.309     -14.177     -32.567     -24.887     -12.077
1.2.08_090     -63.595     106.708      -8.697     -27.090     -19.912     -12.586
1.2.08_095     -45.719      76.104      -5.429     -21.226     -16.040     -12.310
1.2.08_100     -33.031      53.910      -3.491     -16.009     -13.000     -11.620
1.2.08_105     -24.018      37.991      -2.333     -11.765     -10.592     -10.716
1.2.08_110     -17.602      26.668      -1.626      -8.489      -8.668      -9.718
1.2.08_125      -7.354       9.082      -0.684      -2.986      -4.845      -6.788
1.2.08_150      -2.204       1.475      -0.226      -0.479      -1.933      -3.368
1.2.08_200      -0.459       0.038      -0.032      -0.013      -0.388      -0.854
1.3.01_080     -16.675      32.804      -1.685      -3.668      -8.355       2.421
1.3.01_085     -10.966      20.384      -1.115      -2.329      -6.412      -0.438
1.3.01_090      -7.381      12.634      -0.789      -1.439      -4.958      -1.934
1.3.01_095      -5.103       7.819      -0.585      -0.875      -3.857      -2.601
1.3.01_100      -3.632       4.835      -0.446      -0.528      -3.016      -2.787
1.3.01_105      -2.664       2.989      -0.346      -0.317      -2.371      -2.709
1.3.01_110      -2.014       1.848      -0.271      -0.190      -1.873      -2.501
1.3.01_125      -1.022       0.436      -0.135      -0.042      -0.953      -1.717
1.3.01_150      -0.471       0.039      -0.047      -0.004      -0.349      -0.832
1.3.01_200      -0.170       0.000      -0.009      -0.000      -0.071      -0.250
1.3.02_080     -37.955      74.033      -5.293     -12.471     -14.037       4.277
1.3.02_085     -25.707      48.957      -3.306      -8.550     -10.961       0.433
1.3.02_090     -17.636      32.220      -2.177      -5.698      -8.638      -1.928
1.3.02_095     -12.285      21.144      -1.509      -3.728      -6.855      -3.233
1.3.02_100      -8.707      13.851      -1.092      -2.411      -5.471      -3.829
1.3.02_105      -6.291       9.067      -0.817      -1.548      -4.385      -3.974
1.3.02_110      -4.638       5.932      -0.625      -0.990      -3.528      -3.850
1.3.02_125      -2.105       1.660      -0.304      -0.258      -1.878      -2.885
1.3.02_150      -0.803       0.198      -0.105      -0.029      -0.712      -1.451
1.3.02_200      -0.229       0.003      -0.019      -0.001      -0.144      -0.390
1.3.03_080     -10.287      22.633      -0.942      -2.082      -6.679       2.643
1.3.03_085      -6.413      13.381      -0.568      -1.238      -5.032       0.130
1.3.03_090      -4.093       7.868      -0.364      -0.715      -3.820      -1.124
1.3.03_095      -2.690       4.606      -0.244      -0.407      -2.918      -1.654
1.3.03_100      -1.829       2.686      -0.169      -0.229      -2.244      -1.785
1.3.03_105      -1.290       1.562      -0.120      -0.129      -1.736      -1.713
1.3.03_110      -0.944       0.905      -0.087      -0.072      -1.352      -1.550
1.3.03_125      -0.451       0.174      -0.036      -0.013      -0.669      -0.995
1.3.03_150      -0.196       0.011      -0.010      -0.001      -0.243      -0.440
1.3.03_200      -0.064       0.000      -0.002      -0.000      -0.052      -0.117
1.3.04_080      -6.509      16.197      -0.484      -1.070      -6.402       1.731
1.3.04_085      -3.947       9.619      -0.304      -0.648      -4.856      -0.137
1.3.04_090      -2.428       5.699      -0.201      -0.382      -3.706      -1.017
1.3.04_095      -1.519       3.369      -0.137      -0.222      -2.843      -1.352
1.3.04_100      -0.968       1.986      -0.097      -0.127      -2.195      -1.400
1.3.04_105      -0.630       1.169      -0.069      -0.073      -1.705      -1.308
1.3.04_110      -0.420       0.686      -0.050      -0.041      -1.333      -1.159
1.3.04_125      -0.141       0.137      -0.021      -0.007      -0.667      -0.699
1.3.04_150      -0.028       0.009      -0.007      -0.000      -0.245      -0.272
1.3.04_200       0.007       0.000      -0.001       0.000      -0.053      -0.048
1.3.05_080     -18.334      39.314      -2.278      -5.536      -9.506       3.661
1.3.05_085     -11.719      24.255      -1.347      -3.474      -7.252       0.464
1.3.05_090      -7.609      14.870      -0.835      -2.125      -5.576      -1.275
1.3.05_095      -5.039       9.072      -0.541      -1.279      -4.315      -2.102
1.3.05_100      -3.417       5.512      -0.363      -0.762      -3.357      -2.387
1.3.05_105      -2.381       3.339      -0.251      -0.451      -2.625      -2.370
1.3.05_110      -1.708       2.016      -0.177      -0.267      -2.064      -2.200
1.3.05_125      -0.751       0.438      -0.069      -0.055      -1.039      -1.476
1.3.05_150      -0.293       0.033      -0.019      -0.005      -0.378      -0.661
1.3.05_200      -0.083       0.000      -0.003      -0.000      -0.079      -0.165
1.3.06_080      -9.964      21.032      -0.907      -2.092      -6.256       1.813
1.3.06_085      -6.335      12.503      -0.595      -1.255      -4.715      -0.397
1.3.06_090      -4.157       7.402      -0.422      -0.736      -3.578      -1.492
1.3.06_095      -2.835       4.368      -0.316      -0.427      -2.730      -1.940
1.3.06_100      -2.019       2.571      -0.245      -0.246      -2.095      -2.034
1.3.06_105      -1.504       1.510      -0.194      -0.142      -1.616      -1.946
1.3.06_110      -1.170       0.886      -0.156      -0.082      -1.254      -1.777
1.3.06_125      -0.675       0.177      -0.086      -0.017      -0.612      -1.212
1.3.06_150      -0.380       0.012      -0.036      -0.002      -0.216      -0.622
1.3.06_200      -0.173       0.000      -0.009      -0.000      -0.043      -0.225
1.3.07_080     -20.045      42.148      -2.548      -6.437      -9.536       3.583
1.3.07_085     -12.958      26.336      -1.563      -4.086      -7.287       0.442
1.3.07_090      -8.520      16.361      -1.021      -2.538      -5.612      -1.329
1.3.07_095      -5.724      10.121      -0.706      -1.555      -4.348      -2.212
1.3.07_100      -3.948       6.240      -0.511      -0.945      -3.385      -2.550
1.3.07_105      -2.807       3.837      -0.383      -0.572      -2.647      -2.573
1.3.07_110      -2.062       2.354      -0.295      -0.346      -2.080      -2.428
1.3.07_125      -0.993       0.539      -0.150      -0.077      -1.039      -1.720
1.3.07_150      -0.462       0.045      -0.060      -0.007      -0.369      -0.854
1.3.07_200      -0.177       0.000      -0.015      -0.000      -0.073      -0.265
1.3.08_080     -21.932      43.787      -2.301      -6.476     -11.254       1.825
1.3.08_085     -14.319      27.414      -1.457      -4.297      -8.731      -1.391
1.3.08_090      -9.517      17.074      -0.990      -2.755      -6.824      -3.013
1.3.08_095      -6.466      10.594      -0.711      -1.729      -5.364      -3.676
1.3.08_100      -4.508       6.556      -0.530      -1.072      -4.238      -3.792
1.3.08_105      -3.236       4.048      -0.406      -0.660      -3.363      -3.617
1.3.08_110      -2.396       2.495      -0.315      -0.405      -2.681      -3.303
1.3.08_125      -1.164       0.579      -0.157      -0.095      -1.401      -2.238
1.3.08_150      -0.535       0.050      -0.057      -0.010      -0.533      -1.084
1.3.08_200      -0.202       0.000      -0.011      -0.000      -0.115      -0.328
1.3.09_080      -4.624      14.375      -0.990      -1.589      -5.401       1.770
1.3.09_085      -2.435       8.244      -0.746      -0.886      -4.074       0.104
1.3.09_090      -1.193       4.710      -0.586      -0.484      -3.100      -0.652
1.3.09_095      -0.489       2.682      -0.472      -0.259      -2.378      -0.916
1.3.09_100      -0.092       1.523      -0.385      -0.136      -1.838      -0.928
1.3.09_105       0.130       0.862      -0.317      -0.069      -1.432      -0.826
1.3.09_110       0.253       0.487      -0.263      -0.034      -1.125      -0.681
1.3.09_125       0.363       0.087      -0.154      -0.001      -0.576      -0.281
1.3.09_150       0.328       0.005      -0.069       0.002      -0.225       0.041
1.3.09_200       0.213       0.000      -0.018       0.000      -0.055       0.141
1.3.10_080     -56.452     110.703      -9.292     -24.452     -19.333       1.173
1.3.10_085     -38.639      74.955      -5.720     -18.083     -15.143      -2.632
1.3.10_090     -26.648      50.353      -3.668     -12.848     -11.984      -4.796
1.3.10_095     -18.567      33.631      -2.462      -8.894      -9.566      -5.859
1.3.10_100     -13.104      22.370      -1.728      -6.050      -7.687      -6.199
1.3.10_105      -9.391      14.837      -1.261      -4.067      -6.210      -6.092
1.3.10_110      -6.848       9.821      -0.950      -2.712      -5.038      -5.727
1.3.10_125      -2.988       2.827      -0.457      -0.787      -2.750      -4.156
1.3.10_150      -1.105       0.351      -0.164      -0.101      -1.082      -2.102
1.3.10_200      -0.333       0.005      -0.032      -0.003      -0.232      -0.594
1.4.01_080     -24.088      47.816      -1.728      -6.298     -12.761       2.940
1.4.01_085     -15.168      29.642      -0.857      -4.434      -9.660      -0.478
1.4.01_090      -9.646      18.197      -0.491      -2.906      -7.357      -2.203
1.4.01_095      -6.220      11.084      -0.324      -1.826      -5.629      -2.914
1.4.01_100      -4.083       6.707      -0.234      -1.118      -4.323      -3.050
1.4.01_105      -2.740       4.036      -0.176      -0.673      -3.332      -2.885
1.4.01_110      -1.886       2.417      -0.135      -0.401      -2.578      -2.583
1.4.01_125      -0.731       0.506      -0.060      -0.082      -1.227      -1.594
1.4.01_150      -0.247       0.035      -0.016      -0.006      -0.403      -0.637
1.4.01_200      -0.063       0.000      -0.002      -0.000      -0.071      -0.135
1.4.02_080     -14.116      31.495      -0.737      -3.163     -11.048       2.431
1.4.02_085      -8.460      18.942      -0.442      -2.040      -8.344      -0.344
1.4.02_090      -5.079      11.281      -0.300      -1.243      -6.315      -1.655
1.4.02_095      -3.060       6.661      -0.217      -0.732      -4.786      -2.134
1.4.02_100      -1.853       3.900      -0.161      -0.421      -3.635      -2.169
1.4.02_105      -1.129       2.267      -0.120      -0.239      -2.768      -1.989
1.4.02_110      -0.694       1.308      -0.090      -0.134      -2.115      -1.725
1.4.02_125      -0.170       0.242      -0.039      -0.023      -0.973      -0.963
1.4.02_150      -0.014       0.013      -0.013      -0.001      -0.306      -0.321
1.4.02_200       0.008       0.000      -0.002       0.000      -0.051      -0.045
1.4.03_080    -109.862     188.328     -26.455     -27.451     -31.300      -6.740
1.4.03_085     -76.343     134.352     -14.731     -28.083     -24.182      -8.986
1.4.03_090     -53.031      94.460      -8.186     -24.145     -18.828      -9.731
1.4.03_095     -36.904      65.647      -4.616     -19.039     -14.777      -9.688
1.4.03_100     -25.779      45.211      -2.691     -14.258     -11.684      -9.202
1.4.03_105     -18.111      30.913      -1.650     -10.325      -9.299      -8.471
1.4.03_110     -12.821      21.020      -1.074      -7.305      -7.441      -7.622
1.4.03_125      -4.851       6.455      -0.405      -2.387      -3.903      -5.092
1.4.03_150      -1.293       0.861      -0.121      -0.331      -1.413      -2.297
1.4.03_200      -0.252       0.014      -0.015      -0.006      -0.248      -0.507
1.4.04_080     -19.713      38.059      -1.227      -4.996     -10.055       2.068
1.4.04_085     -12.606      23.798      -0.624      -3.486      -7.618      -0.537
1.4.04_090      -8.176      14.799      -0.375      -2.285      -5.818      -1.855
1.4.04_095      -5.393       9.164      -0.262      -1.444      -4.470      -2.404
1.4.04_100      -3.628       5.654      -0.199      -0.892      -3.451      -2.517
1.4.04_105      -2.496       3.476      -0.158      -0.543      -2.675      -2.396
1.4.04_110      -1.761       2.130      -0.126      -0.328      -2.081      -2.167
1.4.04_125      -0.727       0.481      -0.063      -0.071      -1.007      -1.387
1.4.04_150      -0.266       0.038      -0.020      -0.006      -0.338      -0.592
1.4.04_200      -0.080       0.000      -0.003      -0.000      -0.061      -0.144
1.4.05_080    -103.063     178.534     -24.983     -27.425     -30.003      -6.939
1.4.05_085     -71.957     128.101     -13.932     -27.037     -23.222      -8.049
1.4.05_090     -50.307      90.746      -7.776     -22.885     -18.157      -8.378
1.4.05_095     -35.288      63.663      -4.416     -17.919     -14.337      -8.296
1.4.05_100     -24.879      44.341      -2.598     -13.391     -11.419      -7.946
1.4.05_105     -17.657      30.716      -1.610      -9.706      -9.162      -7.418
1.4.05_110     -12.633      21.192      -1.060      -6.889      -7.393      -6.783
1.4.05_125      -4.922       6.845      -0.414      -2.290      -3.982      -4.763
1.4.05_150      -1.333       1.002      -0.132      -0.331      -1.503      -2.298
1.4.05_200      -0.254       0.019      -0.019      -0.007      -0.274      -0.534
1.5.01_080      -4.291      12.023      -0.620      -0.967      -3.993       2.151
1.5.01_085      -2.403       6.678      -0.348      -0.509      -2.903       0.515
1.5.01_090      -1.358       3.687      -0.200      -0.264      -2.123      -0.257
1.5.01_095      -0.779       2.026      -0.117      -0.136      -1.562      -0.568
1.5.01_100      -0.456       1.109      -0.070      -0.070      -1.158      -0.645
1.5.01_105      -0.276       0.605      -0.043      -0.036      -0.865      -0.615
1.5.01_110      -0.173       0.329      -0.027      -0.018      -0.652      -0.542
1.5.01_125      -0.056       0.052      -0.008      -0.003      -0.298      -0.312
1.5.01_150      -0.017       0.002      -0.001      -0.000      -0.098      -0.114
1.5.01_200      -0.005       0.000      -0.000      -0.000      -0.018      -0.023
1.6.01_080     -13.648      33.386      -1.770      -5.409      -9.349       3.210
1.6.01_085      -7.966      19.628      -0.941      -3.312      -6.908       0.500
1.6.01_090      -4.663      11.427      -0.535      -1.952      -5.143      -0.866
1.6.01_095      -2.747       6.600      -0.320      -1.123      -3.851      -1.441
1.6.01_100      -1.635       3.787      -0.199      -0.636      -2.899      -1.582
1.6.01_105      -0.988       2.161      -0.128      -0.357      -2.193      -1.504
1.6.01_110      -0.610       1.227      -0.083      -0.199      -1.668      -1.333
1.6.01_125      -0.174       0.220      -0.025      -0.034      -0.766      -0.779
1.6.01_150      -0.048       0.012      -0.005      -0.002      -0.249      -0.292
1.6.01_200      -0.013       0.000      -0.000      -0.000      -0.045      -0.059
1.7.01_080     -18.817      41.589      -2.644      -5.494     -11.376       3.258
1.7.01_085     -11.167      25.075      -1.344      -3.806      -8.440       0.318
1.7.01_090      -6.642      14.958      -0.734      -2.444      -6.316      -1.178
1.7.01_095      -3.970       8.846      -0.430      -1.501      -4.761      -1.816
1.7.01_100      -2.393       5.195      -0.265      -0.898      -3.610      -1.972
1.7.01_105      -1.462       3.033      -0.170      -0.528      -2.752      -1.879
1.7.01_110      -0.909       1.761      -0.112      -0.307      -2.108      -1.675
1.7.01_125      -0.259       0.336      -0.036      -0.058      -0.981      -0.998
1.7.01_150      -0.068       0.020      -0.007      -0.004      -0.319      -0.378
1.7.01_200      -0.019       0.000      -0.001       0.000      -0.057      -0.077
1.8.01_080     -30.474      63.511      -5.595      -7.387     -15.308       4.748
1.8.01_085     -18.540      39.708      -2.661      -6.254     -11.404       0.849
1.8.01_090     -11.276      24.510      -1.337      -4.523      -8.577      -1.203
1.8.01_095      -6.871      14.979      -0.722      -3.026      -6.502      -2.144
1.8.01_100      -4.205       9.081      -0.421      -1.936      -4.963      -2.444
1.8.01_105      -2.593       5.469      -0.261      -1.204      -3.809      -2.398
1.8.01_110      -1.616       3.276      -0.170      -0.736      -2.937      -2.183
1.8.01_125      -0.437       0.686      -0.056      -0.158      -1.388      -1.353
1.8.01_150      -0.093       0.047      -0.012      -0.011      -0.452      -0.520
1.8.01_200      -0.023       0.000      -0.001      -0.000      -0.080      -0.104
2.1.01_080     -27.870      51.954      -4.740      -2.399     -16.949      -0.005
2.1.01_085     -17.917      33.319      -2.726      -2.594     -13.107      -3.024
2.1.01_090     -11.581      21.157      -1.646      -2.149     -10.201      -4.420
2.1.01_095      -7.555      13.325      -1.045      -1.592      -7.978      -4.846
2.1.01_100      -4.995       8.335      -0.693      -1.111      -6.265      -4.729
2.1.01_105      -3.364       5.184      -0.476      -0.747      -4.937      -4.340
2.1.01_110      -2.318       3.208      -0.336      -0.492      -3.903      -3.841
2.1.01_125      -0.906       0.740      -0.132      -0.131      -1.975      -2.404
2.1.01_150      -0.336       0.060      -0.036      -0.014      -0.701      -1.027
2.1.01_200      -0.106       0.000      -0.005       0.000      -0.132      -0.242
2.1.02_080     -13.474      27.298      -1.518       0.100     -11.920       0.485
2.1.02_085      -8.327      16.541      -0.897      -0.245      -9.129      -2.058
2.1.02_090      -5.231       9.932      -0.571      -0.269      -7.021      -3.160
2.1.02_095      -3.366       5.918      -0.385      -0.210      -5.417      -3.461
2.1.02_100      -2.238       3.502      -0.270      -0.146      -4.193      -3.345
2.1.02_105      -1.549       2.060      -0.195      -0.096      -3.258      -3.039
2.1.02_110      -1.121       1.205      -0.144      -0.062      -2.542      -2.665
2.1.02_125      -0.550       0.234      -0.064      -0.017      -1.248      -1.644
2.1.02_150      -0.274       0.014      -0.020      -0.002      -0.432      -0.714
2.1.02_200      -0.100       0.000      -0.003      -0.000      -0.080      -0.184
2.1.03_080      -9.821      21.373      -0.830       0.711     -10.402       1.031
2.1.03_085      -5.648      12.697      -0.465       0.258      -7.928      -1.086
2.1.03_090      -3.206       7.478      -0.283       0.100      -6.066      -1.977
2.1.03_095      -1.785       4.372      -0.185       0.045      -4.657      -2.211
2.1.03_100      -0.964       2.539      -0.128       0.025      -3.588      -2.116
2.1.03_105      -0.493       1.466      -0.092       0.016      -2.775      -1.878
2.1.03_110      -0.224       0.842      -0.068       0.011      -2.158      -1.597
2.1.03_125       0.057       0.155      -0.032       0.005      -1.050      -0.865
2.1.03_150       0.094       0.009      -0.012       0.001      -0.361      -0.269
2.1.03_200       0.058       0.000      -0.002       0.000      -0.067      -0.011
2.2.01_080     -85.857     116.146     -19.643       5.189     -22.586      -6.750
2.2.01_085     -59.290      80.587     -11.751      -0.661     -17.618      -8.734
2.2.01_090     -41.166      55.273      -7.182      -2.517     -13.846      -9.438
2.2.01_095     -28.801      37.572      -4.532      -2.692     -10.961      -9.413
2.2.01_100     -20.347      25.361      -2.970      -2.274      -8.734      -8.964
2.2.01_105     -14.545      17.026      -2.022      -1.736      -7.000      -8.277
2.2.01_110     -10.541      11.381      -1.426      -1.253      -5.637      -7.476
2.2.01_125      -4.419       3.337      -0.580      -0.402      -3.010      -5.075
2.2.01_150      -1.463       0.415      -0.165      -0.054      -1.132      -2.398
2.2.01_200      -0.363       0.006      -0.021      -0.002      -0.221      -0.600
2.2.02_080     -22.272      34.029      -2.465       1.695     -10.027       0.961
2.2.02_085     -14.101      21.173      -1.430       0.663      -7.653      -1.347
2.2.02_090      -9.006      13.089      -0.901       0.271      -5.890      -2.437
2.2.02_095      -5.814       8.053      -0.609       0.124      -4.564      -2.809
2.2.02_100      -3.800       4.937      -0.432       0.066      -3.557      -2.787
2.2.02_105      -2.520       3.016      -0.317       0.041      -2.787      -2.566
2.2.02_110      -1.696       1.838      -0.237       0.028      -2.194      -2.262
2.2.02_125      -0.569       0.410      -0.105       0.010      -1.107      -1.361
2.2.02_150      -0.113       0.032      -0.031       0.002      -0.403      -0.513
2.2.02_200       0.013       0.000      -0.005       0.001      -0.085      -0.076
2.2.03_080     -34.811      50.051      -5.020       2.432     -12.429       0.223
2.2.03_085     -22.985      32.125      -2.905       0.670      -9.488      -2.584
2.2.03_090     -15.387      20.442      -1.793       0.060      -7.308      -3.985
2.2.03_095     -10.479      12.924      -1.178      -0.107      -5.670      -4.510
2.2.03_100      -7.282       8.131      -0.816      -0.122      -4.426      -4.516
2.2.03_105      -5.178       5.096      -0.588      -0.097      -3.473      -4.239
2.2.03_110      -3.774       3.184      -0.435      -0.068      -2.737      -3.830
2.2.03_125      -1.700       0.765      -0.191      -0.020      -1.377      -2.523
2.2.03_150      -0.671       0.069      -0.056      -0.004      -0.488      -1.150
2.2.03_200      -0.200       0.001      -0.008      -0.000      -0.096      -0.303
2.2.04_080     -18.144      30.008      -1.927       0.834      -9.674       1.097
2.2.04_085     -11.275      18.365      -1.142       0.229      -7.363      -1.186
2.2.04_090      -7.052      11.159      -0.730       0.044      -5.640      -2.219
2.2.04_095      -4.446       6.742      -0.494      -0.002      -4.342      -2.541
2.2.04_100      -2.827       4.054      -0.347      -0.006      -3.358      -2.485
2.2.04_105      -1.814       2.427      -0.250      -0.003      -2.608      -2.248
2.2.04_110      -1.174       1.448      -0.183       0.001      -2.034      -1.943
2.2.04_125      -0.327       0.302      -0.077       0.003      -0.995      -1.094
2.2.04_150      -0.013       0.021      -0.022       0.001      -0.345      -0.358
2.2.04_200       0.045       0.000      -0.004       0.000      -0.067      -0.025
2.2.05_080    -132.391     170.513     -31.436      12.745     -31.517     -12.086
2.2.05_085     -93.689     122.205     -19.183      -0.268     -25.215     -16.150
2.2.05_090     -66.490      86.591     -11.802      -5.298     -20.270     -17.269
2.2.05_095     -47.404      60.799      -7.404      -6.464     -16.372     -16.844
2.2.05_100     -34.007      42.386      -4.783      -5.966     -13.283     -15.653
2.2.05_105     -24.585      29.384      -3.201      -4.906     -10.819     -14.126
2.2.05_110     -17.938      20.283      -2.223      -3.789      -8.841     -12.508
2.2.05_125      -7.463       6.552      -0.897      -1.452      -4.899      -8.159
2.2.05_150      -2.281       0.965      -0.269      -0.236      -1.923      -3.744
2.2.05_200      -0.500       0.020      -0.035      -0.006      -0.381      -0.903
2.2.06_080     -36.690      53.410      -3.836       3.185     -14.885       1.185
2.2.06_085     -23.819      34.400      -2.104       1.130     -11.587      -1.980
2.2.06_090     -15.549      22.003      -1.250       0.360      -9.072      -3.509
2.2.06_095     -10.221      14.003      -0.810       0.100      -7.136      -4.064
2.2.06_100      -6.774       8.878      -0.564       0.026      -5.635      -4.070
