# Interaction energies and their componets in kcal/mol
# Prefix corr_ denotes the correlation enegy term only
# Suffixes _os and _ss denote the other-spin and same-spin components of the correlation energy
system	HF/aDZ	HF/aTZ	HF/haTZ	HF/aQZ	HF/a5Z	corr_MP2/aDZ	corr_MP2/aTZ	corr_MP2/haTZ	corr_MP2/aQZ	corr_MP2/a5Z	corr_MP2/CBS(aTQZ)	corr_MP2/CBS(aQ5Z)	corr_MP2_os/aDZ	corr_MP2_ss/aDZ	corr_MP2_os/aTZ	corr_MP2_ss/aTZ	corr_MP2_os/haTZ	corr_MP2_ss/haTZ	corr_MP2_os/aQZ	corr_MP2_ss/aQZ	corr_MP2_os/a5Z	corr_MP2_ss/a5Z	corr_MP2_os/CBS(aTQZ)	corr_MP2_ss/CBS(aTQZ)	corr_MP2_os/CBS(aQ5Z)	corr_MP2_ss/CBS(aQ5Z)	corr_CCSD(T)/aDZ	corr_CCSD/aDZ	corr_CCSD(T)/haTZ	corr_CCSD/haTZ
1.2.01_100	-0.818	-0.533	-0.533	-0.562	-0.584	-2.662	-3.15	-3.15	-3.323	-3.378	-3.449	-3.435	-1.194	-1.468	-1.494	-1.656	-1.494	-1.655	-1.615	-1.708	-1.657	-1.72	-1.702	-1.746	-1.702	-1.733	-1.962	-1.559	-2.466	-1.966
1.2.01_105	-1.42	-1.142	~~~	-1.157	~~~	-2.092	-2.444	~~~	-2.573	~~~	-2.666	~~~	-0.946	-1.146	-1.159	-1.285	~~~	~~~	-1.246	-1.326	~~~	~~~	-1.31	-1.356	~~~	~~~	-1.566	-1.252	~~~	~~~
1.2.01_110	-1.667	-1.411	~~~	-1.418	~~~	-1.654	-1.91	~~~	-2.005	~~~	-2.075	~~~	-0.753	-0.902	-0.905	-1.005	~~~	~~~	-0.968	-1.037	~~~	~~~	-1.015	-1.06	~~~	~~~	-1.252	-1.005	~~~	~~~
1.2.01_125	-1.526	-1.354	~~~	-1.353	~~~	-0.843	-0.951	~~~	-0.989	~~~	-1.017	~~~	-0.385	-0.457	-0.447	-0.504	~~~	~~~	-0.471	-0.518	~~~	~~~	-0.489	-0.528	~~~	~~~	-0.644	-0.521	~~~	~~~
1.2.01_150	-0.886	-0.797	~~~	-0.796	~~~	-0.302	-0.341	~~~	-0.349	~~~	-0.354	~~~	-0.133	-0.169	-0.155	-0.186	~~~	~~~	-0.16	-0.189	~~~	~~~	-0.163	-0.191	~~~	~~~	-0.221	-0.177	~~~	~~~
1.2.01_200	-0.321	-0.282	~~~	-0.282	~~~	-0.055	-0.066	~~~	-0.067	~~~	-0.068	~~~	-0.019	-0.035	-0.027	-0.04	~~~	~~~	-0.027	-0.04	~~~	~~~	-0.028	-0.04	~~~	~~~	-0.032	-0.023	~~~	~~~
1.2.02_080	10.728	10.478	10.483	10.261	10.086	-5.83	-7.371	-7.353	-7.821	-7.999	-8.15	-8.185	-2.627	-3.203	-3.666	-3.705	-3.656	-3.698	-3.999	-3.822	-4.142	-3.857	-4.242	-3.908	-4.291	-3.894	-4.642	-3.752	-6.244	-5.148
1.2.02_085	5.505	5.464	~~~	5.319	~~~	-4.55	-5.658	~~~	-5.976	~~~	-6.207	~~~	-2.066	-2.485	-2.807	-2.851	~~~	~~~	-3.038	-2.938	~~~	~~~	-3.206	-3.001	~~~	~~~	-3.731	-3.031	~~~	~~~
1.2.02_090	2.382	2.448	~~~	2.354	~~~	-3.574	-4.365	~~~	-4.59	~~~	-4.754	~~~	-1.639	-1.935	-2.164	-2.201	~~~	~~~	-2.324	-2.266	~~~	~~~	-2.442	-2.313	~~~	~~~	-3.008	-2.455	~~~	~~~
1.2.02_095	0.597	0.705	~~~	0.647	~~~	-2.828	-3.39	~~~	-3.551	~~~	-3.669	~~~	-1.313	-1.515	-1.682	-1.707	~~~	~~~	-1.794	-1.756	~~~	~~~	-1.876	-1.792	~~~	~~~	-2.433	-1.995	~~~	~~~
1.2.02_100	-0.362	-0.249	-0.249	-0.284	-0.322	-2.252	-2.651	-2.644	-2.768	-2.804	-2.853	-2.842	-1.059	-1.193	-1.319	-1.332	-1.315	-1.329	-1.398	-1.37	-1.426	-1.378	-1.456	-1.398	-1.456	-1.386	-1.974	-1.624	-2.379	-1.96
1.2.02_105	-0.829	-0.729	~~~	-0.749	~~~	-1.803	-2.089	~~~	-2.174	~~~	-2.236	~~~	-0.858	-0.945	-1.043	-1.046	~~~	~~~	-1.098	-1.076	~~~	~~~	-1.139	-1.097	~~~	~~~	-1.603	-1.324	~~~	~~~
1.2.02_110	-1.014	-0.933	~~~	-0.944	~~~	-1.45	-1.658	~~~	-1.72	~~~	-1.765	~~~	-0.698	-0.752	-0.831	-0.828	~~~	~~~	-0.87	-0.85	~~~	~~~	-0.898	-0.867	~~~	~~~	-1.304	-1.079	~~~	~~~
1.2.02_125	-0.914	-0.878	~~~	-0.88	~~~	-0.773	-0.864	~~~	-0.886	~~~	-0.902	~~~	-0.38	-0.392	-0.437	-0.427	~~~	~~~	-0.45	-0.436	~~~	~~~	-0.458	-0.443	~~~	~~~	-0.705	-0.587	~~~	~~~
1.2.02_150	-0.491	-0.477	~~~	-0.479	~~~	-0.297	-0.327	~~~	-0.331	~~~	-0.333	~~~	-0.149	-0.149	-0.168	-0.16	~~~	~~~	-0.169	-0.162	~~~	~~~	-0.169	-0.164	~~~	~~~	-0.269	-0.226	~~~	~~~
1.2.02_200	-0.152	-0.148	~~~	-0.149	~~~	-0.061	-0.068	~~~	-0.068	~~~	-0.068	~~~	-0.03	-0.03	-0.035	-0.032	~~~	~~~	-0.035	-0.033	~~~	~~~	-0.034	-0.033	~~~	~~~	-0.053	-0.045	~~~	~~~
1.2.03_080	9.181	9.093	9.1	9.009	8.951	-5.671	-6.808	-6.759	-7.113	-7.225	-7.336	-7.342	-2.748	-2.924	-3.474	-3.334	-3.442	-3.317	-3.689	-3.425	-3.776	-3.449	-3.846	-3.491	-3.867	-3.474	-4.788	-4.008	-5.91	-4.935
1.2.03_085	5.225	5.227	~~~	5.176	~~~	-4.39	-5.181	~~~	-5.39	~~~	-5.542	~~~	-2.142	-2.248	-2.641	-2.54	~~~	~~~	-2.785	-2.605	~~~	~~~	-2.89	-2.653	~~~	~~~	-3.784	-3.171	~~~	~~~
1.2.03_090	2.923	2.96	~~~	2.93	~~~	-3.42	-3.967	~~~	-4.11	~~~	-4.215	~~~	-1.681	-1.739	-2.022	-1.945	~~~	~~~	-2.118	-1.993	~~~	~~~	-2.188	-2.027	~~~	~~~	-3.001	-2.517	~~~	~~~
1.2.03_095	1.61	1.654	~~~	1.636	~~~	-2.678	-3.057	~~~	-3.155	~~~	-3.227	~~~	-1.326	-1.352	-1.558	-1.498	~~~	~~~	-1.622	-1.533	~~~	~~~	-1.669	-1.558	~~~	~~~	-2.385	-2.002	~~~	~~~
1.2.03_100	0.877	0.917	0.918	0.906	0.893	-2.106	-2.37	-2.342	-2.437	-2.457	-2.486	-2.477	-1.049	-1.056	-1.209	-1.161	-1.192	-1.15	-1.251	-1.186	-1.265	-1.191	-1.282	-1.205	-1.28	-1.197	-1.899	-1.594	-2.13	-1.766
1.2.03_105	0.478	0.51	~~~	0.504	~~~	-1.663	-1.85	~~~	-1.895	~~~	-1.928	~~~	-0.833	-0.83	-0.945	-0.905	~~~	~~~	-0.971	-0.924	~~~	~~~	-0.991	-0.937	~~~	~~~	-1.513	-1.27	~~~	~~~
1.2.03_110	0.267	0.292	~~~	0.288	~~~	-1.319	-1.453	~~~	-1.483	~~~	-1.505	~~~	-0.664	-0.655	-0.743	-0.711	~~~	~~~	-0.759	-0.724	~~~	~~~	-0.771	-0.734	~~~	~~~	-1.208	-1.014	~~~	~~~
1.2.03_125	0.086	0.099	~~~	0.098	~~~	-0.679	-0.734	~~~	-0.742	~~~	-0.748	~~~	-0.344	-0.335	-0.376	-0.358	~~~	~~~	-0.379	-0.363	~~~	~~~	-0.381	-0.367	~~~	~~~	-0.628	-0.527	~~~	~~~
1.2.03_150	0.082	0.087	~~~	0.086	~~~	-0.254	-0.272	~~~	-0.272	~~~	-0.271	~~~	-0.129	-0.124	-0.14	-0.132	~~~	~~~	-0.138	-0.133	~~~	~~~	-0.137	-0.134	~~~	~~~	-0.235	-0.197	~~~	~~~
1.2.03_200	0.06	0.061	~~~	0.061	~~~	-0.054	-0.058	~~~	-0.057	~~~	-0.057	~~~	-0.028	-0.026	-0.03	-0.028	~~~	~~~	-0.029	-0.028	~~~	~~~	-0.029	-0.028	~~~	~~~	-0.051	-0.043	~~~	~~~
1.2.04_080	9.541	9.441	9.445	9.336	9.26	-6.157	-7.332	-7.293	-7.658	-7.78	-7.897	-7.908	-2.92	-3.237	-3.689	-3.643	-3.664	-3.628	-3.923	-3.736	-4.019	-3.762	-4.093	-3.804	-4.119	-3.789	-5.12	-4.213	-6.308	-5.208
1.2.04_085	5.286	5.296	~~~	5.23	~~~	-4.809	-5.624	~~~	-5.848	~~~	-6.011	~~~	-2.298	-2.51	-2.827	-2.797	~~~	~~~	-2.984	-2.864	~~~	~~~	-3.098	-2.912	~~~	~~~	-4.094	-3.376	~~~	~~~
1.2.04_090	2.81	2.867	~~~	2.825	~~~	-3.782	-4.345	~~~	-4.498	~~~	-4.61	~~~	-1.822	-1.96	-2.184	-2.161	~~~	~~~	-2.289	-2.209	~~~	~~~	-2.365	-2.245	~~~	~~~	-3.285	-2.712	~~~	~~~
1.2.04_095	1.406	1.474	~~~	1.449	~~~	-2.992	-3.38	~~~	-3.485	~~~	-3.562	~~~	-1.453	-1.539	-1.7	-1.681	~~~	~~~	-1.77	-1.716	~~~	~~~	-1.82	-1.742	~~~	~~~	-2.642	-2.182	~~~	~~~
1.2.04_100	0.634	0.698	0.697	0.682	0.664	-2.378	-2.648	-2.624	-2.72	-2.742	-2.773	-2.765	-1.162	-1.216	-1.332	-1.316	-1.318	-1.306	-1.379	-1.342	-1.395	-1.347	-1.412	-1.361	-1.412	-1.353	-2.127	-1.757	-2.371	-1.944
1.2.04_105	0.227	0.28	~~~	0.27	~~~	-1.899	-2.089	~~~	-2.139	~~~	-2.175	~~~	-0.933	-0.966	-1.052	-1.037	~~~	~~~	-1.082	-1.057	~~~	~~~	-1.104	-1.071	~~~	~~~	-1.714	-1.416	~~~	~~~
1.2.04_110	0.024	0.067	~~~	0.06	~~~	-1.523	-1.66	~~~	-1.693	~~~	-1.718	~~~	-0.751	-0.772	-0.836	-0.824	~~~	~~~	-0.855	-0.838	~~~	~~~	-0.869	-0.848	~~~	~~~	-1.383	-1.142	~~~	~~~
1.2.04_125	-0.101	-0.077	~~~	-0.08	~~~	-0.81	-0.869	~~~	-0.877	~~~	-0.884	~~~	-0.402	-0.408	-0.438	-0.431	~~~	~~~	-0.441	-0.436	~~~	~~~	-0.443	-0.44	~~~	~~~	-0.74	-0.609	~~~	~~~
1.2.04_150	-0.026	-0.014	~~~	-0.016	~~~	-0.32	-0.339	~~~	-0.339	~~~	-0.338	~~~	-0.158	-0.162	-0.17	-0.169	~~~	~~~	-0.169	-0.17	~~~	~~~	-0.168	-0.17	~~~	~~~	-0.289	-0.236	~~~	~~~
1.2.04_200	0.02	0.024	~~~	0.024	~~~	-0.075	-0.079	~~~	-0.078	~~~	-0.078	~~~	-0.037	-0.038	-0.04	-0.04	~~~	~~~	-0.039	-0.04	~~~	~~~	-0.038	-0.04	~~~	~~~	-0.066	-0.054	~~~	~~~
1.2.05_080	20.462	19.579	19.586	19.148	18.726	-15.538	-18.559	-18.534	-19.808	-20.295	-20.72	-20.805	-6.85	-8.688	-8.746	-9.812	-8.733	-9.801	-9.721	-10.087	-10.12	-10.175	-10.433	-10.288	-10.538	-10.267	-9.931	-7.376	-13.035	-9.967
1.2.05_085	12.852	12.498	~~~	12.21	~~~	-13.418	-15.806	~~~	-16.745	~~~	-17.43	~~~	-6.085	-7.333	-7.58	-8.226	~~~	~~~	-8.306	-8.439	~~~	~~~	-8.835	-8.595	~~~	~~~	-9.038	-6.764	~~~	~~~
1.2.05_090	7.442	7.421	~~~	7.216	~~~	-11.14	-13.001	~~~	-13.703	~~~	-14.216	~~~	-5.12	-6.02	-6.282	-6.718	~~~	~~~	-6.819	-6.884	~~~	~~~	-7.211	-7.006	~~~	~~~	-7.822	-5.898	~~~	~~~
1.2.05_095	3.715	3.902	~~~	3.752	~~~	-9.047	-10.481	~~~	-11.008	~~~	-11.392	~~~	-4.189	-4.858	-5.081	-5.4	~~~	~~~	-5.478	-5.53	~~~	~~~	-5.767	-5.625	~~~	~~~	-6.568	-4.991	~~~	~~~
1.2.05_100	1.251	1.558	1.562	1.45	1.374	-7.274	-8.368	-8.357	-8.767	-8.92	-9.057	-9.08	-3.388	-3.887	-4.063	-4.305	-4.057	-4.3	-4.358	-4.408	-4.479	-4.44	-4.574	-4.484	-4.606	-4.474	-5.424	-4.156	-6.509	-5.007
1.2.05_105	-0.294	0.067	~~~	-0.007	~~~	-5.834	-6.664	~~~	-6.967	~~~	-7.188	~~~	-2.733	-3.1	-3.241	-3.423	~~~	~~~	-3.462	-3.505	~~~	~~~	-3.622	-3.566	~~~	~~~	-4.446	-3.436	~~~	~~~
1.2.05_110	-1.195	-0.825	~~~	-0.871	~~~	-4.687	-5.314	~~~	-5.546	~~~	-5.716	~~~	-2.211	-2.476	-2.59	-2.724	~~~	~~~	-2.756	-2.79	~~~	~~~	-2.877	-2.839	~~~	~~~	-3.636	-2.834	~~~	~~~
1.2.05_125	-1.86	-1.587	~~~	-1.591	~~~	-2.497	-2.772	~~~	-2.879	~~~	-2.956	~~~	-1.206	-1.292	-1.363	-1.409	~~~	~~~	-1.435	-1.444	~~~	~~~	-1.488	-1.468	~~~	~~~	-2.009	-1.6	~~~	~~~
1.2.05_150	-1.186	-1.068	~~~	-1.063	~~~	-0.977	-1.061	~~~	-1.089	~~~	-1.109	~~~	-0.485	-0.492	-0.529	-0.532	~~~	~~~	-0.546	-0.543	~~~	~~~	-0.559	-0.55	~~~	~~~	-0.797	-0.649	~~~	~~~
1.2.05_200	-0.355	-0.316	~~~	-0.317	~~~	-0.22	-0.232	~~~	-0.235	~~~	-0.238	~~~	-0.111	-0.109	-0.116	-0.115	~~~	~~~	-0.118	-0.117	~~~	~~~	-0.12	-0.118	~~~	~~~	-0.17	-0.14	~~~	~~~
1.2.06_080	12.803	12.67	12.684	12.47	12.337	-7.983	-9.517	-9.428	-9.909	-10.069	-10.194	-10.238	-3.86	-4.123	-4.848	-4.669	-4.792	-4.636	-5.122	-4.786	-5.246	-4.823	-5.323	-4.872	-5.376	-4.862	-6.767	-5.68	-8.252	-6.905
1.2.06_085	7.705	7.724	~~~	7.594	~~~	-6.256	-7.353	~~~	-7.625	~~~	-7.823	~~~	-3.048	-3.209	-3.746	-3.607	~~~	~~~	-3.932	-3.693	~~~	~~~	-4.068	-3.756	~~~	~~~	-5.428	-4.566	~~~	~~~
1.2.06_090	4.599	4.684	~~~	4.602	~~~	-4.934	-5.715	~~~	-5.901	~~~	-6.037	~~~	-2.424	-2.509	-2.915	-2.8	~~~	~~~	-3.039	-2.862	~~~	~~~	-3.13	-2.908	~~~	~~~	-4.368	-3.682	~~~	~~~
1.2.06_095	2.747	2.848	~~~	2.797	~~~	-3.916	-4.471	~~~	-4.597	~~~	-4.689	~~~	-1.942	-1.973	-2.286	-2.185	~~~	~~~	-2.367	-2.23	~~~	~~~	-2.426	-2.263	~~~	~~~	-3.528	-2.978	~~~	~~~
1.2.06_100	1.664	1.756	1.758	1.724	1.695	-3.126	-3.521	-3.475	-3.605	-3.63	-3.667	-3.656	-1.566	-1.56	-1.806	-1.715	-1.779	-1.696	-1.858	-1.748	-1.875	-1.754	-1.895	-1.772	-1.894	-1.761	-2.859	-2.417	-3.206	-2.674
1.2.06_105	1.042	1.114	~~~	1.096	~~~	-2.509	-2.791	~~~	-2.846	~~~	-2.886	~~~	-1.269	-1.241	-1.437	-1.354	~~~	~~~	-1.468	-1.378	~~~	~~~	-1.491	-1.395	~~~	~~~	-2.325	-1.967	~~~	~~~
1.2.06_110	0.691	0.743	~~~	0.733	~~~	-2.026	-2.226	~~~	-2.262	~~~	-2.287	~~~	-1.033	-0.993	-1.151	-1.076	~~~	~~~	-1.169	-1.093	~~~	~~~	-1.182	-1.106	~~~	~~~	-1.896	-1.606	~~~	~~~
1.2.06_125	0.33	0.344	~~~	0.343	~~~	-1.1	-1.174	~~~	-1.181	~~~	-1.185	~~~	-0.573	-0.526	-0.614	-0.56	~~~	~~~	-0.614	-0.567	~~~	~~~	-0.613	-0.572	~~~	~~~	-1.051	-0.892	~~~	~~~
1.2.06_150	0.248	0.247	~~~	0.244	~~~	-0.442	-0.458	~~~	-0.455	~~~	-0.452	~~~	-0.237	-0.205	-0.245	-0.214	~~~	~~~	-0.24	-0.215	~~~	~~~	-0.236	-0.216	~~~	~~~	-0.428	-0.363	~~~	~~~
1.2.06_200	0.154	0.151	~~~	0.15	~~~	-0.106	-0.107	~~~	-0.104	~~~	-0.101	~~~	-0.059	-0.046	-0.06	-0.047	~~~	~~~	-0.056	-0.047	~~~	~~~	-0.054	-0.047	~~~	~~~	-0.104	-0.088	~~~	~~~
1.2.07_080	12.992	12.776	12.789	12.542	12.368	-8.364	-9.918	-9.852	-10.336	-10.511	-10.641	-10.694	-3.92	-4.444	-4.953	-4.966	-4.912	-4.94	-5.252	-5.084	-5.389	-5.122	-5.471	-5.171	-5.532	-5.162	-6.942	-5.705	-8.502	-7.021
1.2.07_085	7.677	7.644	~~~	7.489	~~~	-6.602	-7.708	~~~	-7.999	~~~	-8.211	~~~	-3.118	-3.484	-3.848	-3.86	~~~	~~~	-4.052	-3.946	~~~	~~~	-4.201	-4.009	~~~	~~~	-5.632	-4.642	~~~	~~~
1.2.07_090	4.414	4.474	~~~	4.373	~~~	-5.242	-6.026	~~~	-6.226	~~~	-6.372	~~~	-2.499	-2.743	-3.012	-3.014	~~~	~~~	-3.149	-3.077	~~~	~~~	-3.25	-3.123	~~~	~~~	-4.581	-3.784	~~~	~~~
1.2.07_095	2.464	2.56	~~~	2.494	~~~	-4.19	-4.744	~~~	-4.881	~~~	-4.981	~~~	-2.018	-2.172	-2.377	-2.368	~~~	~~~	-2.468	-2.413	~~~	~~~	-2.534	-2.447	~~~	~~~	-3.738	-3.093	~~~	~~~
1.2.07_100	1.331	1.43	1.431	1.387	1.35	-3.37	-3.763	-3.728	-3.856	-3.883	-3.923	-3.913	-1.64	-1.731	-1.891	-1.872	-1.871	-1.857	-1.95	-1.905	-1.972	-1.912	-1.994	-1.93	-1.994	-1.919	-3.058	-2.534	-3.424	-2.817
1.2.07_105	0.694	0.778	~~~	0.752	~~~	-2.727	-3.007	~~~	-3.068	~~~	-3.113	~~~	-1.34	-1.388	-1.517	-1.49	~~~	~~~	-1.554	-1.514	~~~	~~~	-1.581	-1.532	~~~	~~~	-2.51	-2.082	~~~	~~~
1.2.07_110	0.35	0.415	~~~	0.399	~~~	-2.219	-2.419	~~~	-2.459	~~~	-2.487	~~~	-1.1	-1.119	-1.225	-1.194	~~~	~~~	-1.247	-1.212	~~~	~~~	-1.263	-1.224	~~~	~~~	-2.066	-1.715	~~~	~~~
1.2.07_125	0.061	0.083	~~~	0.079	~~~	-1.237	-1.312	~~~	-1.319	~~~	-1.324	~~~	-0.626	-0.61	-0.672	-0.64	~~~	~~~	-0.672	-0.647	~~~	~~~	-0.673	-0.651	~~~	~~~	-1.175	-0.977	~~~	~~~
1.2.07_150	0.091	0.095	~~~	0.092	~~~	-0.517	-0.534	~~~	-0.53	~~~	-0.527	~~~	-0.268	-0.25	-0.278	-0.257	~~~	~~~	-0.272	-0.258	~~~	~~~	-0.268	-0.259	~~~	~~~	-0.494	-0.411	~~~	~~~
