# Interaction energies and their componets, in kcal/mol
# Prefix "corr_" denotes the correlation enegy term only
# Suffixes "_os" and "_ss" denote the other-spin and same-spin components of the correlation energy
"name"	"HF/aDZ"	"HF/aTZ"	"HF/haTZ"	"HF/aQZ"	"HF/a5Z"	"corr_MP2/aDZ"	"corr_MP2/aTZ"	"corr_MP2/haTZ"	"corr_MP2/aQZ"	"corr_MP2/a5Z"	"corr_MP2/CBS(aTQZ)"	"corr_MP2/CBS(aQ5Z)"	"corr_MP2_os/aDZ"	"corr_MP2_ss/aDZ"	"corr_MP2_os/aTZ"	"corr_MP2_ss/aTZ"	"corr_MP2_os/haTZ"	"corr_MP2_ss/haTZ"	"corr_MP2_os/aQZ"	"corr_MP2_ss/aQZ"	"corr_MP2_os/a5Z"	"corr_MP2_ss/a5Z"	"corr_MP2_os/CBS(aTQZ)"	"corr_MP2_ss/CBS(aTQZ)"	"corr_MP2_os/CBS(aQ5Z)"	"corr_MP2_ss/CBS(aQ5Z)"	"corr_CCSD(T)/aDZ"	"corr_CCSD/aDZ"	"corr_CCSD_os/aDZ"	"corr_CCSD_ss/aDZ"	"corr_CCSD(T)/haTZ"	"corr_CCSD/haTZ"	"corr_CCSD_os/haTZ"	"corr_CCSD_ss/haTZ"	"BLYP/def2-QZVP"	"B3LYP/def2-QZVP"	"BHLYP/def2-QZVP"	"BP/def2-QZVP"	"PBE/def2-QZVP"	"PBE0/def2-QZVP"	"TPSS/def2-QZVP"
02.001_ammonium--acetaldehyde_0.80	-15.298	-16.167	-16.144	-16.255	-16.279	0.787	-0.643	-0.595	-1.241	-1.460	-1.677	-1.690	2.494	-1.707	1.423	-2.066	1.455	-2.049	0.915	-2.156	0.719	-2.179	0.545	-2.222	0.512	-2.202	1.206	1.318	3.993	-2.676	-0.504	-0.351	2.639	-2.990	-17.220	-18.778	-20.272	-18.839	-19.734	-20.620	-18.261
02.001_ammonium--acetaldehyde_0.85	-19.759	-20.498	~~~	-20.569	~~~	0.605	-0.600	~~~	-1.111	~~~	-1.484	~~~	2.140	-1.536	1.243	-1.843	~~~	~~~	0.809	-1.920	~~~	~~~	0.492	-1.976	~~~	~~~	0.954	1.090	3.497	-2.407	~~~	~~~	~~~	~~~	-21.581	-22.899	-24.182	-22.907	-23.758	-24.430	-22.610
02.001_ammonium--acetaldehyde_0.90	-22.576	-23.183	~~~	-23.244	~~~	0.520	-0.497	~~~	-0.934	~~~	-1.254	~~~	1.877	-1.357	1.124	-1.621	~~~	~~~	0.752	-1.686	~~~	~~~	0.480	-1.733	~~~	~~~	0.799	0.945	3.093	-2.148	~~~	~~~	~~~	~~~	-24.229	-25.341	-26.453	-25.282	-26.098	-26.593	-25.193
02.001_ammonium--acetaldehyde_0.95	-24.210	-24.695	~~~	-24.750	~~~	0.502	-0.357	~~~	-0.732	~~~	-1.005	~~~	1.682	-1.180	1.049	-1.406	~~~	~~~	0.730	-1.461	~~~	~~~	0.496	-1.501	~~~	~~~	0.713	0.858	2.763	-1.905	~~~	~~~	~~~	~~~	-25.654	-26.592	-27.565	-26.459	-27.250	-27.600	-26.514
02.001_ammonium--acetaldehyde_1.00	-24.991	-25.369	-25.352	-25.422	-25.431	0.525	-0.200	-0.160	-0.520	-0.635	-0.754	-0.756	1.537	-1.012	1.005	-1.204	1.030	-1.189	0.730	-1.251	0.627	-1.263	0.530	-1.285	0.519	-1.275	0.676	0.812	2.492	-1.680	-0.179	-0.028	1.810	-1.838	-26.213	-27.003	-27.863	-26.797	-27.570	-27.802	-26.941
02.001_ammonium--acetaldehyde_1.05	-25.161	-25.452	~~~	-25.506	~~~	0.573	-0.038	~~~	-0.313	~~~	-0.513	~~~	1.428	-0.855	0.981	-1.019	~~~	~~~	0.745	-1.058	~~~	~~~	0.573	-1.087	~~~	~~~	0.672	0.794	2.269	-1.475	~~~	~~~	~~~	~~~	-26.164	-26.830	-27.596	-26.556	-27.316	-27.455	-26.751
02.001_ammonium--acetaldehyde_1.10	-24.905	-25.127	~~~	-25.182	~~~	0.633	0.118	~~~	-0.118	~~~	-0.290	~~~	1.345	-0.713	0.969	-0.852	~~~	~~~	0.767	-0.885	~~~	~~~	0.619	-0.909	~~~	~~~	0.690	0.794	2.084	-1.290	~~~	~~~	~~~	~~~	-25.699	-26.259	-26.949	-25.924	-26.677	-26.741	-26.145
02.001_ammonium--acetaldehyde_1.25	-22.773	-22.864	~~~	-22.910	~~~	0.820	0.511	~~~	0.359	~~~	0.247	~~~	1.192	-0.372	0.967	-0.456	~~~	~~~	0.835	-0.476	~~~	~~~	0.738	-0.491	~~~	~~~	0.804	0.846	1.692	-0.846	~~~	~~~	~~~	~~~	-23.019	-23.357	-23.881	-22.891	-23.633	-23.563	-23.121
02.001_ammonium--acetaldehyde_1.50	-18.160	-18.163	~~~	-18.176	~~~	1.015	0.881	~~~	0.796	~~~	0.734	~~~	1.060	-0.046	0.961	-0.080	~~~	~~~	0.885	-0.090	~~~	~~~	0.830	-0.097	~~~	~~~	0.979	0.940	1.340	-0.400	~~~	~~~	~~~	~~~	-17.786	-17.946	-18.325	-17.420	-18.114	-18.001	-17.690
02.001_ammonium--acetaldehyde_2.00	-11.453	-11.442	-11.439	-11.430	-11.432	1.033	0.987	0.998	0.942	0.926	0.910	0.909	0.874	0.159	0.837	0.151	0.841	0.156	0.796	0.147	0.781	0.146	0.766	0.144	0.765	0.144	1.035	0.936	1.005	-0.069	0.978	0.857	0.928	-0.070	-10.660	-10.774	-11.054	-10.375	-10.780	-10.806	-10.667
02.002_ammonium--dimethylcarbonate_0.80	-23.719	-24.676	-24.665	-24.782	-24.814	-0.597	-2.305	-2.245	-2.934	-3.168	-3.394	-3.413	1.675	-2.272	0.389	-2.694	0.431	-2.676	-0.141	-2.793	-0.350	-2.818	-0.528	-2.866	-0.568	-2.844	-0.079	0.128	3.143	-3.016	-2.071	-1.771	1.606	-3.377	-26.011	-27.785	-29.406	-27.822	-28.948	-30.005	-27.144
02.002_ammonium--dimethylcarbonate_0.85	-28.538	-29.382	~~~	-29.465	~~~	-0.816	-2.272	~~~	-2.811	~~~	-3.205	~~~	1.308	-2.124	0.216	-2.488	~~~	~~~	-0.238	-2.574	~~~	~~~	-0.569	-2.636	~~~	~~~	-0.355	-0.110	2.669	-2.778	~~~	~~~	~~~	~~~	-30.874	-32.372	-33.735	-32.416	-33.479	-34.279	-32.034
02.002_ammonium--dimethylcarbonate_0.90	-31.570	-32.291	~~~	-32.358	~~~	-0.914	-2.159	~~~	-2.623	~~~	-2.961	~~~	1.040	-1.955	0.112	-2.271	~~~	~~~	-0.279	-2.344	~~~	~~~	-0.564	-2.397	~~~	~~~	-0.521	-0.252	2.286	-2.538	~~~	~~~	~~~	~~~	-33.848	-35.108	-36.259	-35.128	-36.136	-36.719	-34.986
02.002_ammonium--dimethylcarbonate_0.95	-33.321	-33.920	~~~	-33.976	~~~	-0.925	-1.991	~~~	-2.390	~~~	-2.681	~~~	0.850	-1.776	0.059	-2.050	~~~	~~~	-0.278	-2.112	~~~	~~~	-0.523	-2.158	~~~	~~~	-0.601	-0.323	1.978	-2.301	~~~	~~~	~~~	~~~	-35.468	-36.523	-37.503	-36.500	-37.463	-37.865	-36.539
02.002_ammonium--dimethylcarbonate_1.00	-34.146	-34.635	-34.626	-34.684	-34.700	-0.875	-1.788	-1.741	-2.132	-2.254	-2.382	-2.383	0.720	-1.595	0.045	-1.833	0.075	-1.817	-0.245	-1.886	-0.354	-1.900	-0.457	-1.925	-0.469	-1.914	-0.618	-0.342	1.732	-2.074	-1.668	-1.329	0.934	-2.263	-36.116	-36.997	-37.838	-36.919	-37.845	-38.099	-37.086
02.002_ammonium--dimethylcarbonate_1.05	-34.304	-34.696	~~~	-34.742	~~~	-0.786	-1.568	~~~	-1.863	~~~	-2.079	~~~	0.633	-1.419	0.057	-1.625	~~~	~~~	-0.193	-1.670	~~~	~~~	-0.376	-1.704	~~~	~~~	-0.591	-0.325	1.535	-1.860	~~~	~~~	~~~	~~~	-36.073	-36.806	-37.535	-36.669	-37.566	-37.699	-36.917
02.002_ammonium--dimethylcarbonate_1.10	-33.984	-34.297	~~~	-34.343	~~~	-0.673	-1.343	~~~	-1.597	~~~	-1.783	~~~	0.578	-1.252	0.086	-1.429	~~~	~~~	-0.129	-1.468	~~~	~~~	-0.286	-1.496	~~~	~~~	-0.532	-0.283	1.378	-1.661	~~~	~~~	~~~	~~~	-35.545	-36.153	-36.792	-35.956	-36.830	-36.867	-36.250
02.002_ammonium--dimethylcarbonate_1.25	-31.442	-31.594	~~~	-31.642	~~~	-0.297	-0.718	~~~	-0.881	~~~	-1.000	~~~	0.526	-0.824	0.217	-0.935	~~~	~~~	0.078	-0.959	~~~	~~~	-0.023	-0.976	~~~	~~~	-0.264	-0.086	1.073	-1.158	~~~	~~~	~~~	~~~	-32.390	-32.732	-33.193	-32.376	-33.209	-33.067	-32.694
02.002_ammonium--dimethylcarbonate_1.50	-25.808	-25.830	~~~	-25.848	~~~	0.207	0.015	~~~	-0.071	~~~	-0.133	~~~	0.563	-0.356	0.417	-0.402	~~~	~~~	0.342	-0.413	~~~	~~~	0.288	-0.421	~~~	~~~	0.189	0.248	0.854	-0.606	~~~	~~~	~~~	~~~	-25.903	-26.042	-26.376	-25.536	-26.317	-26.113	-25.850
02.002_ammonium--dimethylcarbonate_2.00	-17.033	-17.030	-17.030	-17.020	-17.023	0.630	0.578	0.591	0.536	0.522	0.506	0.507	0.607	0.023	0.560	0.018	0.567	0.025	0.522	0.014	0.509	0.013	0.495	0.012	0.495	0.012	0.650	0.584	0.718	-0.134	0.594	0.516	0.645	-0.129	-16.339	-16.443	-16.736	-15.946	-16.476	-16.454	-16.333
02.003_ammonium--dimethylether_0.80	-13.178	-14.115	-14.085	-14.238	-14.262	-2.482	-4.259	-4.207	-4.952	-5.207	-5.458	-5.475	0.441	-2.923	-0.897	-3.362	-0.863	-3.344	-1.481	-3.471	-1.708	-3.500	-1.907	-3.551	-1.945	-3.529	-1.279	-0.953	2.231	-3.184	-3.397	-2.952	0.628	-3.581	-15.680	-17.682	-19.397	-17.529	-18.605	-19.862	-16.905
02.003_ammonium--dimethylether_0.85	-17.863	-18.687	~~~	-18.791	~~~	-2.601	-4.122	~~~	-4.716	~~~	-5.150	~~~	0.122	-2.724	-1.019	-3.104	~~~	~~~	-1.519	-3.197	~~~	~~~	-1.884	-3.266	~~~	~~~	-1.502	-1.149	1.769	-2.919	~~~	~~~	~~~	~~~	-20.414	-22.125	-23.567	-21.980	-22.998	-23.987	-21.664
02.003_ammonium--dimethylether_0.90	-20.823	-21.526	~~~	-21.616	~~~	-2.601	-3.906	~~~	-4.415	~~~	-4.788	~~~	-0.096	-2.505	-1.070	-2.835	~~~	~~~	-1.500	-2.916	~~~	~~~	-1.813	-2.974	~~~	~~~	-1.614	-1.250	1.402	-2.652	~~~	~~~	~~~	~~~	-23.312	-24.772	-25.994	-24.606	-25.572	-26.338	-24.536
02.003_ammonium--dimethylether_0.95	-22.556	-23.142	~~~	-23.220	~~~	-2.515	-3.636	~~~	-4.074	~~~	-4.394	~~~	-0.236	-2.279	-1.069	-2.566	~~~	~~~	-1.439	-2.635	~~~	~~~	-1.708	-2.685	~~~	~~~	-1.640	-1.278	1.112	-2.391	~~~	~~~	~~~	~~~	-24.904	-26.150	-27.194	-25.942	-26.864	-27.445	-26.056
02.003_ammonium--dimethylether_1.00	-23.407	-23.889	-23.868	-23.958	-23.969	-2.373	-3.335	-3.293	-3.712	-3.850	-3.988	-3.994	-0.318	-2.055	-1.030	-2.305	-1.006	-2.288	-1.349	-2.364	-1.470	-2.380	-1.581	-2.407	-1.597	-2.397	-1.605	-1.255	0.887	-2.142	-2.738	-2.304	0.053	-2.358	-25.566	-26.630	-27.532	-26.370	-27.256	-27.687	-26.612
02.003_ammonium--dimethylether_1.05	-23.627	-24.021	~~~	-24.086	~~~	-2.196	-3.023	~~~	-3.348	~~~	-3.585	~~~	-0.357	-1.839	-0.967	-2.056	~~~	~~~	-1.241	-2.107	~~~	~~~	-1.441	-2.144	~~~	~~~	-1.526	-1.196	0.712	-1.909	~~~	~~~	~~~	~~~	-25.573	-26.484	-27.271	-26.165	-27.023	-27.333	-26.488
02.003_ammonium--dimethylether_1.10	-23.402	-23.724	~~~	-23.787	~~~	-2.001	-2.712	~~~	-2.992	~~~	-3.197	~~~	-0.365	-1.636	-0.889	-1.824	~~~	~~~	-1.125	-1.867	~~~	~~~	-1.298	-1.899	~~~	~~~	-1.417	-1.114	0.579	-1.693	~~~	~~~	~~~	~~~	-25.125	-25.907	-26.603	-25.530	-26.366	-26.580	-25.900
02.003_ammonium--dimethylether_1.25	-21.286	-21.466	~~~	-21.522	~~~	-1.409	-1.869	~~~	-2.052	~~~	-2.185	~~~	-0.291	-1.118	-0.628	-1.241	~~~	~~~	-0.783	-1.269	~~~	~~~	-0.896	-1.290	~~~	~~~	-1.019	-0.805	0.347	-1.152	~~~	~~~	~~~	~~~	-22.353	-22.862	-23.378	-22.337	-23.134	-23.172	-22.730
02.003_ammonium--dimethylether_1.50	-16.619	-16.673	~~~	-16.693	~~~	-0.654	-0.887	~~~	-0.987	~~~	-1.060	~~~	-0.097	-0.557	-0.270	-0.617	~~~	~~~	-0.355	-0.632	~~~	~~~	-0.417	-0.643	~~~	~~~	-0.419	-0.336	0.235	-0.571	~~~	~~~	~~~	~~~	-16.796	-17.086	-17.462	-16.454	-17.196	-17.163	-16.845
02.003_ammonium--dimethylether_2.00	-9.828	-9.852	-9.857	-9.842	-9.844	0.020	-0.066	-0.046	-0.113	-0.130	-0.148	-0.147	0.124	-0.104	0.056	-0.122	0.065	-0.112	0.014	-0.128	-0.000	-0.130	-0.016	-0.132	-0.016	-0.132	0.165	0.128	0.233	-0.105	0.076	0.040	0.156	-0.115	-9.300	-9.494	-9.772	-8.987	-9.453	-9.531	-9.402
02.004_ammonium--nitromethane_0.80	-14.103	-14.527	-14.518	-14.616	-14.642	-0.647	-2.132	-2.068	-2.637	-2.825	-3.006	-3.022	1.217	-1.864	0.139	-2.271	0.181	-2.249	-0.278	-2.360	-0.442	-2.383	-0.582	-2.424	-0.614	-2.408	-0.705	-0.653	1.929	-2.582	-2.391	-2.236	0.681	-2.918	-15.691	-17.154	-18.636	-17.303	-18.423	-19.129	-17.260
02.004_ammonium--nitromethane_0.85	-18.110	-18.395	~~~	-18.466	~~~	-0.614	-1.873	~~~	-2.298	~~~	-2.608	~~~	1.032	-1.646	0.125	-1.998	~~~	~~~	-0.225	-2.073	~~~	~~~	-0.481	-2.128	~~~	~~~	-0.731	-0.656	1.646	-2.302	~~~	~~~	~~~	~~~	-19.480	-20.712	-21.997	-20.764	-21.842	-22.353	-20.931
02.004_ammonium--nitromethane_0.90	-20.672	-20.837	~~~	-20.896	~~~	-0.524	-1.591	~~~	-1.948	~~~	-2.209	~~~	0.910	-1.434	0.148	-1.739	~~~	~~~	-0.146	-1.802	~~~	~~~	-0.361	-1.848	~~~	~~~	-0.696	-0.611	1.429	-2.040	~~~	~~~	~~~	~~~	-21.799	-22.834	-23.959	-22.788	-23.833	-24.185	-23.091
02.004_ammonium--nitromethane_0.95	-22.184	-22.253	~~~	-22.307	~~~	-0.402	-1.307	~~~	-1.606	~~~	-1.825	~~~	0.834	-1.236	0.192	-1.499	~~~	~~~	-0.055	-1.551	~~~	~~~	-0.235	-1.590	~~~	~~~	-0.621	-0.537	1.262	-1.799	~~~	~~~	~~~	~~~	-23.069	-23.939	-24.932	-23.799	-24.819	-25.042	-24.182
02.004_ammonium--nitromethane_1.00	-22.939	-22.936	-22.929	-22.990	-22.999	-0.267	-1.034	-0.980	-1.284	-1.377	-1.467	-1.475	0.787	-1.054	0.247	-1.280	0.281	-1.261	0.040	-1.324	-0.041	-1.337	-0.111	-1.356	-0.126	-1.350	-0.522	-0.447	1.133	-1.580	-1.355	-1.224	0.526	-1.750	-23.598	-24.328	-25.211	-24.103	-25.105	-25.224	-24.527
02.004_ammonium--nitromethane_1.05	-23.158	-23.104	~~~	-23.158	~~~	-0.129	-0.779	~~~	-0.988	~~~	-1.141	~~~	0.762	-0.891	0.306	-1.085	~~~	~~~	0.133	-1.121	~~~	~~~	0.007	-1.148	~~~	~~~	-0.409	-0.348	1.036	-1.384	~~~	~~~	~~~	~~~	-23.610	-24.222	-25.014	-23.922	-24.910	-24.948	-24.359
02.004_ammonium--nitromethane_1.10	-23.007	-22.914	~~~	-22.966	~~~	0.006	-0.547	~~~	-0.722	~~~	-0.849	~~~	0.751	-0.745	0.365	-0.912	~~~	~~~	0.220	-0.942	~~~	~~~	0.115	-0.964	~~~	~~~	-0.291	-0.247	0.962	-1.209	~~~	~~~	~~~	~~~	-23.267	-23.781	-24.494	-23.417	-24.393	-24.368	-23.852
02.004_ammonium--nitromethane_1.25	-21.361	-21.205	~~~	-21.239	~~~	0.355	0.012	~~~	-0.092	~~~	-0.168	~~~	0.761	-0.406	0.522	-0.510	~~~	~~~	0.435	-0.528	~~~	~~~	0.372	-0.540	~~~	~~~	0.052	0.039	0.836	-0.797	~~~	~~~	~~~	~~~	-21.139	-21.448	-21.992	-20.956	-21.896	-21.767	-21.374
02.004_ammonium--nitromethane_1.50	-17.571	-17.415	~~~	-17.421	~~~	0.735	0.570	~~~	0.518	~~~	0.481	~~~	0.809	-0.074	0.692	-0.122	~~~	~~~	0.648	-0.130	~~~	~~~	0.616	-0.135	~~~	~~~	0.488	0.399	0.781	-0.382	~~~	~~~	~~~	~~~	-16.853	-17.015	-17.415	-16.463	-17.287	-17.165	-16.920
02.004_ammonium--nitromethane_2.00	-11.776	-11.693	-11.686	-11.684	-11.684	0.987	0.916	0.931	0.889	0.878	0.868	0.867	0.817	0.170	0.763	0.154	0.771	0.161	0.738	0.151	0.728	0.150	0.720	0.149	0.718	0.149	0.851	0.698	0.748	-0.050	0.787	0.623	0.674	-0.052	-10.754	-10.916	-11.242	-10.478	-10.896	-10.977	-10.857
02.005_guanidinium--nitrosomethane_0.80	-1.198	-1.350	-1.314	-1.395	-1.410	-6.788	-8.457	-8.394	-9.042	-9.250	-9.469	-9.468	-2.383	-4.405	-3.572	-4.885	-3.530	-4.864	-4.050	-4.992	-4.231	-5.019	-4.400	-5.069	-4.421	-5.048	-5.763	-4.545	-0.191	-4.354	-7.660	-6.237	-1.509	-4.729	-7.504	-8.181	-8.504	-9.788	-10.976	-10.388	-9.773
02.005_guanidinium--nitrosomethane_0.85	-6.357	-6.429	~~~	-6.468	~~~	-5.911	-7.284	~~~	-7.763	~~~	-8.113	~~~	-2.123	-3.789	-3.093	-4.191	~~~	~~~	-3.484	-4.279	~~~	~~~	-3.770	-4.343	~~~	~~~	-5.105	-4.026	-0.260	-3.766	~~~	~~~	~~~	~~~	-11.604	-12.205	-12.541	-13.384	-14.565	-14.002	-13.509
02.005_guanidinium--nitrosomethane_0.90	-9.725	-9.738	~~~	-9.780	~~~	-5.130	-6.257	~~~	-6.648	~~~	-6.933	~~~	-1.876	-3.254	-2.668	-3.589	~~~	~~~	-2.986	-3.662	~~~	~~~	-3.219	-3.714	~~~	~~~	-4.499	-3.549	-0.297	-3.252	~~~	~~~	~~~	~~~	-14.102	-14.618	-14.946	-15.451	-16.635	-16.076	-15.645
02.005_guanidinium--nitrosomethane_0.95	-11.812	-11.780	~~~	-11.826	~~~	-4.439	-5.364	~~~	-5.682	~~~	-5.914	~~~	-1.648	-2.792	-2.292	-3.071	~~~	~~~	-2.551	-3.130	~~~	~~~	-2.740	-3.173	~~~	~~~	-3.946	-3.113	-0.308	-2.804	~~~	~~~	~~~	~~~	-15.461	-15.893	-16.203	-16.446	-17.639	-17.077	-16.667
02.005_guanidinium--nitrosomethane_1.00	-12.997	-12.930	-12.904	-12.975	-12.975	-3.831	-4.589	-4.537	-4.848	-4.941	-5.037	-5.038	-1.437	-2.394	-1.963	-2.626	-1.931	-2.606	-2.173	-2.675	-2.253	-2.688	-2.326	-2.710	-2.337	-2.701	-3.444	-2.717	-0.301	-2.416	-4.284	-3.451	-0.867	-2.584	-16.025	-16.381	-16.667	-16.705	-17.911	-17.347	-16.941
02.005_guanidinium--nitrosomethane_1.05	-13.554	-13.458	~~~	-13.499	~~~	-3.299	-3.920	~~~	-4.131	~~~	-4.285	~~~	-1.245	-2.054	-1.674	-2.246	~~~	~~~	-1.846	-2.286	~~~	~~~	-1.970	-2.314	~~~	~~~	-2.991	-2.359	-0.278	-2.081	~~~	~~~	~~~	~~~	-16.046	-16.337	-16.597	-16.478	-17.693	-17.134	-16.728
02.005_guanidinium--nitrosomethane_1.10	-13.680	-13.564	~~~	-13.597	~~~	-2.834	-3.343	~~~	-3.515	~~~	-3.641	~~~	-1.072	-1.762	-1.422	-1.921	~~~	~~~	-1.562	-1.953	~~~	~~~	-1.664	-1.977	~~~	~~~	-2.584	-2.038	-0.246	-1.792	~~~	~~~	~~~	~~~	-15.711	-15.948	-16.182	-15.942	-17.163	-16.614	-16.213
02.005_guanidinium--nitrosomethane_1.25	-12.701	-12.562	~~~	-12.574	~~~	-1.768	-2.049	~~~	-2.146	~~~	-2.217	~~~	-0.650	-1.118	-0.843	-1.206	~~~	~~~	-0.922	-1.224	~~~	~~~	-0.980	-1.237	~~~	~~~	-1.610	-1.266	-0.118	-1.148	~~~	~~~	~~~	~~~	-13.727	-13.852	-14.015	-13.585	-14.775	-14.290	-13.982
02.005_guanidinium--nitrosomethane_1.50	-9.991	-9.872	~~~	-9.866	~~~	-0.726	-0.848	~~~	-0.896	~~~	-0.930	~~~	-0.199	-0.527	-0.285	-0.563	~~~	~~~	-0.324	-0.571	~~~	~~~	-0.353	-0.577	~~~	~~~	-0.603	-0.461	0.094	-0.556	~~~	~~~	~~~	~~~	-10.157	-10.219	-10.307	-9.866	-10.830	-10.513	-10.431
