# SAPT(DFT) benchmark energies with the asymptotically corrected B3LYP potential for IHB100x10
# All energy units have been converted to kcal/mol
# The DFT-SAPT calculations have been performed by E. Masumian and A. D. Boese (https://doi.org/10.1021/acs.jctc.3c00801)

System             Elst         Exch          Ind         deltaHF         Disp           Total     
05.001_125       -25.427        10.016        -4.938        -1.017        -3.327       -24.692
05.001_150       -17.803         3.330        -3.240        -0.253        -1.667       -19.633
05.001_200       -10.834         0.508        -1.521        -0.015        -0.464       -12.327
05.002_080       -63.325       120.641       -40.072       -24.993       -13.211       -20.960
05.002_085       -56.672        97.257       -31.331       -21.875       -11.362       -23.983
05.002_090       -50.468        78.281       -25.003       -18.670        -9.851       -25.711
05.002_095       -44.863        62.932       -20.354       -15.664        -8.603       -26.551
05.002_100       -39.899        50.550       -16.880       -12.984        -7.549       -26.762
05.002_105       -35.554        40.580       -14.236       -10.672        -6.661       -26.543
05.002_110       -31.778        32.563       -12.186        -8.719        -5.899       -26.019
05.002_125       -23.233        16.820        -8.189        -4.659        -4.169       -23.429
05.002_150       -15.004         5.655        -4.860        -1.609        -2.408       -18.226
05.002_200        -7.915         0.682        -2.158        -0.203        -0.861       -10.455
05.003_080       -76.670       155.790       -60.611       -34.771       -15.346       -31.608
05.003_085       -70.516       129.084       -47.781       -32.135       -13.250       -34.598
05.003_090       -64.151       106.715       -38.260       -28.766       -11.507       -35.969
05.003_095       -57.988        88.065       -31.124       -25.196       -10.082       -36.325
05.003_100       -52.243        72.574       -25.715       -21.731        -8.898       -36.011
05.003_105       -47.010        59.744       -21.561       -18.532        -7.875       -35.234
05.003_110       -42.316        49.141       -18.326       -15.674        -7.010       -34.185
05.003_125       -31.214        27.254       -12.052        -9.189        -5.043       -30.244
05.003_150       -19.994        10.186        -6.982        -3.598        -3.017       -23.404
05.003_200       -10.231         1.475        -3.019        -0.539        -1.128       -13.441
05.004_080       -50.287        80.204       -18.498       -11.583       -11.134       -11.299
05.004_085       -42.956        61.782       -14.575        -9.405        -9.589       -14.743
05.004_090       -36.882        47.568       -11.828        -7.489        -8.289       -16.919
05.004_095       -31.878        36.618        -9.846        -5.887        -7.182       -18.175
05.004_100       -27.761        28.189        -8.371        -4.589        -6.253       -18.785
05.004_105       -24.372        21.710        -7.238        -3.558        -5.440       -18.898
05.004_110       -21.573        16.732        -6.343        -2.749        -4.750       -18.683
05.004_125       -15.679         7.707        -4.496        -1.260        -3.174       -16.903
05.004_150       -10.460         2.178        -2.772        -0.349        -1.654       -13.058
05.004_200        -6.056         0.198        -1.227        -0.031        -0.489        -7.607
05.005_080       -46.202        74.168       -16.402       -10.490       -10.716        -9.643
