# Interaction energies and their componets, in kcal/mol
# Prefix "corr_" denotes the correlation enegy term only
# Suffixes "_os" and "_ss" denote the other-spin and same-spin components of the correlation energy
"name"	"HF/aDZ"	"HF/aTZ"	"HF/haTZ"	"HF/aQZ"	"HF/a5Z"	"corr_MP2/aDZ"	"corr_MP2/aTZ"	"corr_MP2/haTZ"	"corr_MP2/aQZ"	"corr_MP2/a5Z"	"corr_MP2/CBS(aTQZ)"	"corr_MP2/CBS(aQ5Z)"	"corr_MP2_os/aDZ"	"corr_MP2_ss/aDZ"	"corr_MP2_os/aTZ"	"corr_MP2_ss/aTZ"	"corr_MP2_os/haTZ"	"corr_MP2_ss/haTZ"	"corr_MP2_os/aQZ"	"corr_MP2_ss/aQZ"	"corr_MP2_os/a5Z"	"corr_MP2_ss/a5Z"	"corr_MP2_os/CBS(aTQZ)"	"corr_MP2_ss/CBS(aTQZ)"	"corr_MP2_os/CBS(aQ5Z)"	"corr_MP2_ss/CBS(aQ5Z)"	"corr_CCSD(T)/aDZ"	"corr_CCSD/aDZ"	"corr_CCSD_os/aDZ"	"corr_CCSD_ss/aDZ"	"corr_CCSD(T)/haTZ"	"corr_CCSD/haTZ"	"corr_CCSD_os/haTZ"	"corr_CCSD_ss/haTZ"	"B3LYP/def2-QZVP"	"BLYP/def2-QZVP"	"BHLYP/def2-QZVP"	"BP/def2-QZVP"	"PBE/def2-QZVP"	"PBE0/def2-QZVP"	"TPSS/def2-QZVP"
1.002_aceticacid--acetamide_0.80	-2.378	-3.193	-3.177	-3.305	-3.335	-2.770	-5.026	-4.952	-5.948	-6.289	-6.620	-6.646	1.081	-3.851	-0.498	-4.528	-0.452	-4.500	-1.265	-4.683	-1.566	-4.722	-1.825	-4.796	-1.882	-4.764	-2.295	-1.372	3.368	-4.739	-4.932	-3.812	1.498	-5.310	-7.643	-4.952	-10.049	-8.184	-9.359	-10.870	-7.949
1.002_aceticacid--acetamide_0.85	-8.064	-8.701	~~~	-8.798	~~~	-2.588	-4.478	~~~	-5.251	~~~	-5.816	~~~	0.816	-3.403	-0.496	-3.983	~~~	~~~	-1.138	-4.113	~~~	~~~	-1.608	-4.208	~~~	~~~	-2.291	-1.410	2.806	-4.216	~~~	~~~	~~~	~~~	-12.583	-10.250	-14.714	-12.923	-14.070	-15.286	-12.949
1.002_aceticacid--acetamide_0.90	-11.687	-12.161	~~~	-12.251	~~~	-2.352	-3.940	~~~	-4.588	~~~	-5.061	~~~	0.632	-2.985	-0.459	-3.481	~~~	~~~	-0.997	-3.591	~~~	~~~	-1.390	-3.670	~~~	~~~	-2.206	-1.379	2.352	-3.731	~~~	~~~	~~~	~~~	-15.498	-13.471	-17.398	-15.648	-16.781	-17.753	-15.839
1.002_aceticacid--acetamide_0.95	-13.844	-14.179	~~~	-14.268	~~~	-2.095	-3.430	~~~	-3.972	~~~	-4.368	~~~	0.508	-2.602	-0.402	-3.028	~~~	~~~	-0.853	-3.119	~~~	~~~	-1.182	-3.186	~~~	~~~	-2.069	-1.304	1.983	-3.287	~~~	~~~	~~~	~~~	-17.008	-15.242	-18.712	-16.985	-18.116	-18.887	-17.268
1.002_aceticacid--acetamide_1.00	-14.967	-15.191	-15.171	-15.280	-15.286	-1.836	-2.959	-2.893	-3.413	-3.581	-3.745	-3.758	0.423	-2.259	-0.336	-2.623	-0.296	-2.597	-0.713	-2.700	-0.861	-2.720	-0.989	-2.756	-1.016	-2.741	-1.904	-1.204	1.684	-2.888	-3.174	-2.364	0.808	-3.171	-17.553	-16.009	-19.087	-17.378	-18.514	-19.122	-17.702
1.002_aceticacid--acetamide_1.05	-15.372	-15.508	~~~	-15.596	~~~	-1.589	-2.533	~~~	-2.914	~~~	-3.191	~~~	0.366	-1.954	-0.268	-2.265	~~~	~~~	-0.584	-2.330	~~~	~~~	-0.814	-2.377	~~~	~~~	-1.725	-1.091	1.440	-2.531	~~~	~~~	~~~	~~~	-17.447	-16.091	-18.833	-17.144	-18.290	-18.764	-17.483
1.002_aceticacid--acetamide_1.10	-15.286	-15.357	~~~	-15.441	~~~	-1.360	-2.154	~~~	-2.473	~~~	-2.706	~~~	0.327	-1.687	-0.202	-1.952	~~~	~~~	-0.466	-2.007	~~~	~~~	-0.659	-2.047	~~~	~~~	-1.545	-0.975	1.240	-2.216	~~~	~~~	~~~	~~~	-16.915	-15.720	-18.171	-16.507	-17.665	-18.031	-16.849
1.002_aceticacid--acetamide_1.25	-13.527	-13.483	~~~	-13.538	~~~	-0.810	-1.279	~~~	-1.469	~~~	-1.607	~~~	0.270	-1.080	-0.037	-1.242	~~~	~~~	-0.194	-1.275	~~~	~~~	-0.308	-1.299	~~~	~~~	-1.050	-0.650	0.832	-1.483	~~~	~~~	~~~	~~~	-14.162	-13.329	-15.098	-13.567	-14.744	-14.894	-13.923
1.002_aceticacid--acetamide_1.50	-9.518	-9.448	~~~	-9.459	~~~	-0.269	-0.462	~~~	-0.547	~~~	-0.609	~~~	0.243	-0.513	0.121	-0.584	~~~	~~~	0.051	-0.598	~~~	~~~	-0.001	-0.608	~~~	~~~	-0.467	-0.260	0.508	-0.768	~~~	~~~	~~~	~~~	-9.363	-8.883	-9.930	-8.747	-9.840	-9.840	-9.237
1.002_aceticacid--acetamide_2.00	-4.364	-4.345	-4.343	-4.336	-4.335	0.105	0.063	0.075	0.036	0.027	0.017	0.017	0.213	-0.108	0.188	-0.125	0.194	-0.120	0.166	-0.129	0.157	-0.130	0.149	-0.132	0.148	-0.132	0.028	0.072	0.293	-0.221	-0.009	0.035	0.262	-0.227	-3.991	-3.794	-4.205	-3.642	-4.265	-4.253	-4.128
1.003_aceticacid--acetone_0.80	1.300	0.843	0.858	0.761	0.748	-2.406	-3.936	-3.861	-4.549	-4.776	-4.996	-5.014	0.532	-2.938	-0.537	-3.399	-0.489	-3.371	-1.044	-3.505	-1.243	-3.533	-1.414	-3.583	-1.453	-3.562	-2.153	-1.420	2.204	-3.624	-3.900	-3.030	0.965	-3.996	-2.309	-0.478	-4.086	-2.365	-3.602	-4.394	-2.422
1.003_aceticacid--acetone_0.85	-2.656	-2.985	~~~	-3.056	~~~	-2.159	-3.427	~~~	-3.934	~~~	-4.305	~~~	0.388	-2.546	-0.491	-2.936	~~~	~~~	-0.911	-3.024	~~~	~~~	-1.217	-3.088	~~~	~~~	-2.028	-1.355	1.810	-3.164	~~~	~~~	~~~	~~~	-5.590	-3.984	-7.193	-5.461	-6.688	-7.326	-5.659
1.003_aceticacid--acetone_0.90	-5.194	-5.417	~~~	-5.480	~~~	-1.906	-2.957	~~~	-3.377	~~~	-3.683	~~~	0.292	-2.198	-0.432	-2.526	~~~	~~~	-0.778	-2.598	~~~	~~~	-1.031	-2.652	~~~	~~~	-1.874	-1.260	1.495	-2.756	~~~	~~~	~~~	~~~	-7.538	-6.127	-8.985	-7.255	-8.477	-8.985	-7.535
1.003_aceticacid--acetone_0.95	-6.730	-6.870	~~~	-6.930	~~~	-1.663	-2.533	~~~	-2.880	~~~	-3.134	~~~	0.229	-1.892	-0.366	-2.167	~~~	~~~	-0.653	-2.227	~~~	~~~	-0.862	-2.272	~~~	~~~	-1.704	-1.152	1.244	-2.396	~~~	~~~	~~~	~~~	-8.570	-7.329	-9.875	-8.164	-9.385	-9.783	-8.487
1.003_aceticacid--acetone_1.00	-7.565	-7.644	-7.631	-7.702	-7.704	-1.437	-2.157	-2.093	-2.444	-2.550	-2.653	-2.661	0.189	-1.625	-0.301	-1.856	-0.262	-1.831	-0.538	-1.906	-0.630	-1.919	-0.711	-1.943	-0.728	-1.933	-1.531	-1.037	1.044	-2.081	-2.313	-1.752	0.495	-2.247	-8.980	-7.888	-10.158	-8.480	-9.701	-10.008	-8.828
1.003_aceticacid--acetone_1.05	-7.921	-7.957	~~~	-8.011	~~~	-1.231	-1.827	~~~	-2.065	~~~	-2.238	~~~	0.164	-1.395	-0.239	-1.588	~~~	~~~	-0.435	-1.630	~~~	~~~	-0.578	-1.660	~~~	~~~	-1.361	-0.922	0.884	-1.806	~~~	~~~	~~~	~~~	-8.979	-8.015	-10.040	-8.410	-9.629	-9.861	-8.777
1.003_aceticacid--acetone_1.10	-7.955	-7.959	~~~	-8.008	~~~	-1.048	-1.541	~~~	-1.738	~~~	-1.882	~~~	0.150	-1.197	-0.182	-1.359	~~~	~~~	-0.345	-1.393	~~~	~~~	-0.464	-1.418	~~~	~~~	-1.199	-0.812	0.757	-1.569	~~~	~~~	~~~	~~~	-8.713	-7.861	-9.669	-8.098	-9.312	-9.483	-8.485
1.003_aceticacid--acetone_1.25	-7.083	-7.039	~~~	-7.064	~~~	-0.620	-0.900	~~~	-1.016	~~~	-1.100	~~~	0.138	-0.759	-0.048	-0.853	~~~	~~~	-0.143	-0.873	~~~	~~~	-0.212	-0.887	~~~	~~~	-0.782	-0.522	0.510	-1.032	~~~	~~~	~~~	~~~	-7.219	-6.623	-7.911	-6.564	-7.725	-7.777	-7.020
1.003_aceticacid--acetone_1.50	-4.933	-4.892	~~~	-4.893	~~~	-0.211	-0.325	~~~	-0.378	~~~	-0.416	~~~	0.149	-0.360	0.074	-0.400	~~~	~~~	0.030	-0.408	~~~	~~~	-0.002	-0.414	~~~	~~~	-0.324	-0.196	0.330	-0.526	~~~	~~~	~~~	~~~	-4.655	-4.310	-5.051	-4.116	-5.074	-5.058	-4.685
1.003_aceticacid--acetone_2.00	-2.242	-2.227	-2.227	-2.221	-2.221	0.055	0.027	0.033	0.009	0.002	-0.004	-0.004	0.138	-0.082	0.120	-0.092	0.122	-0.089	0.104	-0.095	0.098	-0.096	0.092	-0.097	0.092	-0.096	0.020	0.046	0.199	-0.154	-0.008	0.017	0.174	-0.157	-1.960	-1.823	-2.100	-1.729	-2.150	-2.150	-2.085
1.004_aceticacid--dimethylcarbonate_0.80	1.490	0.855	0.868	0.782	0.764	-4.648	-6.261	-6.195	-6.877	-7.111	-7.327	-7.357	-0.583	-4.065	-1.659	-4.602	-1.618	-4.577	-2.146	-4.731	-2.343	-4.768	-2.502	-4.825	-2.550	-4.807	-4.440	-3.334	1.221	-4.555	-6.206	-4.918	0.049	-4.967	-1.736	0.543	-4.130	-1.641	-3.310	-4.358	-2.032
1.004_aceticacid--dimethylcarbonate_0.85	-2.590	-3.093	~~~	-3.155	~~~	-4.083	-5.408	~~~	-5.914	~~~	-6.284	~~~	-0.553	-3.530	-1.429	-3.979	~~~	~~~	-1.829	-4.085	~~~	~~~	-2.121	-4.163	~~~	~~~	-4.007	-3.011	0.978	-3.989	~~~	~~~	~~~	~~~	-5.084	-3.048	-7.281	-4.725	-6.377	-7.271	-5.208
1.004_aceticacid--dimethylcarbonate_0.90	-5.239	-5.625	~~~	-5.683	~~~	-3.560	-4.650	~~~	-5.066	~~~	-5.370	~~~	-0.504	-3.057	-1.219	-3.431	~~~	~~~	-1.547	-3.519	~~~	~~~	-1.786	-3.584	~~~	~~~	-3.586	-2.695	0.791	-3.485	~~~	~~~	~~~	~~~	-7.114	-5.297	-9.122	-6.544	-8.187	-8.942	-7.078
1.004_aceticacid--dimethylcarbonate_0.95	-6.876	-7.165	~~~	-7.222	~~~	-3.086	-3.984	~~~	-4.325	~~~	-4.575	~~~	-0.445	-2.642	-1.029	-2.954	~~~	~~~	-1.298	-3.027	~~~	~~~	-1.494	-3.080	~~~	~~~	-3.186	-2.393	0.647	-3.040	~~~	~~~	~~~	~~~	-8.233	-6.613	-10.063	-7.504	-9.142	-9.774	-8.072
1.004_aceticacid--dimethylcarbonate_1.00	-7.803	-8.012	-7.995	-8.070	-8.074	-2.662	-3.402	-3.352	-3.683	-3.790	-3.888	-3.903	-0.382	-2.280	-0.861	-2.541	-0.831	-2.521	-1.081	-2.602	-1.170	-2.620	-1.242	-2.646	-1.264	-2.639	-2.813	-2.111	0.539	-2.650	-3.593	-2.797	0.033	-2.830	-8.733	-7.288	-10.395	-7.888	-9.521	-10.045	-8.481
1.004_aceticacid--dimethylcarbonate_1.05	-8.241	-8.386	~~~	-8.441	~~~	-2.287	-2.898	~~~	-3.129	~~~	-3.297	~~~	-0.320	-1.967	-0.713	-2.185	~~~	~~~	-0.893	-2.235	~~~	~~~	-1.025	-2.272	~~~	~~~	-2.471	-1.851	0.457	-2.308	~~~	~~~	~~~	~~~	-8.821	-7.532	-10.324	-7.894	-9.516	-9.946	-8.499
1.004_aceticacid--dimethylcarbonate_1.10	-8.345	-8.438	~~~	-8.488	~~~	-1.958	-2.464	~~~	-2.653	~~~	-2.792	~~~	-0.261	-1.697	-0.584	-1.879	~~~	~~~	-0.732	-1.921	~~~	~~~	-0.840	-1.951	~~~	~~~	-2.160	-1.615	0.396	-2.010	~~~	~~~	~~~	~~~	-8.638	-7.489	-9.994	-7.661	-9.265	-9.614	-8.278
1.004_aceticacid--dimethylcarbonate_1.25	-7.606	-7.604	~~~	-7.631	~~~	-1.210	-1.494	~~~	-1.601	~~~	-1.679	~~~	-0.116	-1.094	-0.295	-1.199	~~~	~~~	-0.378	-1.223	~~~	~~~	-0.439	-1.240	~~~	~~~	-1.409	-1.044	0.289	-1.333	~~~	~~~	~~~	~~~	-7.331	-6.512	-8.313	-6.345	-7.861	-8.039	-7.065
1.004_aceticacid--dimethylcarbonate_1.50	-5.477	-5.457	~~~	-5.459	~~~	-0.507	-0.615	~~~	-0.660	~~~	-0.693	~~~	0.027	-0.534	-0.038	-0.577	~~~	~~~	-0.074	-0.586	~~~	~~~	-0.100	-0.593	~~~	~~~	-0.640	-0.460	0.226	-0.686	~~~	~~~	~~~	~~~	-4.914	-4.435	-5.470	-4.137	-5.356	-5.408	-4.952
1.004_aceticacid--dimethylcarbonate_2.00	-2.615	-2.615	-2.613	-2.609	-2.610	-0.034	-0.048	-0.045	-0.062	-0.067	-0.073	-0.071	0.101	-0.136	0.093	-0.142	0.095	-0.140	0.082	-0.144	0.078	-0.144	0.073	-0.146	0.074	-0.145	-0.076	-0.035	0.166	-0.201	-0.095	-0.053	0.150	-0.202	-2.219	-2.037	-2.406	-1.899	-2.411	-2.435	-2.362
1.005_aceticacid--dimethylether_0.80	2.546	2.174	2.195	2.103	2.085	-5.055	-6.792	-6.704	-7.432	-7.674	-7.900	-7.927	-1.211	-3.844	-2.403	-4.388	-2.350	-4.354	-2.924	-4.509	-3.132	-4.542	-3.304	-4.596	-3.350	-4.577	-4.268	-3.371	0.612	-3.983	-6.218	-5.124	-0.697	-4.427	-1.023	1.246	-3.144	-0.930	-2.389	-3.534	-1.040
1.005_aceticacid--dimethylether_0.85	-1.224	-1.495	~~~	-1.554	~~~	-4.643	-6.097	~~~	-6.630	~~~	-7.018	~~~	-1.231	-3.412	-2.221	-3.876	~~~	~~~	-2.653	-3.976	~~~	~~~	-2.969	-4.050	~~~	~~~	-4.029	-3.189	0.348	-3.537	~~~	~~~	~~~	~~~	-4.275	-2.306	-6.140	-4.055	-5.496	-6.403	-4.327
1.005_aceticacid--dimethylether_0.90	-3.662	-3.847	~~~	-3.899	~~~	-4.212	-5.431	~~~	-5.873	~~~	-6.196	~~~	-1.201	-3.011	-2.024	-3.406	~~~	~~~	-2.383	-3.490	~~~	~~~	-2.645	-3.552	~~~	~~~	-3.744	-2.968	0.157	-3.125	~~~	~~~	~~~	~~~	-6.232	-4.522	-7.877	-5.896	-7.319	-8.029	-6.261
1.005_aceticacid--dimethylether_0.95	-5.159	-5.276	~~~	-5.327	~~~	-3.784	-4.808	~~~	-5.176	~~~	-5.444	~~~	-1.140	-2.645	-1.826	-2.982	~~~	~~~	-2.124	-3.053	~~~	~~~	-2.341	-3.104	~~~	~~~	-3.438	-2.729	0.023	-2.752	~~~	~~~	~~~	~~~	-7.293	-5.804	-8.750	-6.858	-8.268	-8.817	-7.285
1.005_aceticacid--dimethylether_1.00	-6.000	-6.064	-6.039	-6.117	-6.120	-3.377	-4.238	-4.174	-4.544	-4.659	-4.766	-4.780	-1.060	-2.317	-1.634	-2.604	-1.596	-2.578	-1.881	-2.663	-1.979	-2.680	-2.061	-2.706	-2.083	-2.698	-3.126	-2.485	-0.069	-2.416	-4.060	-3.303	-0.668	-2.635	-7.742	-6.440	-9.036	-7.228	-8.631	-9.051	-7.715
1.005_aceticacid--dimethylether_1.05	-6.390	-6.413	~~~	-6.467	~~~	-2.998	-3.723	~~~	-3.977	~~~	-4.162	~~~	-0.973	-2.025	-1.454	-2.270	~~~	~~~	-1.658	-2.319	~~~	~~~	-1.807	-2.354	~~~	~~~	-2.822	-2.246	-0.129	-2.117	~~~	~~~	~~~	~~~	-7.785	-6.642	-8.938	-7.209	-8.606	-8.922	-7.744
1.005_aceticacid--dimethylether_1.10	-6.478	-6.468	~~~	-6.520	~~~	-2.651	-3.263	~~~	-3.474	~~~	-3.628	~~~	-0.883	-1.768	-1.287	-1.976	~~~	~~~	-1.457	-2.017	~~~	~~~	-1.581	-2.047	~~~	~~~	-2.532	-2.019	-0.166	-1.852	~~~	~~~	~~~	~~~	-7.569	-6.564	-8.597	-6.946	-8.328	-8.560	-7.501
1.005_aceticacid--dimethylether_1.25	-5.811	-5.741	~~~	-5.775	~~~	-1.810	-2.178	~~~	-2.302	~~~	-2.392	~~~	-0.636	-1.175	-0.876	-1.302	~~~	~~~	-0.975	-1.327	~~~	~~~	-1.047	-1.345	~~~	~~~	-1.785	-1.431	-0.192	-1.238	~~~	~~~	~~~	~~~	-6.225	-5.530	-6.954	-5.536	-6.839	-6.912	-6.119
1.005_aceticacid--dimethylether_1.50	-3.962	-3.902	~~~	-3.910	~~~	-0.944	-1.103	~~~	-1.158	~~~	-1.197	~~~	-0.340	-0.604	-0.443	-0.660	~~~	~~~	-0.487	-0.671	~~~	~~~	-0.519	-0.678	~~~	~~~	-0.948	-0.766	-0.128	-0.639	~~~	~~~	~~~	~~~	-3.857	-3.456	-4.269	-3.263	-4.343	-4.327	-3.931
1.005_aceticacid--dimethylether_2.00	-1.655	-1.648	-1.648	-1.642	-1.642	-0.254	-0.292	-0.284	-0.309	-0.314	-0.321	-0.321	-0.079	-0.175	-0.104	-0.188	-0.100	-0.184	-0.118	-0.191	-0.123	-0.192	-0.128	-0.193	-0.128	-0.193	-0.244	-0.199	-0.014	-0.186	-0.280	-0.229	-0.038	-0.192	-1.454	-1.301	-1.593	-1.188	-1.682	-1.675	-1.623
1.006_aceticacid--dimethylperoxide_0.80	2.908	2.681	2.697	2.608	2.594	-4.186	-5.568	-5.509	-6.089	-6.286	-6.469	-6.492	-0.976	-3.210	-1.939	-3.628	-1.902	-3.606	-2.363	-3.726	-2.534	-3.752	-2.672	-3.796	-2.712	-3.780	-3.574	-2.736	0.647	-3.383	-5.158	-4.167	-0.441	-3.726	-0.592	1.022	-2.092	-0.553	-1.860	-2.454	-0.851
1.006_aceticacid--dimethylperoxide_0.85	-0.684	-0.806	~~~	-0.866	~~~	-3.781	-4.917	~~~	-5.345	~~~	-5.657	~~~	-0.976	-2.804	-1.762	-3.155	~~~	~~~	-2.109	-3.236	~~~	~~~	-2.362	-3.294	~~~	~~~	-3.316	-2.551	0.406	-2.957	~~~	~~~	~~~	~~~	-3.556	-2.160	-4.888	-3.360	-4.651	-5.098	-3.764
1.006_aceticacid--dimethylperoxide_0.90	-2.986	-3.030	~~~	-3.082	~~~	-3.380	-4.315	~~~	-4.666	~~~	-4.923	~~~	-0.940	-2.440	-1.581	-2.734	~~~	~~~	-1.866	-2.801	~~~	~~~	-2.073	-2.849	~~~	~~~	-3.035	-2.345	0.232	-2.577	~~~	~~~	~~~	~~~	-5.314	-4.105	-6.498	-4.989	-6.269	-6.595	-5.452
1.006_aceticacid--dimethylperoxide_0.95	-4.385	-4.375	~~~	-4.425	~~~	-2.998	-3.770	~~~	-4.058	~~~	-4.269	~~~	-0.882	-2.116	-1.407	-2.364	~~~	~~~	-1.640	-2.419	~~~	~~~	-1.810	-2.459	~~~	~~~	-2.750	-2.132	0.109	-2.240	~~~	~~~	~~~	~~~	-6.251	-5.201	-7.304	-5.824	-7.096	-7.324	-6.321
1.006_aceticacid--dimethylperoxide_1.00	-5.165	-5.115	-5.104	-5.165	-5.166	-2.646	-3.284	-3.240	-3.521	-3.610	-3.694	-3.703	-0.812	-1.833	-1.244	-2.041	-1.217	-2.023	-1.434	-2.087	-1.510	-2.100	-1.574	-2.120	-1.590	-2.113	-2.470	-1.921	0.024	-1.945	-3.173	-2.540	-0.440	-2.101	-6.639	-5.726	-7.576	-6.134	-7.396	-7.545	-6.643
1.006_aceticacid--dimethylperoxide_1.05	-5.525	-5.448	~~~	-5.495	~~~	-2.326	-2.856	~~~	-3.051	~~~	-3.192	~~~	-0.739	-1.587	-1.095	-1.762	~~~	~~~	-1.251	-1.800	~~~	~~~	-1.365	-1.827	~~~	~~~	-2.204	-1.719	-0.032	-1.687	~~~	~~~	~~~	~~~	-6.668	-5.872	-7.501	-6.108	-7.355	-7.443	-6.619
1.006_aceticacid--dimethylperoxide_1.10	-5.608	-5.510	~~~	-5.551	~~~	-2.039	-2.482	~~~	-2.641	~~~	-2.758	~~~	-0.665	-1.374	-0.961	-1.521	~~~	~~~	-1.089	-1.553	~~~	~~~	-1.182	-1.576	~~~	~~~	-1.956	-1.530	-0.067	-1.463	~~~	~~~	~~~	~~~	-6.467	-5.771	-7.207	-5.872	-7.104	-7.144	-6.398
1.006_aceticacid--dimethylperoxide_1.25	-5.018	-4.891	~~~	-4.910	~~~	-1.366	-1.628	~~~	-1.718	~~~	-1.783	~~~	-0.468	-0.898	-0.640	-0.987	~~~	~~~	-0.713	-1.005	~~~	~~~	-0.765	-1.018	~~~	~~~	-1.339	-1.055	-0.097	-0.958	~~~	~~~	~~~	~~~	-5.282	-4.809	-5.798	-4.672	-5.817	-5.775	-5.236
